Path,Bytes,SHA256
source_inventory_before_hash.json,126837,4b6b4fdfee5b425c1dbb77780a1cb9cdd1a5aa90f2c2044f75aa1d9ceb57d322
build_complete_archive.py,6401,4cb8df14b20ad309c665e8de2d81155f0f1a29f72ff91361fa96804bca027830
archive_build.log,2005,9bc32864cf85ddd12ab35cc92d99e6552cca7b058bba7842e184605cb095bf74
archive_build_exit.json,77,b7daa7db2225189aa612f426ed494a2bb523b2497614646e253e1a85ef2716aa
archive_build_validation.json,677,b58be689c54d2f323bdc709ed8ab19e2363dc1a38d83c816e248c0f90abeb33b
archive_zipinfo_regression.py,736,664e3b639edd267360fb5e5891531368da819c97fbf9d5e895ac7be42b712132
archive_zipinfo_regression.log,114,26e6782ea01519b073b475a90969256b53f4e0be11deac2e00fd1aa9874ce1fd
upload_formal_asset.ps1,5674,7a4a8cd5405aa930ad0a7f2d07b82483a0dc2587017ab00faa7403b7de47ad4c
upload_batch.ps1,3361,30bcc646c99d318a11f6fb4189a364a3abd021a30ce5dbfb116369f51cdd926e
upload_plan.json,57073,dca42fde6c9dd06a1149e491061cd4d35b031e4c311bd967f449adc25120463f
upload_batch.log,15801,6436339f55f0955b20555146fe589844eac2729120ef99f34bfa3d20e3063e21
upload_batch_result.json,168,4c085524399c74bb5197c7fe0c22ecfe37a8f389095ec0f59eb10ff19852c2ea
probe_upload.log,579,0d79f5d32eebb596ae83ed7a21c117d09138d207f0ff7e4de39961fd53ee3857
verify_git_mirror.py,1313,a8047cbc8e67ec0848d623fab6d4b67501fc877d9dfed9c52996bc49c49bd765
git_mirror_validation.log,129,849dce67d2bc2c97d411e8cda6ed2e9b6ec9eb5dffba61ae49923868b45a7634
git_index_validation.json,143,1d87059578a822ffd62fe3f2139536b6325d4386e574e85296727c3e6bb6c5f2
remote_git_validation.json,261,05341f206634b54a8ab987cf0accef8d5e5d54e12888fb5eb111be0f47a2e766
results_commit.json,200,5224c3372c68dffc063447b0a7f422c51f5d89c7ccee4f41f41de55891f55eb7
git_push_results.log,196,15ad01e54150819db13ec371bd103d9fab2b94b55d5b18cf6fc158a0e13dd5b3
git_push_results_exit.json,77,7e68ebb5d02f1e190aafffa4ed353d60373e2f9755b4614ce3bf488252128ec4
release_created.json,198,3a35df9f2b334bc4de8f3f9f7e0955fdcef4ac6d7e641005db0828d0612b085b
RELEASE_NOTES_zh.md,2283,7e5aff7573f9d67d99200136c05ef4c8d736f7a9921d54f25fe00e1de0b51789
refresh_repository_manifest.py,816,41537835842885246a204f08e9a9204ed46e80df74e889e94c9b1ee3a3c96aa8
local_restore_test.log,10146,dbee42b3bc5f918d43cf8a1bfc0881195b425148c4bece50971b49141dbc2ca8
local_restore_test_exit.json,77,c8067273511a5247da784bf0db41920c38ede0640f559d456555b603a7e176cb
remote_primary_assets_verified.json,85527,5d2705fd93051937cc0344c257e260bfeaf847bf54c0125d983db42829b14852
public_download_validation.json,1333,0c447547262b9c2baac21fefd8bfc652859efcb883b9576598c2943b4e4d78af
verify_remote_primary_assets.ps1,2752,ad9dd2c3fa1c81a5d1a39df7f58710fec43c31f6555ac78e53dd37100be27edf
verify_public_downloads.py,2210,84f3466e017da1e6b9a01927990931aba0f19bd02e25093d69157f39daf10574
public_download_check.log,1333,0c447547262b9c2baac21fefd8bfc652859efcb883b9576598c2943b4e4d78af
public_light_download.log,175,f2f573f0bed5e013eb301451fff572a517e79cb262dc12983c27437943e61d70
public_download_check_exit.json,77,cda4f15276d7e6eb0cbea024ba697b099cc8204c6665f90cff3023a008505382
release_published.json,251,86a92871f03fadfb1b8c40f9713bc6021b796f19f765ff25a8b5e936e2b8487a
remote_primary_assets_verification.log,83,4f9d97d31c91f22214df1ce10ff5cd5a4bf57c326596b2d85fc80331f1dbedb2
build_delivery_evidence.py,3228,2260e5a1226ed2a87ed192f23260ecdfec34a86a45a5c57af8b46dc46d93997e
source_freeze_final_check.json,140,4e878a52b2e00fbfa1324a56059fdcef2a72a0db70b232a7c9270f819660544d
upload_logs/archive_build_validation.json.log,564,21e3a55d666a7f8901360238a8b6f5e08bf487ece11e88521ecdf7541e734d67
upload_logs/README_v3.4-formal-results_zh.md.log,572,95f907d1882a2e6288e228171644b9d721c8f43d94c7fd15f5d2413dfe91231b
upload_logs/restore_v3_4_formal.py.log,551,7aaa183a804ff64f58fe41c651cea56965b09ddb305cc18096b9267b4b9dd2d4
upload_logs/v3.4-formal-analysis_zh.md.log,560,d00cc9760ae883d0caa8ea9f46d2578d203f1fac39e0a632c5b968a4040356fc
upload_logs/v3.4-formal-archive-manifest.json.log,575,cd62651792880a2661f6dc7f5da4c9d18752bec3586cd63f12a714e904ca2d38
upload_logs/v3.4-formal-complete.zip.part0001.log,577,3c9e8cf55b8874aff97a1915e2c64e8693e50eb7565bd66f43fd0633397abfb2
upload_logs/v3.4-formal-complete.zip.part0002.log,657,3b31f1da40f01d7efbec74d3c9f3a1c014591b7b7d0c6bf43eb98b716740fb50
upload_logs/v3.4-formal-complete.zip.part0003.log,657,04beba8f6a49c7450a56bc2b058809eab42bfc56c41ef44a5278e65af798171d
upload_logs/v3.4-formal-complete.zip.part0004.log,736,d0adce1131764ab9fb5c4d47d3c35ce63c5a769cc9c6300fabee59740b04ec72
upload_logs/v3.4-formal-complete.zip.part0005.log,736,d3c9a5c69a5e819feb202fe92ee6703a79d16d32b16481c51b5152e3ee1ef680
upload_logs/v3.4-formal-complete.zip.part0006.log,657,74e545b4fc01e2c29b5b53db81e82fedd297401cbecafe538f16df92c9a8a9d8
upload_logs/v3.4-formal-complete.zip.part0007.log,657,d977d877c62128e68a9a7861f50af0cfc01ac471baf0a903c66f1c0c2e884d4c
upload_logs/v3.4-formal-complete.zip.part0008.log,657,a943111e37c9619e3a69c3d4b56d23af652b623c1603bc2e13483bf50bd10612
upload_logs/v3.4-formal-complete.zip.part0009.log,657,93b819df6e140b1e16838d4f00f63f1fadbfb3b39897c67a09650dea9d97cc6d
upload_logs/v3.4-formal-complete.zip.part0010.log,735,bdae5d7fbcfadcfc39bf9174194611384e21334b7cafd8eb29e44c0a73c9ed41
upload_logs/v3.4-formal-complete.zip.part0011.log,657,fd203791328e2e729b5474df1b460e3404f334d3d19c561fefba83a4a14f851d
upload_logs/v3.4-formal-complete.zip.part0012.log,657,7be73d46fcd5422013e083d800b4962f8e07dddbd84b6a10b9c3d9a53969a958
upload_logs/v3.4-formal-complete.zip.part0013.log,814,c62a50fd5c821ebfeb0eb4f7cb805c50e93d2c79f8296ed51b6dd2603ac3ca77
upload_logs/v3.4-formal-complete.zip.part0014.log,736,b2083f27798ade751f05d79daf304815e39b1b0d4481c62d6368d03194faec7d
upload_logs/v3.4-formal-complete.zip.part0015.log,657,2dde5646acbda5e0577a7034d6dde3b6c616d5a7f600f9c90a067d5bcc368d6d
upload_logs/v3.4-formal-complete.zip.part0016.log,657,8e5620c7e6e428d707b4c84a318dadb076aeb7e840aca5867b4240b7ab62993c
upload_logs/v3.4-formal-complete.zip.part0017.log,658,ae5e49e2283a87a471e39baac021cb72354bf19ce7371243549c45c54268d32a
upload_logs/v3.4-formal-complete.zip.part0018.log,656,37cce7d4d6256096efae3d85c4b4372bf265843b110fe7591a90539edf3e7b9b
upload_logs/v3.4-formal-complete.zip.part0019.log,736,0711f2fa6d752664c449f753b75c7929f6407ef5706d966b2bd8f99521baeafc
upload_logs/v3.4-formal-complete.zip.part0020.log,735,a1005c42da943d27463a4928358350125b1f9e9fd07b93c485dd05fc00802afb
upload_logs/v3.4-formal-complete.zip.part0021.log,657,69de2434e9a3256248c2187af0351e1b6a681030354ff6a7b4058426636c018c
upload_logs/v3.4-formal-complete.zip.part0022.log,657,ca0324ad984c016134a4471a07609e51fe51627ec258ec20eb7381be36654f01
upload_logs/v3.4-formal-complete.zip.part0023.log,736,969cc202c111f17a882ea0a2671a1279587a14ab8f97776b8e98b9f094e2aeb5
upload_logs/v3.4-formal-complete.zip.part0024.log,736,89682b0de7904051b318849fb81bf71ffb27a3928dfe2b6ad78c91050cd2e444
upload_logs/v3.4-formal-complete.zip.part0025.log,657,dbfddfc123f99dbdd264d0a8e3cf22b2d0f47ea6ed63e2fc77c5b111c84ea966
upload_logs/v3.4-formal-complete.zip.part0026.log,657,3f3b19f8dce95153d0f0ffcf785b0b1bf2a0b5bff71d1f0b9de8934f409a245a
upload_logs/v3.4-formal-complete.zip.part0027.log,736,dba5c97ac83187cbd5bf4ea6714e342e52b88981d2049cbd7ed13965b4675ff0
upload_logs/v3.4-formal-complete.zip.part0028.log,736,f84ac3cd5396692d4012befc36e18a009dc6aec827039803af240da91dec89ed
upload_logs/v3.4-formal-complete.zip.part0029.log,734,1d8c742b5606a84485a96242dea8faaf76bbbb2e393db8748b6319393aaaaea8
upload_logs/v3.4-formal-complete.zip.part0030.log,736,f367b30ccff6e6eb55e3bcdc49806db1613778002b0d3b347e25e2692666e3cb
upload_logs/v3.4-formal-complete.zip.part0031.log,657,eaec358b46daca2d4c8440629f5acc78dce32d5874c79e417ef73ce2264f0158
upload_logs/v3.4-formal-complete.zip.part0032.log,735,346d81e45ff31b45157c513dde11fc88b651033c84818df0fbf8aedb2f26cbd1
