"Route","Design","Model","Reference","Records","Species","ELPD_difference","Paired_SE_species","CI95_lower","CI95_upper","z_normal_approx","p_value_normal_approx","p_value_BH_all","RouteLabel","DesignLabel"
"binary","species5","Site315","Null",152,50,16.3128920794625,5.9755559133889,4.60080248922021,28.0249816697047,2.72993714993304,0.00633464010824776,0.141426354878301,"High/Low","Five-fold"
"binary","species5","M1","Null",152,50,12.1340079442666,7.46030036918178,-2.48818077932967,26.7561966678629,1.62647713145596,0.103848194332149,0.311544582996447,"High/Low","Five-fold"
"binary","species5","M1","Site315",152,50,-4.17888413519584,4.68897672826707,-13.3692785225993,5.01151025220761,-0.891214518085325,0.372814097244269,0.518535607271426,"High/Low","Five-fold"
"binary","species5","M2","Null",152,50,14.1210551251273,6.85323361356387,0.68871724254207,27.5533930077125,2.06049522333209,0.0393512220316697,0.183639036147792,"High/Low","Five-fold"
"binary","species5","M2","Site315",152,50,-2.19183695433519,3.22646394916021,-8.51570629468921,4.13203238601883,-0.679330991721041,0.49692816379752,0.609048215950213,"High/Low","Five-fold"
"binary","species5","M3","Null",152,50,15.0128003768799,7.48834684069648,0.335640569114803,29.689960184645,2.00482171783106,0.0449821099048929,0.18892486160055,"High/Low","Five-fold"
"binary","species5","M3","Site315",152,50,-1.30009170258256,4.57937582597807,-10.2756683214996,7.67548491633446,-0.283901507975682,0.776485860830203,0.850651000309997,"High/Low","Five-fold"
"binary","species10","Site315","Null",152,50,13.9166072086915,5.88394167072602,2.38408153406849,25.4491328833145,2.36518442695138,0.018021094238219,0.141426354878301,"High/Low","Ten-fold"
"binary","species10","M1","Null",152,50,16.7359252887872,6.80087499356959,3.40621030139084,30.0656402761836,2.46084883262985,0.0138608753872035,0.141426354878301,"High/Low","Ten-fold"
"binary","species10","M1","Site315",152,50,2.81931808009575,3.09023199886173,-3.23753663767324,8.87617279786475,0.912332174779832,0.361593881901581,0.518535607271426,"High/Low","Ten-fold"
"binary","species10","M2","Null",152,50,14.8583347512957,6.71533216823869,1.69628370154789,28.0203858010436,2.21259862938289,0.0269253296175489,0.141426354878301,"High/Low","Ten-fold"
"binary","species10","M2","Site315",152,50,0.941727542604233,2.53605725480266,-4.02894467680898,5.91239976201745,0.371335284651337,0.710387820320365,0.806386174417712,"High/Low","Ten-fold"
"binary","species10","M3","Null",152,50,17.9365892566914,7.01098819412954,4.19505239619748,31.6781261171853,2.55835393813815,0.0105168990307908,0.141426354878301,"High/Low","Ten-fold"
"binary","species10","M3","Site315",152,50,4.01998204799989,4.1834915906831,-4.17966146973898,12.2196255657388,0.960915532124566,0.336594640473143,0.518535607271426,"High/Low","Ten-fold"
"joint_bb","species5","Site315","Null",153,51,5.70716997345062,7.91889142302465,-9.81385721567769,21.2281971625789,0.720703147520962,0.471092175463264,0.609048215950213,"Joint beta-binomial","Five-fold"
"joint_bb","species5","M1","Null",153,51,6.38673365694638,6.89618570068671,-7.12979031639958,19.9032576302923,0.926125532888477,0.354380746282288,0.518535607271426,"Joint beta-binomial","Five-fold"
"joint_bb","species5","M1","Site315",153,51,0.67956368349576,3.52341880140024,-6.22633716724872,7.58546453424024,0.19287053904171,0.847060358243701,0.867720366981352,"Joint beta-binomial","Five-fold"
"joint_bb","species5","M2","Null",153,51,9.35307945807579,6.86851667199331,-4.10921321903109,22.8153721351827,1.36173207473069,0.173282454913778,0.401589257676232,"Joint beta-binomial","Five-fold"
"joint_bb","species5","M2","Site315",153,51,3.64590948462518,3.22254444326738,-2.6702776241789,9.96209659342925,1.13137601321288,0.257896862996875,0.470942097646467,"Joint beta-binomial","Five-fold"
"joint_bb","species5","M3","Null",153,51,17.42122112351,7.87431880426659,1.98755626714746,32.8548859798725,2.21240993113849,0.0269383533101526,0.141426354878301,"Joint beta-binomial","Five-fold"
"joint_bb","species5","M3","Site315",153,51,11.7140511500594,6.55520300801098,-1.13414674564216,24.5622490457609,1.78698525976142,0.0739398709938759,0.238882660134061,"Joint beta-binomial","Five-fold"
"joint_bb","species10","Site315","Null",153,51,9.17957059577642,7.82333226266376,-6.15416063904454,24.5133018305974,1.17335814044166,0.240652216085264,0.470942097646467,"Joint beta-binomial","Ten-fold"
"joint_bb","species10","M1","Null",153,51,8.33964832803326,7.21255953735444,-5.79696836518145,22.476265021248,1.15626751985083,0.247571749449126,0.470942097646467,"Joint beta-binomial","Ten-fold"
"joint_bb","species10","M1","Site315",153,51,-0.839922267743164,3.29181681207105,-7.29188321940242,5.6120386839161,-0.255154619984678,0.798603679215344,0.850651000309997,"Joint beta-binomial","Ten-fold"
"joint_bb","species10","M2","Null",153,51,13.0493569287289,6.96150215135504,-0.595187287926938,26.6939011453848,1.8745030375648,0.0608611237808775,0.232378836254259,"Joint beta-binomial","Ten-fold"
"joint_bb","species10","M2","Site315",153,51,3.86978633295252,3.16185710169059,-2.32745358636104,10.0670262522661,1.22389665582401,0.220991215332936,0.464081552199166,"Joint beta-binomial","Ten-fold"
"joint_bb","species10","M3","Null",153,51,17.7161867667294,7.89490103727898,2.24218073366259,33.1901927997962,2.24400365287357,0.0248321663153567,0.141426354878301,"Joint beta-binomial","Ten-fold"
"joint_bb","species10","M3","Site315",153,51,8.53661617095297,6.0057563452822,-3.23466626580014,20.3078986077061,1.42140567818055,0.155198856700191,0.38343246949459,"Joint beta-binomial","Ten-fold"
"schemeA_tobit","species5","Site315","Null",153,51,12.2066836683215,12.6912680104839,-12.6682016322269,37.08156896887,0.961817499893463,0.336141285854327,0.518535607271426,"Scheme A","Five-fold"
"schemeA_tobit","species5","M1","Null",153,51,10.471767824498,15.2428634021346,-19.4042444436859,40.3477800926819,0.686994795415639,0.492086008170446,0.609048215950213,"Scheme A","Five-fold"
"schemeA_tobit","species5","M1","Site315",153,51,-1.73491584382349,13.4485997164732,-28.094171288111,24.624339600464,-0.129003456151527,0.89735491406918,0.89735491406918,"Scheme A","Five-fold"
"schemeA_tobit","species5","M2","Null",153,51,15.1888878016324,14.143695796572,-12.5327559596486,42.9105315629135,1.07389808294051,0.282868362653669,0.475218849258163,"Scheme A","Five-fold"
"schemeA_tobit","species5","M2","Site315",153,51,2.98220413331092,12.4134107112698,-21.3480808607778,27.3124891273997,0.240240511063044,0.810143809819045,0.850651000309997,"Scheme A","Five-fold"
"schemeA_tobit","species5","M3","Null",153,51,23.1785643880723,17.3540743363909,-10.8354213112539,57.1925500873985,1.33562666257961,0.181671330853534,0.401589257676232,"Scheme A","Five-fold"
"schemeA_tobit","species5","M3","Site315",153,51,10.9718807197508,16.5570126203929,-21.4798640162193,43.4236254557209,0.662672727943503,0.507540179958511,0.609048215950213,"Scheme A","Five-fold"
"schemeA_tobit","species10","Site315","Null",153,51,18.324484846358,11.8336762460895,-4.8695205959775,41.5184902886934,1.54850314182064,0.121501205880773,0.32686298673166,"Scheme A","Ten-fold"
"schemeA_tobit","species10","M1","Null",153,51,23.4129315045252,15.2420192018868,-6.46142613117286,53.2872891402234,1.53607807432935,0.124519233040632,0.32686298673166,"Scheme A","Ten-fold"
"schemeA_tobit","species10","M1","Site315",153,51,5.08844665816729,13.5752015390802,-21.5189483584299,31.6958416747645,0.374833967917065,0.707783950249685,0.806386174417712,"Scheme A","Ten-fold"
"schemeA_tobit","species10","M2","Null",153,51,30.0714723654853,12.9785285084277,4.63355648896696,55.5093882420036,2.31701709064769,0.0205028007931739,0.141426354878301,"Scheme A","Ten-fold"
"schemeA_tobit","species10","M2","Site315",153,51,11.7469875191273,10.917769419799,-9.65184054367863,33.1458155819333,1.07595123760579,0.281949065042403,0.475218849258163,"Scheme A","Ten-fold"
"schemeA_tobit","species10","M3","Null",153,51,31.892929306688,17.4293997339739,-2.26869417190087,66.0545527852769,1.8298352090991,0.0672745841545443,0.235461044540905,"Scheme A","Ten-fold"
"schemeA_tobit","species10","M3","Site315",153,51,13.56844446033,15.5444613464796,-16.89869977877,44.0355886994301,0.872879680929111,0.382728662509862,0.518535607271426,"Scheme A","Ten-fold"
