"Design","Model","TrainWeighting","EvalWeighting","Bin","RecordsUsed","SpeciesUsed","WeightSum","MeanPredicted","ObservedRate","CalibrationLower","CalibrationUpper","BootstrapValid","IntervalStatus"
"fivefold","Null","record_equal","record_equal","[0.6,0.8)",128,40,128,0.720205181313592,0.8125,0.676463585434174,0.905032566390426,2000,"OK"
"fivefold","Null","record_equal","record_equal","[0.8,1]",24,10,24,0.808041890443593,0.5,0.133333333333333,0.875,2000,"OK"
"fivefold","Null","species_equal","record_equal","[0.6,0.8)",152,50,152,0.685942032962674,0.763157894736842,0.622747791010373,0.86986301369863,2000,"OK"
"fivefold","M1","record_equal","record_equal","[0.2,0.4)",11,6,11,0.327914390250518,0.0909090909090909,0,0.375,2000,"LIMITED_SPECIES"
"fivefold","M1","record_equal","record_equal","[0.4,0.6)",5,3,5,0.48871084386609,0.8,0,1,2000,"LIMITED_SPECIES"
"fivefold","M1","record_equal","record_equal","[0.6,0.8)",83,18,83,0.751029592911103,0.771084337349398,0.511603166749134,0.904125896934116,2000,"OK"
"fivefold","M1","record_equal","record_equal","[0.8,1]",53,23,53,0.852016935920835,0.886792452830189,0.784313725490196,0.974358974358974,2000,"OK"
"fivefold","M1","species_equal","record_equal","[0.2,0.4)",14,7,14,0.287671910642333,0.285714285714286,0,0.6875,2000,"LIMITED_SPECIES"
"fivefold","M1","species_equal","record_equal","[0.4,0.6)",8,5,8,0.51897643772484,0.375,0,0.875,2000,"LIMITED_SPECIES"
"fivefold","M1","species_equal","record_equal","[0.6,0.8)",93,22,93,0.750551465249085,0.817204301075269,0.636336898395722,0.926829268292683,2000,"OK"
"fivefold","M1","species_equal","record_equal","[0.8,1]",37,16,37,0.844510655539048,0.891891891891892,0.75,1,2000,"OK"
"fivefold","M2","record_equal","record_equal","[0.2,0.4)",3,3,3,0.275811682144307,0.333333333333333,0,1,2000,"LIMITED_SPECIES"
"fivefold","M2","record_equal","record_equal","[0.4,0.6)",18,8,18,0.49916270193531,0.277777777777778,0,0.647058823529412,2000,"LIMITED_SPECIES"
"fivefold","M2","record_equal","record_equal","[0.6,0.8)",55,11,55,0.739814304377296,0.872727272727273,0.566630434782609,0.983883568548387,2000,"OK"
"fivefold","M2","record_equal","record_equal","[0.8,1]",76,28,76,0.826136891797122,0.815789473684211,0.6875,0.914294425087108,2000,"OK"
"fivefold","M2","species_equal","record_equal","[0.2,0.4)",11,6,11,0.30820126644416,0.0909090909090909,0,0.375,2000,"LIMITED_SPECIES"
"fivefold","M2","species_equal","record_equal","[0.4,0.6)",15,7,15,0.514301317569804,0.333333333333333,0,0.769230769230769,2000,"LIMITED_SPECIES"
"fivefold","M2","species_equal","record_equal","[0.6,0.8)",88,24,88,0.758050472650842,0.909090909090909,0.819249726177437,0.965523145961266,2000,"OK"
"fivefold","M2","species_equal","record_equal","[0.8,1]",38,13,38,0.826628830347452,0.789473684210526,0.513513513513513,0.96875,2000,"OK"
"fivefold","M3","record_equal","record_equal","[0.2,0.4)",2,2,2,0.275376252048807,0,0,0,2000,"DEGENERATE_INTERVAL"
"fivefold","M3","record_equal","record_equal","[0.4,0.6)",13,8,13,0.469202491344618,0.230769230769231,0.0476190476190476,0.625,2000,"LIMITED_SPECIES"
"fivefold","M3","record_equal","record_equal","[0.6,0.8)",81,17,81,0.747146278357195,0.827160493827161,0.607647058823529,0.954545454545455,2000,"OK"
"fivefold","M3","record_equal","record_equal","[0.8,1]",56,23,56,0.843518261789809,0.821428571428571,0.723076923076923,0.910724206349206,2000,"OK"
"fivefold","M3","species_equal","record_equal","[0,0.2)",1,1,1,0.195069534327713,0,0,0,2000,"INSUFFICIENT_SUPPORT"
"fivefold","M3","species_equal","record_equal","[0.2,0.4)",6,3,6,0.270824658839934,0,0,0,2000,"DEGENERATE_INTERVAL"
"fivefold","M3","species_equal","record_equal","[0.4,0.6)",16,9,16,0.535526441528905,0.5,0.166666666666667,0.875,2000,"LIMITED_SPECIES"
"fivefold","M3","species_equal","record_equal","[0.6,0.8)",57,18,57,0.739580261190851,0.789473684210526,0.569230769230769,0.949382911392405,2000,"OK"
"fivefold","M3","species_equal","record_equal","[0.8,1]",72,19,72,0.820960814075203,0.875,0.738095238095238,0.954025624802278,2000,"OK"
"tenfold","Null","record_equal","record_equal","[0.6,0.8)",152,50,152,0.756362922157463,0.763157894736842,0.61864039384736,0.866666666666667,2000,"OK"
"tenfold","Null","species_equal","record_equal","[0.6,0.8)",152,50,152,0.692709174178201,0.763157894736842,0.61864039384736,0.866666666666667,2000,"OK"
"tenfold","M1","record_equal","record_equal","[0.2,0.4)",10,5,10,0.297489681587828,0,0,0,2000,"DEGENERATE_INTERVAL"
"tenfold","M1","record_equal","record_equal","[0.4,0.6)",10,7,10,0.501163118217729,0.7,0.285714285714286,0.937591911764705,2000,"LIMITED_SPECIES"
"tenfold","M1","record_equal","record_equal","[0.6,0.8)",37,10,37,0.718049349386923,0.648648648648649,0.363636363636364,0.836384778012685,2000,"OK"
"tenfold","M1","record_equal","record_equal","[0.8,1]",95,28,95,0.835785754739723,0.894736842105263,0.763624401913876,0.970804691375523,2000,"OK"
"tenfold","M1","species_equal","record_equal","[0.2,0.4)",12,7,12,0.27199421557071,0.166666666666667,0,0.571428571428571,2000,"LIMITED_SPECIES"
"tenfold","M1","species_equal","record_equal","[0.4,0.6)",15,7,15,0.524026204103275,0.333333333333333,0,0.769230769230769,2000,"LIMITED_SPECIES"
"tenfold","M1","species_equal","record_equal","[0.6,0.8)",54,17,54,0.731103475316805,0.851851851851852,0.790301358234295,0.923076923076923,2000,"OK"
"tenfold","M1","species_equal","record_equal","[0.8,1]",71,19,71,0.825752313304765,0.887323943661972,0.686260504201681,0.987955393000574,2000,"OK"
"tenfold","M2","record_equal","record_equal","[0.2,0.4)",8,5,8,0.316433094879151,0.125,0,0.6,2000,"LIMITED_SPECIES"
"tenfold","M2","record_equal","record_equal","[0.4,0.6)",12,7,12,0.517871924113138,0.5,0.0769230769230769,0.866666666666667,2000,"LIMITED_SPECIES"
"tenfold","M2","record_equal","record_equal","[0.6,0.8)",16,5,16,0.685792175084564,0.4375,0.0666666666666667,0.813020833333331,2000,"LIMITED_SPECIES"
