"Design","Route","Model","TrainWeighting","EvalWeighting","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointRecords","PointSpeciesUsed","PISpeciesUsed","Bias","BiasDefinition","PointSet"
"fivefold","joint_bb","Null","record_equal","record_equal",153,51,145,48,48,0.009975347524743,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","Null","record_equal","species_equal",153,51,145,48,48,0.117277505972979,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","Null","species_equal","record_equal",153,51,145,48,48,-0.046065335403462,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","Null","species_equal","species_equal",153,51,145,48,48,0.0617337722657146,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M1","record_equal","record_equal",153,51,145,48,48,-0.0185028659476809,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M1","record_equal","species_equal",153,51,145,48,48,0.0560682329711494,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M1","species_equal","record_equal",153,51,145,48,48,-0.0512597736376375,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M1","species_equal","species_equal",153,51,145,48,48,0.021015951327966,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M2","record_equal","record_equal",153,51,145,48,48,-0.00980891291874138,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M2","record_equal","species_equal",153,51,145,48,48,0.0623171035585698,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M2","species_equal","record_equal",153,51,145,48,48,-0.0410446461306077,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M2","species_equal","species_equal",153,51,145,48,48,0.0302324403690363,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M3","record_equal","record_equal",153,51,145,48,48,-0.0159702537281795,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M3","record_equal","species_equal",153,51,145,48,48,0.0498389945630163,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M3","species_equal","record_equal",153,51,145,48,48,-0.0197825894779096,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M3","species_equal","species_equal",153,51,145,48,48,0.034014136396737,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","Null","record_equal","record_equal",153,51,145,48,48,0.0086324678653668,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","Null","record_equal","species_equal",153,51,145,48,48,0.117672570670023,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","Null","species_equal","record_equal",153,51,145,48,48,-0.0437549016992562,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","Null","species_equal","species_equal",153,51,145,48,48,0.062097634924993,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M1","record_equal","record_equal",153,51,145,48,48,0.00428328441237389,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M1","record_equal","species_equal",153,51,145,48,48,0.0785048104548993,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M1","species_equal","record_equal",153,51,145,48,48,-0.0245609030385663,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M1","species_equal","species_equal",153,51,145,48,48,0.0489571764633814,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M2","record_equal","record_equal",153,51,145,48,48,0.0034696623224806,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M2","record_equal","species_equal",153,51,145,48,48,0.0734891335311162,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M2","species_equal","record_equal",153,51,145,48,48,-0.0288426068027818,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M2","species_equal","species_equal",153,51,145,48,48,0.0395044421846326,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M3","record_equal","record_equal",153,51,145,48,48,-0.0030943204575316,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M3","record_equal","species_equal",153,51,145,48,48,0.0596691726410127,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M3","species_equal","record_equal",153,51,145,48,48,-0.0188060520710364,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M3","species_equal","species_equal",153,51,145,48,48,0.0349457303062006,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
