"Route","Model","TrainWeighting","EvalWeighting","Subset","Statistic","Records","Species","Observed","PPC_Lower95","PPC_Median","PPC_Upper95","Status","Scope"
"binary","Null","record_equal","record_equal","classified","Mean",152,50,0.763157894736842,0.657894736842105,0.763157894736842,0.848684210526316,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","record_equal","record_equal","classified","SD",152,50,0.425144590036934,0.358356416615693,0.425144590036934,0.47441464150842,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","record_equal","record_equal","classified","ZeroFraction",152,50,0.236842105263158,0.151315789473684,0.236842105263158,0.342105263157895,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","record_equal","record_equal","classified","OneFraction",152,50,0.763157894736842,0.657894736842105,0.763157894736842,0.848684210526316,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","record_equal","species_equal","classified","Mean",152,50,0.694444444444444,0.642048386034256,0.763737154150198,0.863166249451032,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","record_equal","species_equal","classified","SD",152,50,0.460642331993806,0.343671753957222,0.424785491183122,0.479397804787715,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","record_equal","species_equal","classified","ZeroFraction",152,50,0.305555555555556,0.136833750548968,0.236262845849802,0.357951613965744,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","record_equal","species_equal","classified","OneFraction",152,50,0.694444444444444,0.642048386034256,0.763737154150198,0.863166249451032,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","species_equal","record_equal","classified","Mean",152,50,0.763157894736842,0.585526315789474,0.697368421052632,0.789473684210526,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","species_equal","record_equal","classified","SD",152,50,0.425144590036934,0.407682457495518,0.459397111844634,0.492630946355869,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","species_equal","record_equal","classified","ZeroFraction",152,50,0.236842105263158,0.210526315789474,0.302631578947368,0.414473684210526,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","species_equal","record_equal","classified","OneFraction",152,50,0.763157894736842,0.585526315789474,0.697368421052632,0.789473684210526,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","species_equal","species_equal","classified","Mean",152,50,0.694444444444444,0.568064986824769,0.696396245059288,0.808273742863417,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","species_equal","species_equal","classified","SD",152,50,0.460642331993806,0.393658859446343,0.459813565248907,0.495345492805021,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","species_equal","species_equal","classified","ZeroFraction",152,50,0.305555555555556,0.191726257136583,0.303603754940711,0.431935013175231,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","Null","species_equal","species_equal","classified","OneFraction",152,50,0.694444444444444,0.568064986824769,0.696396245059288,0.808273742863417,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M1","record_equal","record_equal","classified","Mean",152,50,0.763157894736842,0.664473684210526,0.756578947368421,0.842105263157895,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M1","record_equal","record_equal","classified","SD",152,50,0.425144590036934,0.364642275277658,0.429147112034222,0.472174128052582,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M1","record_equal","record_equal","classified","ZeroFraction",152,50,0.236842105263158,0.157894736842105,0.243421052631579,0.335526315789474,"OK","training_only_same_records_types_weights; intervals_not_imputed"
