"row_id","Species","weight","Weighting","WeightAlgorithm","Normalization","RecordID","Route","Model","TrainWeighting","Stage","Design","FitKey","Fold"
1,"Carassius_auratus",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0002","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
2,"Carassius_auratus",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0003","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
3,"Carassius_auratus",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0004","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
4,"Carassius_auratus",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0005","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
5,"Carassius_carassius",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0006","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
6,"Ctenopharyngodon_idella",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0007","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
7,"Cirrhinus_molitorella",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0008","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
8,"Danio_rerio",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0009","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
9,"Danio_rerio",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0010","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
10,"Danio_rerio",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0011","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
11,"Pygocentrus_nattereri",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0012","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
12,"Thunnus_orientalis",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0013","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
13,"Thunnus_orientalis",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","XLSX_R0014","binary","Null","record_equal","full","full","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",
