"row_id","Species","weight","Weighting","WeightAlgorithm","Normalization","Design","Route","Model","TrainWeighting","Fold","FitKey","Stage"
1,"Carassius_auratus",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","fivefold","binary","Null","record_equal",1,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","cv"
2,"Carassius_auratus",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","fivefold","binary","Null","record_equal",1,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","cv"
3,"Carassius_auratus",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","fivefold","binary","Null","record_equal",1,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","cv"
4,"Carassius_auratus",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","fivefold","binary","Null","record_equal",1,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","cv"
5,"Carassius_carassius",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","fivefold","binary","Null","record_equal",1,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","cv"
6,"Ctenopharyngodon_idella",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","fivefold","binary","Null","record_equal",1,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","cv"
7,"Danio_rerio",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","fivefold","binary","Null","record_equal",1,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","cv"
8,"Danio_rerio",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","fivefold","binary","Null","record_equal",1,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","cv"
9,"Danio_rerio",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","fivefold","binary","Null","record_equal",1,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","cv"
10,"Pygocentrus_nattereri",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","fivefold","binary","Null","record_equal",1,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","cv"
11,"Thunnus_orientalis",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","fivefold","binary","Null","record_equal",1,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","cv"
