"Design","Fold","Species","Records","HighOnly","LowOnly","Mixed","HighBearingSpecies","LowBearingSpecies","SingletonOutcomeStrata","Seed"
"fivefold",1,10,20,5,2,3,8,5,0,20261933
"fivefold",2,10,24,5,5,0,5,5,0,20261943
"fivefold",3,10,26,6,2,2,8,4,0,20261953
"fivefold",4,10,60,7,2,1,8,3,1,20261963
"fivefold",5,10,22,6,2,2,8,4,0,20261973
"tenfold",1,5,10,4,1,0,4,1,1,20262933
"tenfold",2,5,10,3,1,1,4,2,2,20262943
"tenfold",3,5,9,2,2,1,3,3,1,20262953
"tenfold",4,5,21,4,0,1,5,1,1,20262963
"tenfold",5,5,16,4,0,1,5,1,1,20262973
"tenfold",6,5,31,2,3,0,2,3,0,20262983
"tenfold",7,5,12,4,1,0,4,1,1,20262993
"tenfold",8,5,19,2,1,2,4,3,1,20263003
"tenfold",9,5,15,2,1,2,4,3,1,20263013
"tenfold",10,5,9,2,3,0,2,3,0,20263023
