"Key","Replicate","AbsoluteDifference","Status"
"AUC|fivefold|Null|record_equal|record_equal",1,0,"PASS"
"AUC|fivefold|Null|record_equal|record_equal",17003,0,"PASS"
"AUC|fivefold|Null|record_equal|record_equal",50000,0,"PASS"
"AUC|fivefold|Null|record_equal|species_equal",1,0,"PASS"
"AUC|fivefold|Null|record_equal|species_equal",17003,0,"PASS"
"AUC|fivefold|Null|record_equal|species_equal",50000,0,"PASS"
"AUC|fivefold|Null|species_equal|record_equal",1,0,"PASS"
"AUC|fivefold|Null|species_equal|record_equal",17003,0,"PASS"
"AUC|fivefold|Null|species_equal|record_equal",50000,0,"PASS"
"AUC|fivefold|Null|species_equal|species_equal",1,0,"PASS"
"AUC|fivefold|Null|species_equal|species_equal",17003,0,"PASS"
"AUC|fivefold|Null|species_equal|species_equal",50000,0,"PASS"
"AUC|fivefold|M1|record_equal|record_equal",1,0,"PASS"
"AUC|fivefold|M1|record_equal|record_equal",17003,0,"PASS"
"AUC|fivefold|M1|record_equal|record_equal",50000,0,"PASS"
"AUC|fivefold|M1|record_equal|species_equal",1,1.11022302462516e-16,"PASS"
"AUC|fivefold|M1|record_equal|species_equal",17003,1.11022302462516e-16,"PASS"
"AUC|fivefold|M1|record_equal|species_equal",50000,0,"PASS"
"AUC|fivefold|M1|species_equal|record_equal",1,1.11022302462516e-16,"PASS"
"AUC|fivefold|M1|species_equal|record_equal",17003,0,"PASS"
"AUC|fivefold|M1|species_equal|record_equal",50000,0,"PASS"
"AUC|fivefold|M1|species_equal|species_equal",1,1.11022302462516e-16,"PASS"
"AUC|fivefold|M1|species_equal|species_equal",17003,1.11022302462516e-16,"PASS"
"AUC|fivefold|M1|species_equal|species_equal",50000,0,"PASS"
"AUC|fivefold|M2|record_equal|record_equal",1,1.11022302462516e-16,"PASS"
"AUC|fivefold|M2|record_equal|record_equal",17003,0,"PASS"
"AUC|fivefold|M2|record_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"AUC|fivefold|M2|record_equal|species_equal",1,0,"PASS"
"AUC|fivefold|M2|record_equal|species_equal",17003,0,"PASS"
"AUC|fivefold|M2|record_equal|species_equal",50000,0,"PASS"
"AUC|fivefold|M2|species_equal|record_equal",1,0,"PASS"
"AUC|fivefold|M2|species_equal|record_equal",17003,0,"PASS"
"AUC|fivefold|M2|species_equal|record_equal",50000,0,"PASS"
"AUC|fivefold|M2|species_equal|species_equal",1,0,"PASS"
"AUC|fivefold|M2|species_equal|species_equal",17003,0,"PASS"
"AUC|fivefold|M2|species_equal|species_equal",50000,0,"PASS"
"AUC|fivefold|M3|record_equal|record_equal",1,0,"PASS"
"AUC|fivefold|M3|record_equal|record_equal",17003,0,"PASS"
"AUC|fivefold|M3|record_equal|record_equal",50000,0,"PASS"
"AUC|fivefold|M3|record_equal|species_equal",1,0,"PASS"
"AUC|fivefold|M3|record_equal|species_equal",17003,0,"PASS"
"AUC|fivefold|M3|record_equal|species_equal",50000,0,"PASS"
"AUC|fivefold|M3|species_equal|record_equal",1,0,"PASS"
"AUC|fivefold|M3|species_equal|record_equal",17003,0,"PASS"
"AUC|fivefold|M3|species_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"AUC|fivefold|M3|species_equal|species_equal",1,0,"PASS"
"AUC|fivefold|M3|species_equal|species_equal",17003,1.11022302462516e-16,"PASS"
"AUC|fivefold|M3|species_equal|species_equal",50000,0,"PASS"
"MAE|fivefold|M1|record_equal|record_equal",1,1.11022302462516e-16,"PASS"
"MAE|fivefold|M1|record_equal|record_equal",17003,0,"PASS"
"MAE|fivefold|M1|record_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"MAE|fivefold|M1|species_equal|record_equal",1,5.55111512312578e-17,"PASS"
"MAE|fivefold|M1|species_equal|record_equal",17003,0,"PASS"
"MAE|fivefold|M1|species_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"MAE|fivefold|M2|record_equal|record_equal",1,1.11022302462516e-16,"PASS"
"MAE|fivefold|M2|record_equal|record_equal",17003,5.55111512312578e-17,"PASS"
"MAE|fivefold|M2|record_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"MAE|fivefold|M2|species_equal|record_equal",1,0,"PASS"
"MAE|fivefold|M2|species_equal|record_equal",17003,5.55111512312578e-17,"PASS"
"MAE|fivefold|M2|species_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"MAE|fivefold|M3|record_equal|record_equal",1,5.55111512312578e-17,"PASS"
"MAE|fivefold|M3|record_equal|record_equal",17003,0,"PASS"
"MAE|fivefold|M3|record_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"MAE|fivefold|M3|species_equal|record_equal",1,5.55111512312578e-17,"PASS"
"MAE|fivefold|M3|species_equal|record_equal",17003,0,"PASS"
"MAE|fivefold|M3|species_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"RMSE|fivefold|M1|record_equal|record_equal",1,0,"PASS"
"RMSE|fivefold|M1|record_equal|record_equal",17003,0,"PASS"
"RMSE|fivefold|M1|record_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M1|species_equal|record_equal",1,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M1|species_equal|record_equal",17003,0,"PASS"
"RMSE|fivefold|M1|species_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"RMSE|fivefold|M2|record_equal|record_equal",1,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M2|record_equal|record_equal",17003,0,"PASS"
"RMSE|fivefold|M2|record_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"RMSE|fivefold|M2|species_equal|record_equal",1,1.11022302462516e-16,"PASS"
"RMSE|fivefold|M2|species_equal|record_equal",17003,0,"PASS"
"RMSE|fivefold|M2|species_equal|record_equal",50000,1.66533453693773e-16,"PASS"
"RMSE|fivefold|M3|record_equal|record_equal",1,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M3|record_equal|record_equal",17003,0,"PASS"
"RMSE|fivefold|M3|record_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"RMSE|fivefold|M3|species_equal|record_equal",1,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M3|species_equal|record_equal",17003,0,"PASS"
"RMSE|fivefold|M3|species_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"MAE|fivefold|M1|record_equal|species_equal",1,5.55111512312578e-17,"PASS"
"MAE|fivefold|M1|record_equal|species_equal",17003,0,"PASS"
"MAE|fivefold|M1|record_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"MAE|fivefold|M1|species_equal|species_equal",1,5.55111512312578e-17,"PASS"
"MAE|fivefold|M1|species_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"MAE|fivefold|M1|species_equal|species_equal",50000,0,"PASS"
"MAE|fivefold|M2|record_equal|species_equal",1,5.55111512312578e-17,"PASS"
"MAE|fivefold|M2|record_equal|species_equal",17003,0,"PASS"
"MAE|fivefold|M2|record_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"MAE|fivefold|M2|species_equal|species_equal",1,0,"PASS"
"MAE|fivefold|M2|species_equal|species_equal",17003,1.66533453693773e-16,"PASS"
"MAE|fivefold|M2|species_equal|species_equal",50000,0,"PASS"
"MAE|fivefold|M3|record_equal|species_equal",1,0,"PASS"
"MAE|fivefold|M3|record_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"MAE|fivefold|M3|record_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"MAE|fivefold|M3|species_equal|species_equal",1,0,"PASS"
"MAE|fivefold|M3|species_equal|species_equal",17003,1.11022302462516e-16,"PASS"
"MAE|fivefold|M3|species_equal|species_equal",50000,0,"PASS"
"RMSE|fivefold|M1|record_equal|species_equal",1,0,"PASS"
"RMSE|fivefold|M1|record_equal|species_equal",17003,0,"PASS"
"RMSE|fivefold|M1|record_equal|species_equal",50000,0,"PASS"
"RMSE|fivefold|M1|species_equal|species_equal",1,0,"PASS"
"RMSE|fivefold|M1|species_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M1|species_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M2|record_equal|species_equal",1,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M2|record_equal|species_equal",17003,0,"PASS"
"RMSE|fivefold|M2|record_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M2|species_equal|species_equal",1,0,"PASS"
"RMSE|fivefold|M2|species_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M2|species_equal|species_equal",50000,1.11022302462516e-16,"PASS"
"RMSE|fivefold|M3|record_equal|species_equal",1,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M3|record_equal|species_equal",17003,0,"PASS"
"RMSE|fivefold|M3|record_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M3|species_equal|species_equal",1,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M3|species_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"RMSE|fivefold|M3|species_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|record_equal|record_equal",1,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|record_equal|record_equal",17003,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|record_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|record_equal|species_equal",1,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|record_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|record_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|species_equal|record_equal",1,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|species_equal|record_equal",17003,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|species_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|species_equal|species_equal",1,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|species_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"AUC|tenfold|Null|species_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"AUC|tenfold|M1|record_equal|record_equal",1,0,"PASS"
"AUC|tenfold|M1|record_equal|record_equal",17003,1.11022302462516e-16,"PASS"
"AUC|tenfold|M1|record_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"AUC|tenfold|M1|record_equal|species_equal",1,1.11022302462516e-16,"PASS"
"AUC|tenfold|M1|record_equal|species_equal",17003,0,"PASS"
"AUC|tenfold|M1|record_equal|species_equal",50000,0,"PASS"
"AUC|tenfold|M1|species_equal|record_equal",1,0,"PASS"
"AUC|tenfold|M1|species_equal|record_equal",17003,1.11022302462516e-16,"PASS"
"AUC|tenfold|M1|species_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"AUC|tenfold|M1|species_equal|species_equal",1,1.11022302462516e-16,"PASS"
"AUC|tenfold|M1|species_equal|species_equal",17003,1.11022302462516e-16,"PASS"
"AUC|tenfold|M1|species_equal|species_equal",50000,0,"PASS"
"AUC|tenfold|M2|record_equal|record_equal",1,1.11022302462516e-16,"PASS"
"AUC|tenfold|M2|record_equal|record_equal",17003,0,"PASS"
"AUC|tenfold|M2|record_equal|record_equal",50000,0,"PASS"
"AUC|tenfold|M2|record_equal|species_equal",1,1.11022302462516e-16,"PASS"
"AUC|tenfold|M2|record_equal|species_equal",17003,0,"PASS"
"AUC|tenfold|M2|record_equal|species_equal",50000,0,"PASS"
"AUC|tenfold|M2|species_equal|record_equal",1,0,"PASS"
"AUC|tenfold|M2|species_equal|record_equal",17003,1.11022302462516e-16,"PASS"
"AUC|tenfold|M2|species_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"AUC|tenfold|M2|species_equal|species_equal",1,0,"PASS"
"AUC|tenfold|M2|species_equal|species_equal",17003,0,"PASS"
"AUC|tenfold|M2|species_equal|species_equal",50000,1.11022302462516e-16,"PASS"
"AUC|tenfold|M3|record_equal|record_equal",1,0,"PASS"
"AUC|tenfold|M3|record_equal|record_equal",17003,1.11022302462516e-16,"PASS"
"AUC|tenfold|M3|record_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"AUC|tenfold|M3|record_equal|species_equal",1,0,"PASS"
"AUC|tenfold|M3|record_equal|species_equal",17003,1.11022302462516e-16,"PASS"
"AUC|tenfold|M3|record_equal|species_equal",50000,0,"PASS"
"AUC|tenfold|M3|species_equal|record_equal",1,0,"PASS"
"AUC|tenfold|M3|species_equal|record_equal",17003,1.11022302462516e-16,"PASS"
"AUC|tenfold|M3|species_equal|record_equal",50000,0,"PASS"
"AUC|tenfold|M3|species_equal|species_equal",1,0,"PASS"
"AUC|tenfold|M3|species_equal|species_equal",17003,1.11022302462516e-16,"PASS"
"AUC|tenfold|M3|species_equal|species_equal",50000,0,"PASS"
"MAE|tenfold|M1|record_equal|record_equal",1,1.11022302462516e-16,"PASS"
"MAE|tenfold|M1|record_equal|record_equal",17003,0,"PASS"
"MAE|tenfold|M1|record_equal|record_equal",50000,0,"PASS"
"MAE|tenfold|M1|species_equal|record_equal",1,1.66533453693773e-16,"PASS"
"MAE|tenfold|M1|species_equal|record_equal",17003,5.55111512312578e-17,"PASS"
"MAE|tenfold|M1|species_equal|record_equal",50000,1.11022302462516e-16,"PASS"
"MAE|tenfold|M2|record_equal|record_equal",1,0,"PASS"
"MAE|tenfold|M2|record_equal|record_equal",17003,5.55111512312578e-17,"PASS"
"MAE|tenfold|M2|record_equal|record_equal",50000,1.66533453693773e-16,"PASS"
"MAE|tenfold|M2|species_equal|record_equal",1,1.11022302462516e-16,"PASS"
"MAE|tenfold|M2|species_equal|record_equal",17003,2.22044604925031e-16,"PASS"
"MAE|tenfold|M2|species_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"MAE|tenfold|M3|record_equal|record_equal",1,0,"PASS"
"MAE|tenfold|M3|record_equal|record_equal",17003,0,"PASS"
"MAE|tenfold|M3|record_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"MAE|tenfold|M3|species_equal|record_equal",1,0,"PASS"
"MAE|tenfold|M3|species_equal|record_equal",17003,1.11022302462516e-16,"PASS"
"MAE|tenfold|M3|species_equal|record_equal",50000,0,"PASS"
"RMSE|tenfold|M1|record_equal|record_equal",1,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M1|record_equal|record_equal",17003,1.11022302462516e-16,"PASS"
"RMSE|tenfold|M1|record_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M1|species_equal|record_equal",1,1.11022302462516e-16,"PASS"
"RMSE|tenfold|M1|species_equal|record_equal",17003,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M1|species_equal|record_equal",50000,0,"PASS"
"RMSE|tenfold|M2|record_equal|record_equal",1,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M2|record_equal|record_equal",17003,1.66533453693773e-16,"PASS"
"RMSE|tenfold|M2|record_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M2|species_equal|record_equal",1,1.66533453693773e-16,"PASS"
"RMSE|tenfold|M2|species_equal|record_equal",17003,1.11022302462516e-16,"PASS"
"RMSE|tenfold|M2|species_equal|record_equal",50000,0,"PASS"
"RMSE|tenfold|M3|record_equal|record_equal",1,0,"PASS"
"RMSE|tenfold|M3|record_equal|record_equal",17003,1.11022302462516e-16,"PASS"
"RMSE|tenfold|M3|record_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M3|species_equal|record_equal",1,1.11022302462516e-16,"PASS"
"RMSE|tenfold|M3|species_equal|record_equal",17003,1.11022302462516e-16,"PASS"
"RMSE|tenfold|M3|species_equal|record_equal",50000,5.55111512312578e-17,"PASS"
"MAE|tenfold|M1|record_equal|species_equal",1,1.11022302462516e-16,"PASS"
"MAE|tenfold|M1|record_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"MAE|tenfold|M1|record_equal|species_equal",50000,0,"PASS"
"MAE|tenfold|M1|species_equal|species_equal",1,0,"PASS"
"MAE|tenfold|M1|species_equal|species_equal",17003,1.66533453693773e-16,"PASS"
"MAE|tenfold|M1|species_equal|species_equal",50000,0,"PASS"
"MAE|tenfold|M2|record_equal|species_equal",1,5.55111512312578e-17,"PASS"
"MAE|tenfold|M2|record_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"MAE|tenfold|M2|record_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"MAE|tenfold|M2|species_equal|species_equal",1,0,"PASS"
"MAE|tenfold|M2|species_equal|species_equal",17003,1.66533453693773e-16,"PASS"
"MAE|tenfold|M2|species_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"MAE|tenfold|M3|record_equal|species_equal",1,1.11022302462516e-16,"PASS"
"MAE|tenfold|M3|record_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"MAE|tenfold|M3|record_equal|species_equal",50000,1.11022302462516e-16,"PASS"
"MAE|tenfold|M3|species_equal|species_equal",1,0,"PASS"
"MAE|tenfold|M3|species_equal|species_equal",17003,1.11022302462516e-16,"PASS"
"MAE|tenfold|M3|species_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M1|record_equal|species_equal",1,0,"PASS"
"RMSE|tenfold|M1|record_equal|species_equal",17003,0,"PASS"
"RMSE|tenfold|M1|record_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M1|species_equal|species_equal",1,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M1|species_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M1|species_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M2|record_equal|species_equal",1,0,"PASS"
"RMSE|tenfold|M2|record_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M2|record_equal|species_equal",50000,1.11022302462516e-16,"PASS"
"RMSE|tenfold|M2|species_equal|species_equal",1,0,"PASS"
"RMSE|tenfold|M2|species_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M2|species_equal|species_equal",50000,0,"PASS"
"RMSE|tenfold|M3|record_equal|species_equal",1,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M3|record_equal|species_equal",17003,0,"PASS"
"RMSE|tenfold|M3|record_equal|species_equal",50000,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M3|species_equal|species_equal",1,0,"PASS"
"RMSE|tenfold|M3|species_equal|species_equal",17003,5.55111512312578e-17,"PASS"
"RMSE|tenfold|M3|species_equal|species_equal",50000,0,"PASS"
