"Metric","Design","Model","TrainWeighting","EvalWeighting","AbsDifferenceFromFormal"
"AUC","fivefold","Null","record_equal","record_equal",0
"AUC","fivefold","Null","record_equal","species_equal",5.55111512312578e-17
"AUC","fivefold","Null","species_equal","record_equal",0
"AUC","fivefold","Null","species_equal","species_equal",5.55111512312578e-17
"AUC","fivefold","M1","record_equal","record_equal",3.33066907387547e-16
"AUC","fivefold","M1","record_equal","species_equal",3.33066907387547e-16
"AUC","fivefold","M1","species_equal","record_equal",1.11022302462516e-16
"AUC","fivefold","M1","species_equal","species_equal",3.33066907387547e-16
"AUC","fivefold","M2","record_equal","record_equal",4.44089209850063e-16
"AUC","fivefold","M2","record_equal","species_equal",1.11022302462516e-16
"AUC","fivefold","M2","species_equal","record_equal",4.44089209850063e-16
"AUC","fivefold","M2","species_equal","species_equal",1.11022302462516e-16
"AUC","fivefold","M3","record_equal","record_equal",2.22044604925031e-16
"AUC","fivefold","M3","record_equal","species_equal",2.22044604925031e-16
"AUC","fivefold","M3","species_equal","record_equal",3.33066907387547e-16
"AUC","fivefold","M3","species_equal","species_equal",3.33066907387547e-16
"MAE","fivefold","Null","record_equal","record_equal",2.22044604925031e-16
"MAE","fivefold","Null","species_equal","record_equal",3.33066907387547e-16
"MAE","fivefold","M1","record_equal","record_equal",3.33066907387547e-16
"MAE","fivefold","M1","species_equal","record_equal",4.9960036108132e-16
"MAE","fivefold","M2","record_equal","record_equal",1.66533453693773e-16
"MAE","fivefold","M2","species_equal","record_equal",1.11022302462516e-16
"MAE","fivefold","M3","record_equal","record_equal",3.33066907387547e-16
"MAE","fivefold","M3","species_equal","record_equal",1.66533453693773e-16
"RMSE","fivefold","Null","record_equal","record_equal",1.66533453693773e-16
"RMSE","fivefold","Null","species_equal","record_equal",2.77555756156289e-16
"RMSE","fivefold","M1","record_equal","record_equal",4.44089209850063e-16
"RMSE","fivefold","M1","species_equal","record_equal",2.22044604925031e-16
"RMSE","fivefold","M2","record_equal","record_equal",2.77555756156289e-16
"RMSE","fivefold","M2","species_equal","record_equal",0
"RMSE","fivefold","M3","record_equal","record_equal",5.55111512312578e-17
"RMSE","fivefold","M3","species_equal","record_equal",5.55111512312578e-17
"MAE","fivefold","Null","record_equal","species_equal",1.66533453693773e-16
"MAE","fivefold","Null","species_equal","species_equal",4.44089209850063e-16
"MAE","fivefold","M1","record_equal","species_equal",4.44089209850063e-16
"MAE","fivefold","M1","species_equal","species_equal",3.88578058618805e-16
"MAE","fivefold","M2","record_equal","species_equal",2.77555756156289e-16
"MAE","fivefold","M2","species_equal","species_equal",1.66533453693773e-16
"MAE","fivefold","M3","record_equal","species_equal",1.66533453693773e-16
"MAE","fivefold","M3","species_equal","species_equal",2.22044604925031e-16
"RMSE","fivefold","Null","record_equal","species_equal",2.22044604925031e-16
"RMSE","fivefold","Null","species_equal","species_equal",5.55111512312578e-17
"RMSE","fivefold","M1","record_equal","species_equal",5.55111512312578e-17
"RMSE","fivefold","M1","species_equal","species_equal",2.77555756156289e-16
"RMSE","fivefold","M2","record_equal","species_equal",3.88578058618805e-16
"RMSE","fivefold","M2","species_equal","species_equal",3.33066907387547e-16
"RMSE","fivefold","M3","record_equal","species_equal",2.77555756156289e-16
"RMSE","fivefold","M3","species_equal","species_equal",4.44089209850063e-16
"AUC","tenfold","Null","record_equal","record_equal",0
"AUC","tenfold","Null","record_equal","species_equal",0
"AUC","tenfold","Null","species_equal","record_equal",0
"AUC","tenfold","Null","species_equal","species_equal",0
"AUC","tenfold","M1","record_equal","record_equal",1.11022302462516e-16
"AUC","tenfold","M1","record_equal","species_equal",3.33066907387547e-16
"AUC","tenfold","M1","species_equal","record_equal",1.11022302462516e-16
"AUC","tenfold","M1","species_equal","species_equal",2.22044604925031e-16
"AUC","tenfold","M2","record_equal","record_equal",2.22044604925031e-16
"AUC","tenfold","M2","record_equal","species_equal",4.44089209850063e-16
