"Version","Design","Route","Model","TrainWeighting","EvalWeighting","Inference","Species","Records","Difference","SE","Z","P","ScaledDifference","ScaledSE","AuditPurpose"
"v2","fivefold","binary","M1","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.079828999633333,0.0490809234814591,1.62647713145596,0.103848194332149,12.1340079442666,7.46030036918178,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","binary","M1","record_equal","record_equal","current_species_bootstrap",50,152,0.079828999633333,0.0469920609207549,1.69877630538385,0.0893613397389422,12.1340079442666,7.14279325995474,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","binary","M1","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.104789790631238,0.0599583684289953,1.74770917516433,0.0805143992427331,15.9280481759482,9.11367200120729,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","binary","M1","record_equal","species_equal","current_species_bootstrap",50,152,0.104789790631238,0.0593712696724009,1.76499157268234,0.0775651820616634,15.9280481759482,9.02443299020494,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","binary","M2","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.0929016784547846,0.0450870632471308,2.06049522333209,0.0393512220316697,14.1210551251273,6.85323361356387,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","binary","M2","record_equal","record_equal","current_species_bootstrap",50,152,0.0929016784547846,0.0433580151822212,2.14266446617415,0.0321400506104279,14.1210551251273,6.59041830769763,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","binary","M2","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.121882831543725,0.056075801815786,2.17353702661481,0.0297399221911169,18.5261903946462,8.52352187599947,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","binary","M2","record_equal","species_equal","current_species_bootstrap",50,152,0.121882831543725,0.0548229386721207,2.22320865126674,0.026201733748167,18.5261903946462,8.33308667816234,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","binary","M3","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.0987684235321046,0.0492654397414242,2.00482171783106,0.0449821099048929,15.0128003768799,7.48834684069648,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","binary","M3","record_equal","record_equal","current_species_bootstrap",50,152,0.0987684235321046,0.0433110831835734,2.28044223954123,0.0225814728368807,15.0128003768799,6.58328464390316,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","binary","M3","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.105272012407763,0.0550373579681737,1.91273738954981,0.0557816800495301,16.00134588598,8.36567841116241,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","binary","M3","record_equal","species_equal","current_species_bootstrap",50,152,0.105272012407763,0.0546167691230533,1.92746685858664,0.0539214744197898,16.00134588598,8.3017489067041,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M1","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.0417433572349437,0.0450731091548151,0.926125532888477,0.354380746282287,6.38673365694638,6.89618570068671,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M1","record_equal","record_equal","current_species_bootstrap",51,153,0.0417433572349437,0.0460027279078788,0.90741047614688,0.364189771526803,6.38673365694638,7.03841736990546,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M1","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.0365168918725531,0.0938019959879888,0.389297599565249,0.697056011804303,5.58708445650063,14.3517053861623,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M1","record_equal","species_equal","current_species_bootstrap",51,153,0.0365168918725531,0.0931498541186026,0.39202307097613,0.695041167257814,5.58708445650063,14.2519276801462,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M2","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.0611312382880771,0.0448922658300216,1.36173207473069,0.173282454913778,9.35307945807579,6.86851667199331,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M2","record_equal","record_equal","current_species_bootstrap",51,153,0.0611312382880771,0.0462650332624574,1.32132701475183,0.186392350097771,9.35307945807579,7.07855008915598,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M2","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.0701826334705012,0.0954311079085465,0.735427210357429,0.4620793552384,10.7379429209867,14.6009595100076,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M2","record_equal","species_equal","current_species_bootstrap",51,153,0.0701826334705012,0.0948894517591598,0.739625239364146,0.459527422580111,10.7379429209867,14.5180861191514,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M3","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.113864190349738,0.0514661359755986,2.21240993113849,0.0269383533101526,17.42122112351,7.87431880426659,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M3","record_equal","record_equal","current_species_bootstrap",51,153,0.113864190349738,0.0451712426893454,2.52072299920577,0.0117114004391947,17.42122112351,6.91120013146985,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M3","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.117957677863856,0.0765507000387386,1.54090919879456,0.123338886715913,18.0475247131699,11.712257105927,"method_attribution_only_fixed_saved_OOF"
"v2","fivefold","joint_bb","M3","record_equal","species_equal","current_species_bootstrap",51,153,0.117957677863856,0.0759053157451305,1.55401076599069,0.120181848610621,18.0475247131699,11.613513309005,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M1","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.110104771636758,0.0447425986419052,2.46084883262985,0.0138608753872035,16.7359252887872,6.80087499356959,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M1","record_equal","record_equal","current_species_bootstrap",50,152,0.110104771636758,0.045301170851052,2.43050608998114,0.0150777526635862,16.7359252887872,6.88577796935991,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M1","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.140999287962203,0.0596072726255105,2.36547122107142,0.0180071427607818,21.4318917702549,9.06030543907759,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M1","record_equal","species_equal","current_species_bootstrap",50,152,0.140999287962203,0.0591551999871823,2.38354849603678,0.0171466250747242,21.4318917702549,8.99159039805171,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M2","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.0977522023111561,0.0441798168963072,2.21259862938289,0.0269253296175489,14.8583347512957,6.71533216823869,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M2","record_equal","record_equal","current_species_bootstrap",50,152,0.0977522023111561,0.0460002467179395,2.12503647883771,0.0335835691487711,14.8583347512957,6.9920375011268,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M2","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.130870074270964,0.0581850219882251,2.24920554807813,0.0244994216598048,19.8922512891865,8.84412334221021,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","binary","M2","record_equal","species_equal","current_species_bootstrap",50,152,0.130870074270964,0.0578723435568321,2.26135777865028,0.0237371110337611,19.8922512891865,8.79659622063848,"method_attribution_only_fixed_saved_OOF"
