"Version","Design","Route","Model","Species","Records","SumDifference","MeanDifference","ContributionToRecordMean","ContributionToSpeciesMean"
"v2","fivefold","binary","M1","Acanthopagrus_schlegelii",4,-1.84985801679812,-0.46246450419953,-0.0121701185315666,-0.0092492900839906
"v2","fivefold","binary","M1","Astronotus_ocellatus",2,0.254745759166558,0.127372879583279,0.00167595894188525,0.00254745759166558
"v2","fivefold","binary","M1","Carassius_auratus",4,4.52967899136748,1.13241974784187,0.0298005196800492,0.0226483949568374
"v2","fivefold","binary","M1","Carassius_carassius",1,0.818355656749547,0.818355656749547,0.00538391879440491,0.0163671131349909
"v2","fivefold","binary","M1","Channa_argus",1,0.855842590544148,0.855842590544148,0.00563054335884308,0.017116851810883
"v2","fivefold","binary","M1","Cirrhinus_molitorella",1,1.18558097707156,1.18558097707156,0.00779987484915502,0.0237116195414313
"v2","fivefold","binary","M1","Cromileptes_altivelis",6,0.670080875084964,0.111680145847494,0.0044084268097695,0.00223360291694988
"v2","fivefold","binary","M1","Ctenopharyngodon_idella",1,1.13241974784187,1.13241974784187,0.0074501299200123,0.0226483949568374
"v2","fivefold","binary","M1","Danio_rerio",3,3.55674293121469,1.18558097707156,0.0233996245474651,0.0237116195414313
"v2","fivefold","binary","M1","Eleutheronema_tetradactylum",1,-0.066534652618686,-0.066534652618686,-0.000437727977754513,-0.00133069305237372
"v2","fivefold","binary","M1","Epinephelus_bruneus",3,0.146673518262312,0.048891172754104,0.000964957356988895,0.00097782345508208
"v2","fivefold","binary","M1","Epinephelus_coioides",2,0.254745759166558,0.127372879583279,0.00167595894188525,0.00254745759166558
"v2","fivefold","binary","M1","Epinephelus_fuscoguttatus",2,0.097782345508208,0.048891172754104,0.000643304904659263,0.00097782345508208
"v2","fivefold","binary","M1","Epinephelus_lanceolatus",2,0.187985539602372,0.093992769801186,0.00123674697106824,0.00187985539602372
"v2","fivefold","binary","M1","Epinephelus_malabaricus",3,0.146673518262312,0.048891172754104,0.000964957356988895,0.00097782345508208
"v2","fivefold","binary","M1","Larimichthys_crocea",2,0.158388524175352,0.079194262087676,0.00104202976431153,0.00158388524175352
"v2","fivefold","binary","M1","Lateolabrax_japonicus",4,-0.046984789258193,-0.0117461973145482,-0.000309110455646007,-0.000234923946290965
"v2","fivefold","binary","M1","Lateolabrax_maculatus",1,0.129239310127449,0.129239310127449,0.000850258619259533,0.00258478620254898
"v2","fivefold","binary","M1","Lates_calcarifer",4,0.0103786659464679,0.00259466648661698,6.82806970162363e-05,5.18933297323396e-05
"v2","fivefold","binary","M1","Lethrinus_nebulosus",2,-1.43137274526634,-0.71568637263317,-0.0094169259556996,-0.0143137274526634
"v2","fivefold","binary","M1","Lutjanus_erythropterus",1,0.198832045186735,0.198832045186735,0.00130810556043905,0.0039766409037347
"v2","fivefold","binary","M1","Maccullochella_peelii",8,-0.125925479236244,-0.0157406849045305,-0.000828457100238449,-0.00031481369809061
"v2","fivefold","binary","M1","Micropterus_salmoides",3,-0.0829225776036901,-0.02764085920123,-0.000545543273708487,-0.0005528171840246
"v2","fivefold","binary","M1","Mugil_cephalus",2,-0.0419974406300351,-0.0209987203150176,-0.000276298951513389,-0.000419974406300351
"v2","fivefold","binary","M1","Oplegnathus_fasciatus",23,2.92957623041542,0.127372879583279,0.0192735278316804,0.00254745759166558
"v2","fivefold","binary","M1","Oplegnathus_punctatus",1,0.093992769801186,0.093992769801186,0.000618373485534118,0.00187985539602372
"v2","fivefold","binary","M1","Oreochromis_niloticus",3,-0.362014836262238,-0.120671612087413,-0.00238167655435683,-0.00241343224174825
"v2","fivefold","binary","M1","Oxyeleotris_marmorata",2,-0.214075554336242,-0.107037777168121,-0.0014083918048437,-0.00214075554336242
"v2","fivefold","binary","M1","Pagrus_major",9,-0.625675045938488,-0.0695194495487209,-0.00411628319696374,-0.00139038899097442
"v2","fivefold","binary","M1","Pampus_argenteus",5,0.55840072923747,0.111680145847494,0.00367368900814125,0.00223360291694988
"v2","fivefold","binary","M1","Paralichthys_olivaceus",2,0.225002327510573,0.112501163755286,0.00148027847046429,0.00225002327510573
"v2","fivefold","binary","M1","Platax_orbicularis",1,0.198832045186735,0.198832045186735,0.00130810556043905,0.0039766409037347
"v2","fivefold","binary","M1","Platichthys_stellatus",1,0.111680145847494,0.111680145847494,0.00073473780162825,0.00223360291694988
"v2","fivefold","binary","M1","Plectropomus_leopardus",2,0.225002327510573,0.112501163755286,0.00148027847046429,0.00225002327510573
"v2","fivefold","binary","M1","Poecilia_latipinna",1,0.52634688252129,0.52634688252129,0.00346280843764007,0.0105269376504258
"v2","fivefold","binary","M1","Poecilia_reticulata",3,0.0040338728084397,0.0013446242694799,2.65386368976296e-05,2.6892485389598e-05
"v2","fivefold","binary","M1","Poropanchax_normani",2,-0.469458431313534,-0.234729215656767,-0.00308854231127325,-0.00469458431313534
"v2","fivefold","binary","M1","Pterapogon_kauderni",3,-1.35686397173846,-0.452287990579488,-0.00892673665617411,-0.00904575981158976
"v2","fivefold","binary","M1","Pterophyllum_scalare",1,0.048891172754104,0.048891172754104,0.000321652452329632,0.00097782345508208
"v2","fivefold","binary","M1","Pygocentrus_nattereri",1,-0.760843097451937,-0.760843097451937,-0.00500554669376274,-0.0152168619490387
"v2","fivefold","binary","M1","Rhabdosargus_sarba",1,-0.46246450419953,-0.46246450419953,-0.00304252963289164,-0.0092492900839906
"v2","fivefold","binary","M1","Sciaenops_ocellatus",1,0.198832045186735,0.198832045186735,0.00130810556043905,0.0039766409037347
"v2","fivefold","binary","M1","Scophthalmus_maximus",1,0.122910346193738,0.122910346193738,0.000808620698643013,0.00245820692387476
"v2","fivefold","binary","M1","Seriola_dumerili",2,0.158388524175352,0.079194262087676,0.00104202976431153,0.00158388524175352
"v2","fivefold","binary","M1","Siniperca_chuatsi",11,0.964219981906632,0.087656361991512,0.00634355251254363,0.00175312723983024
"v2","fivefold","binary","M1","Siniperca_scherzeri",4,-0.0837002611644761,-0.020925065291119,-0.000550659612924185,-0.000418501305822381
"v2","fivefold","binary","M1","Thunnus_orientalis",3,-0.176224099385642,-0.0587413664618807,-0.00115936907490554,-0.00117482732923761
"v2","fivefold","binary","M1","Trichopodus_trichopterus",1,-0.416055830213244,-0.416055830213244,-0.00273720940929766,-0.00832111660426488
"v2","fivefold","binary","M1","Xiphophorus_hellerii",4,0.0053784970779196,0.0013446242694799,3.53848491968395e-05,2.6892485389598e-05
"v2","fivefold","binary","M1","Xiphophorus_maculatus",1,0.0013446242694799,0.0013446242694799,8.84621229920986e-06,2.6892485389598e-05
"v2","fivefold","binary","M2","Acanthopagrus_schlegelii",4,-2.39769050286632,-0.59942262571658,-0.0157742796241205,-0.0119884525143316
"v2","fivefold","binary","M2","Astronotus_ocellatus",2,0.19492137319504,0.09746068659752,0.00128237745523053,0.0019492137319504
"v2","fivefold","binary","M2","Carassius_auratus",4,4.25328749670594,1.06332187417648,0.0279821545835917,0.0212664374835297
"v2","fivefold","binary","M2","Carassius_carassius",1,0.816383457523587,0.816383457523587,0.00537094379949728,0.0163276691504717
"v2","fivefold","binary","M2","Channa_argus",1,0.605528067135069,0.605528067135069,0.00398373728378335,0.0121105613427014
