"Model","ELPD","ELPD_Difference","PairedSE","Outcome","CVType","FoldKey","ReferenceModel","MCFlaggedFolds","DeltaMethod_MCSE_TotalELPD","MaximumLikelihoodContribution","MinimumEffectiveContributions","AnyModelMCReview","Interpretation"
"Phylogeny_only_P",-37.0938174710013,0,0,"binary","species","4b769111872220f6a14f2a3df54a12309a253c6bde2b738f340550fdf9b8ca8a","Phylogeny_only_P",1,0.178683218485572,0.0398723381521513,78.0771784197141,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_P",-37.307652743413,-0.213835272411725,0.400110148698703,"binary","species","4b769111872220f6a14f2a3df54a12309a253c6bde2b738f340550fdf9b8ca8a","Phylogeny_only_P",2,0.222985649933828,0.0614337092554383,81.9223094567128,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M1_P",-37.3238015833522,-0.229984112350961,0.462867895706936,"binary","species","4b769111872220f6a14f2a3df54a12309a253c6bde2b738f340550fdf9b8ca8a","Phylogeny_only_P",2,0.201673116740236,0.0795012692064233,57.3745745066986,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_P",-37.337054155612,-0.243236684610707,0.689639935917116,"binary","species","4b769111872220f6a14f2a3df54a12309a253c6bde2b738f340550fdf9b8ca8a","Phylogeny_only_P",2,0.170365027650023,0.082262806114323,72.4150824642079,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Site315_P",-37.6554107896146,-0.561593318613355,0.329577902305351,"binary","species","4b769111872220f6a14f2a3df54a12309a253c6bde2b738f340550fdf9b8ca8a","Phylogeny_only_P",3,0.185331146482862,0.0650533849496017,66.3220355150341,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_U",-51.2963832211898,-14.2025657501885,7.12654036503608,"binary","species","4b769111872220f6a14f2a3df54a12309a253c6bde2b738f340550fdf9b8ca8a","Phylogeny_only_P",0,0.065548656370692,0.0214071474565001,445.348515433247,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M1_U",-52.9968267326626,-15.9030092616614,9.00708311966906,"binary","species","4b769111872220f6a14f2a3df54a12309a253c6bde2b738f340550fdf9b8ca8a","Phylogeny_only_P",0,0.0447882923630285,0.00600561170378342,1369.95364456041,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_U",-54.8761402528246,-17.7823227818234,9.24536335290853,"binary","species","4b769111872220f6a14f2a3df54a12309a253c6bde2b738f340550fdf9b8ca8a","Phylogeny_only_P",0,0.0423113339144182,0.00544546148197532,1634.66753045576,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Site315_U",-57.2754767947364,-20.1816593237352,10.723611774462,"binary","species","4b769111872220f6a14f2a3df54a12309a253c6bde2b738f340550fdf9b8ca8a","Phylogeny_only_P",0,0.0373161294262915,0.00214483172356795,3080.77909931531,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Null_U",-72.8321608290226,-35.7383433580213,12.2409729771566,"binary","species","4b769111872220f6a14f2a3df54a12309a253c6bde2b738f340550fdf9b8ca8a","Phylogeny_only_P",0,0.0516127005093296,0.00252231750682619,1939.80816485442,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
