"Model","ELPD","ELPD_Difference","PairedSE","Outcome","CVType","FoldKey","ReferenceModel","MCFlaggedFolds","DeltaMethod_MCSE_TotalELPD","MaximumLikelihoodContribution","MinimumEffectiveContributions","AnyModelMCReview","Interpretation"
"Site315_P",-494.471023976106,0,0,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.1041308213063,0.999999998832979,1.00000000233404,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_P",-522.134726956511,-27.6637029804053,27.8265696905355,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.12083086831034,1,1,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M1_P",-581.088511291102,-86.617487314996,85.9768432629503,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.05638637742745,0.999999999883689,1.00000000023262,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_P",-618.001516332325,-123.530492356219,123.43742099094,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.10897245789926,0.99999999973697,1.00000000052606,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Phylogeny_only_P",-621.97243794827,-127.501413972164,127.605376765345,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.19504285898374,0.999999999846987,1.00000000030603,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_U",-814.763761128615,-320.292737152509,233.293681285786,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.33668961970732,0.999999999617065,1.00000000076587,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_U",-951.862900750615,-457.391876774509,350.958566908148,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.19829558179062,0.999999999999998,1,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M1_U",-974.237538612627,-479.766514636521,358.811257682921,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.4152100102612,0.999999999993477,1.00000000001305,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Site315_U",-1079.49747186402,-585.026447887916,441.685477935775,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",2,1.0728382943396,0.98977910978009,1.02070503935657,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Null_U",-2816.52689668427,-2322.05587270817,1878.57310936009,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.38491790373971,0.955723538935384,1.09245693806942,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
