"Model","ELPD","ELPD_Difference","PairedSE","Outcome","CVType","FoldKey","ReferenceModel","MCFlaggedFolds","DeltaMethod_MCSE_TotalELPD","MaximumLikelihoodContribution","MinimumEffectiveContributions","AnyModelMCReview","Interpretation"
"M1_P",-369.026277613168,0,0,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",5,1.85660852922684,0.999999438718957,1.00000112256272,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_P",-398.170905952377,-29.1446283392088,33.0598426552628,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",5,1.66761123926085,0.973082013237251,1.05529554388971,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Phylogeny_only_P",-403.617086601438,-34.5908089882697,27.9278819226317,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",5,1.86744833513187,0.98787785781737,1.02466883766388,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Site315_P",-404.592298398517,-35.5660207853487,39.788467258228,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",5,1.82886240373035,0.999782895506661,1.0004343135833,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_P",-407.205035756545,-38.1787581433771,22.5553512921472,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",5,1.47627327143438,0.959040218013653,1.08598941169692,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_U",-726.350087703554,-357.323810090386,124.233579529011,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",4,1.39778619628735,0.990698617836345,1.01877588182853,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M1_U",-733.552708233313,-364.526430620145,173.672618238918,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",3,0.77206047749337,0.520516763014847,2.98855860021906,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_U",-743.516631032933,-374.490353419765,174.469917259747,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",4,1.18335376313328,0.966010604897428,1.07089178685144,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Site315_U",-925.157164118967,-556.130886505799,286.239045492157,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",3,0.663765429303107,0.392266236792301,3.76702572419635,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Null_U",-1173.24390728331,-804.217629670142,284.270415907684,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",2,0.539700917828859,0.30379572537373,4.28857126744431,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
