"Route","Design","Model","SourceOOF_P","CorrectionTable_P","SourceOOF_Delta","CorrectionTable_Delta","RecomputedBH","SavedCorrectionBH"
"binary","species5","M1",0.103848194332149,0.103848194332149,12.1340079442666,12.1340079442666,0.233658437247335,0.233658437247335
"binary","species5","M2",0.0393512220316697,0.0393512220316697,14.1210551251273,14.1210551251273,0.134946329714679,0.134946329714679
"binary","species5","M3",0.0449821099048929,0.0449821099048929,15.0128003768799,15.0128003768799,0.134946329714679,0.134946329714679
"binary","species10","M1",0.0138608753872035,0.0138608753872035,16.7359252887872,16.7359252887872,0.048465593311588,0.048465593311588
"binary","species10","M2",0.0269253296175489,0.0269253296175489,14.8583347512957,14.8583347512957,0.048465593311588,0.048465593311588
"binary","species10","M3",0.0105168990307908,0.0105168990307908,17.9365892566914,17.9365892566914,0.048465593311588,0.048465593311588
"joint_bb","species5","M1",0.354380746282288,0.354380746282288,6.38673365694638,6.38673365694638,0.398678339567574,0.398678339567574
"joint_bb","species5","M2",0.173282454913778,0.173282454913778,9.35307945807579,9.35307945807579,0.272506996280301,0.267729221091672
"joint_bb","species5","M3",0.0269383533101526,0.0269383533101526,17.42122112351,17.42122112351,0.134946329714679,0.134946329714679
"joint_bb","species10","M1",0.247571749449126,0.247571749449126,8.33964832803326,8.33964832803326,0.247571749449126,0.247571749449126
"joint_bb","species10","M2",0.0608611237808775,0.0608611237808775,13.0493569287289,13.0493569287289,0.0864958939129855,0.0837349426228634
"joint_bb","species10","M3",0.0248321663153567,0.0248321663153567,17.7161867667294,17.7161867667294,0.048465593311588,0.048465593311588
"schemeA_tobit","species5","M1",0.492086008170446,0.477952684860413,10.471767824498,10.7619027308702,0.492086008170446,0.477952684860413
"schemeA_tobit","species5","M2",0.282868362653669,0.274591320005862,15.1888878016324,15.3902200484686,0.363687894840432,0.35304598286468
"schemeA_tobit","species5","M3",0.181671330853534,0.178486147394448,23.1785643880723,23.2731725633232,0.272506996280301,0.267729221091672
"schemeA_tobit","species10","M1",0.124519233040632,0.122095983482057,23.4129315045252,23.5084423372716,0.140084137170711,0.137357981417314
"schemeA_tobit","species10","M2",0.0205028007931739,0.0198473319768853,30.0714723654853,30.1423608422389,0.048465593311588,0.048465593311588
"schemeA_tobit","species10","M3",0.0672745841545443,0.0651271775955604,31.892929306688,32.0274650225636,0.0864958939129855,0.0837349426228634
