"Design","Route","Model","TrainWeighting","EvalWeighting","Metric","RawValue","PlotValue","PlotUnits"
"fivefold","joint_bb","Null","record_equal","record_equal","ELPD",-194.315627745855,-194.315627745855,"weighted_log_score_sum"
"fivefold","joint_bb","Null","record_equal","species_equal","ELPD",-200.722860921232,-200.722860921232,"weighted_log_score_sum"
"fivefold","joint_bb","Null","species_equal","record_equal","ELPD",-195.815991189273,-195.815991189273,"weighted_log_score_sum"
"fivefold","joint_bb","Null","species_equal","species_equal","ELPD",-197.6809515276,-197.6809515276,"weighted_log_score_sum"
"fivefold","joint_bb","M1","record_equal","record_equal","ELPD",-187.183419044521,-187.183419044521,"weighted_log_score_sum"
"fivefold","joint_bb","M1","record_equal","species_equal","ELPD",-193.576297885337,-193.576297885337,"weighted_log_score_sum"
"fivefold","joint_bb","M1","species_equal","record_equal","ELPD",-193.025147367061,-193.025147367061,"weighted_log_score_sum"
"fivefold","joint_bb","M1","species_equal","species_equal","ELPD",-207.601030218749,-207.601030218749,"weighted_log_score_sum"
"fivefold","joint_bb","M2","record_equal","record_equal","ELPD",-181.122727394599,-181.122727394599,"weighted_log_score_sum"
"fivefold","joint_bb","M2","record_equal","species_equal","ELPD",-184.270634971273,-184.270634971273,"weighted_log_score_sum"
"fivefold","joint_bb","M2","species_equal","record_equal","ELPD",-183.188700275872,-183.188700275872,"weighted_log_score_sum"
"fivefold","joint_bb","M2","species_equal","species_equal","ELPD",-189.939625719968,-189.939625719968,"weighted_log_score_sum"
"fivefold","joint_bb","M3","record_equal","record_equal","ELPD",-180.187039095091,-180.187039095091,"weighted_log_score_sum"
"fivefold","joint_bb","M3","record_equal","species_equal","ELPD",-182.252360721937,-182.252360721937,"weighted_log_score_sum"
"fivefold","joint_bb","M3","species_equal","record_equal","ELPD",-180.295083952968,-180.295083952968,"weighted_log_score_sum"
"fivefold","joint_bb","M3","species_equal","species_equal","ELPD",-186.499526500846,-186.499526500846,"weighted_log_score_sum"
"tenfold","joint_bb","Null","record_equal","record_equal","ELPD",-198.630839034359,-198.630839034359,"weighted_log_score_sum"
"tenfold","joint_bb","Null","record_equal","species_equal","ELPD",-205.45124201316,-205.45124201316,"weighted_log_score_sum"
"tenfold","joint_bb","Null","species_equal","record_equal","ELPD",-199.704739465687,-199.704739465687,"weighted_log_score_sum"
"tenfold","joint_bb","Null","species_equal","species_equal","ELPD",-203.463971182877,-203.463971182877,"weighted_log_score_sum"
"tenfold","joint_bb","M1","record_equal","record_equal","ELPD",-193.59886041293,-193.59886041293,"weighted_log_score_sum"
"tenfold","joint_bb","M1","record_equal","species_equal","ELPD",-201.034614493682,-201.034614493682,"weighted_log_score_sum"
"tenfold","joint_bb","M1","species_equal","record_equal","ELPD",-193.099541438554,-193.099541438554,"weighted_log_score_sum"
"tenfold","joint_bb","M1","species_equal","species_equal","ELPD",-207.205862010637,-207.205862010637,"weighted_log_score_sum"
"tenfold","joint_bb","M2","record_equal","record_equal","ELPD",-189.202913158512,-189.202913158512,"weighted_log_score_sum"
"tenfold","joint_bb","M2","record_equal","species_equal","ELPD",-194.504104319856,-194.504104319856,"weighted_log_score_sum"
"tenfold","joint_bb","M2","species_equal","record_equal","ELPD",-186.930594405594,-186.930594405594,"weighted_log_score_sum"
"tenfold","joint_bb","M2","species_equal","species_equal","ELPD",-195.018382728594,-195.018382728594,"weighted_log_score_sum"
"tenfold","joint_bb","M3","record_equal","record_equal","ELPD",-185.492352817584,-185.492352817584,"weighted_log_score_sum"
"tenfold","joint_bb","M3","record_equal","species_equal","ELPD",-190.570886165688,-190.570886165688,"weighted_log_score_sum"
"tenfold","joint_bb","M3","species_equal","record_equal","ELPD",-186.190457816992,-186.190457816992,"weighted_log_score_sum"
"tenfold","joint_bb","M3","species_equal","species_equal","ELPD",-195.634572219843,-195.634572219843,"weighted_log_score_sum"
"fivefold","joint_bb","Null","record_equal","record_equal","MAE",0.319014178139766,31.9014178139766,"percentage_points"
"fivefold","joint_bb","Null","record_equal","species_equal","MAE",0.336401486920479,33.6401486920479,"percentage_points"
"fivefold","joint_bb","Null","species_equal","record_equal","MAE",0.334540678826585,33.4540678826585,"percentage_points"
"fivefold","joint_bb","Null","species_equal","species_equal","MAE",0.339497537641928,33.9497537641928,"percentage_points"
"fivefold","joint_bb","M1","record_equal","record_equal","MAE",0.292294989585898,29.2294989585898,"percentage_points"
"fivefold","joint_bb","M1","record_equal","species_equal","MAE",0.309830037738674,30.9830037738674,"percentage_points"
"fivefold","joint_bb","M1","species_equal","record_equal","MAE",0.301351031616303,30.1351031616303,"percentage_points"
"fivefold","joint_bb","M1","species_equal","species_equal","MAE",0.321225758005397,32.1225758005397,"percentage_points"
"fivefold","joint_bb","M2","record_equal","record_equal","MAE",0.281126266875241,28.1126266875241,"percentage_points"
"fivefold","joint_bb","M2","record_equal","species_equal","MAE",0.29836632754719,29.836632754719,"percentage_points"
"fivefold","joint_bb","M2","species_equal","record_equal","MAE",0.286160714919259,28.6160714919259,"percentage_points"
"fivefold","joint_bb","M2","species_equal","species_equal","MAE",0.301165313643191,30.1165313643191,"percentage_points"
"fivefold","joint_bb","M3","record_equal","record_equal","MAE",0.272645976127282,27.2645976127282,"percentage_points"
"fivefold","joint_bb","M3","record_equal","species_equal","MAE",0.288598953747077,28.8598953747077,"percentage_points"
"fivefold","joint_bb","M3","species_equal","record_equal","MAE",0.263573883297193,26.3573883297193,"percentage_points"
"fivefold","joint_bb","M3","species_equal","species_equal","MAE",0.286395291372372,28.6395291372372,"percentage_points"
"tenfold","joint_bb","Null","record_equal","record_equal","MAE",0.321649699256429,32.1649699256429,"percentage_points"
