"Design","Route","Model","TrainWeighting","EvalWeighting","FoldCount","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","PooledAUC","FoldMeanAUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation","MAE_PercentagePoints","RMSE_PercentagePoints"
"fivefold","joint_bb","Null","record_equal","record_equal",5,153,51,153,51,48,48,153,-194.315627745855,-1.27003678265265,,,,,0.319014178139766,0.375965670907576,0.009975347524743,145,0.972413793103448,0.922786768573726,145,"full_design_records",31.9014178139766,37.5965670907576
"fivefold","joint_bb","Null","record_equal","species_equal",5,153,51,153,51,48,48,153,-200.722860921232,-1.31191412366818,,,,,0.336401486920479,0.410833819364045,0.117277505972979,145,0.932291666666667,0.879799965530485,145,"full_design_records",33.6401486920479,41.0833819364045
"fivefold","joint_bb","Null","species_equal","record_equal",5,153,51,153,51,48,48,153,-195.815991189273,-1.27984307966845,,,,,0.334540678826585,0.377543562156178,-0.046065335403462,145,1,0.944260405264697,145,"full_design_records",33.4540678826585,37.7543562156178
"fivefold","joint_bb","Null","species_equal","species_equal",5,153,51,153,51,48,48,153,-197.6809515276,-1.29203236292549,,,,,0.339497537641928,0.397873437938082,0.0617337722657146,145,1,0.913691509648407,145,"full_design_records",33.9497537641928,39.7873437938082
"fivefold","joint_bb","M1","record_equal","record_equal",5,153,51,153,51,48,48,153,-187.183419044521,-1.22342103950667,,,,,0.292294989585898,0.339182745810521,-0.0185028659476809,145,0.993103448275862,0.920230377059276,145,"full_design_records",29.2294989585898,33.9182745810521
"fivefold","joint_bb","M1","record_equal","species_equal",5,153,51,153,51,48,48,153,-193.576297885337,-1.26520456134207,,,,,0.309830037738674,0.364748371816357,0.0560682329711494,145,0.979166666666667,0.882808404254627,145,"full_design_records",30.9830037738674,36.4748371816357
"fivefold","joint_bb","M1","species_equal","record_equal",5,153,51,153,51,48,48,153,-193.025147367061,-1.26160227037295,,,,,0.301351031616303,0.346566366572298,-0.0512597736376375,145,0.993103448275862,0.924290189880762,145,"full_design_records",30.1351031616303,34.6566366572298
"fivefold","joint_bb","M1","species_equal","species_equal",5,153,51,153,51,48,48,153,-207.601030218749,-1.35686947855391,,,,,0.321225758005397,0.376436795788072,0.021015951327966,145,0.979166666666667,0.889336636522626,145,"full_design_records",32.1225758005397,37.6436795788072
"fivefold","joint_bb","M2","record_equal","record_equal",5,153,51,153,51,48,48,153,-181.122727394599,-1.18380867578169,,,,,0.281126266875241,0.327869953809104,-0.00980891291874138,145,0.993103448275862,0.916096396896988,145,"full_design_records",28.1126266875241,32.7869953809104
"fivefold","joint_bb","M2","record_equal","species_equal",5,153,51,153,51,48,48,153,-184.270634971273,-1.20438323510636,,,,,0.29836632754719,0.353920264013822,0.0623171035585698,145,0.979166666666667,0.87641543396927,145,"full_design_records",29.836632754719,35.3920264013822
"fivefold","joint_bb","M2","species_equal","record_equal",5,153,51,153,51,48,48,153,-183.188700275872,-1.19731176650897,,,,,0.286160714919259,0.328317838784043,-0.0410446461306077,145,0.993103448275862,0.918593635068759,145,"full_design_records",28.6160714919259,32.8317838784043
"fivefold","joint_bb","M2","species_equal","species_equal",5,153,51,153,51,48,48,153,-189.939625719968,-1.24143546222201,,,,,0.301165313643191,0.352431974731806,0.0302324403690363,145,0.979166666666667,0.881181678328834,145,"full_design_records",30.1165313643191,35.2431974731806
"fivefold","joint_bb","M3","record_equal","record_equal",5,153,51,153,51,48,48,153,-180.187039095091,-1.17769306598099,,,,,0.272645976127282,0.315942731764359,-0.0159702537281795,145,0.993103448275862,0.92188081999064,145,"full_design_records",27.2645976127282,31.5942731764359
"fivefold","joint_bb","M3","record_equal","species_equal",5,153,51,153,51,48,48,153,-182.252360721937,-1.19119190014338,,,,,0.288598953747077,0.341221818582549,0.0498389945630163,145,0.979166666666667,0.886813835020369,145,"full_design_records",28.8598953747077,34.1221818582549
"fivefold","joint_bb","M3","species_equal","record_equal",5,153,51,153,51,48,48,153,-180.295083952968,-1.17839924152267,,,,,0.263573883297193,0.309154406418289,-0.0197825894779096,145,0.986206896551724,0.908910814495062,145,"full_design_records",26.3573883297193,30.9154406418289
"fivefold","joint_bb","M3","species_equal","species_equal",5,153,51,153,51,48,48,153,-186.499526500846,-1.2189511536003,,,,,0.286395291372372,0.338683431633334,0.034014136396737,145,0.9765625,0.871751121300119,145,"full_design_records",28.6395291372372,33.8683431633334
