"FitID","Route","Model","TrainWeighting","Design","Fold","Status","MaxRhat","MinBulkESS","MinTailESS","Divergences","TreeDepthHits","MinEBFMI","ParametersChecked","DiagnosticScope","StoredFitKey","StoredChains","StoredIter","StoredWarmup"
"full__all__binary__Null__record_equal","binary","Null","record_equal","full",,"PASS",1.00235987979304,1673.64308055612,1936.5170595085,0,0,0.968494685409204,2,"sampled_parameters_and_lp; deterministic_outputs_checked_separately","64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2",4,4000,2000
"fivefold__1__binary__Null__record_equal","binary","Null","record_equal","fivefold",1,"PASS",1.00351627819051,1974.18189011808,1349.49514830808,0,0,0.846154257840706,2,"sampled_parameters_and_lp; deterministic_outputs_checked_separately","a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3",4,4000,2000
"fivefold__2__binary__Null__record_equal","binary","Null","record_equal","fivefold",2,"PASS",1.00248195307476,1957.90612322202,1920.79059629831,0,0,0.905888663596971,2,"sampled_parameters_and_lp; deterministic_outputs_checked_separately","7547d610bbaa6e1a8d7e5f6167c2f4600d886029de394d2b5a81b26a9db5e81a",4,4000,2000
"fivefold__3__binary__Null__record_equal","binary","Null","record_equal","fivefold",3,"PASS",1.00190191516056,1912.80899168305,1917.77755651629,0,0,0.956056667621799,2,"sampled_parameters_and_lp; deterministic_outputs_checked_separately","cffc09651d1161e80a773c76eacb426f9d7379ca9d5e7183c1d2c9a1a5326aa5",4,4000,2000
"fivefold__4__binary__Null__record_equal","binary","Null","record_equal","fivefold",4,"PASS",1.00219532483151,1586.51266666949,1776.46024813657,0,0,0.847567226554156,2,"sampled_parameters_and_lp; deterministic_outputs_checked_separately","008193d49e5be3cf1852ee01622c51a96a2feb53c9a68308eba06adefad040ed",4,4000,2000
"fivefold__5__binary__Null__record_equal","binary","Null","record_equal","fivefold",5,"PASS",1.00256482584416,1720.36649784431,1891.26478292363,0,0,0.882492680169735,2,"sampled_parameters_and_lp; deterministic_outputs_checked_separately","d8d20e78c8fe6ec80d889d340ab1b129286526c56bc8288b6cebfccbc4b713b0",4,4000,2000
"tenfold__1__binary__Null__record_equal","binary","Null","record_equal","tenfold",1,"PASS",1.00268287016137,2080.69772870306,2040.11148146545,0,0,0.990009937160617,2,"sampled_parameters_and_lp; deterministic_outputs_checked_separately","63bc762339f9d482353f647c21c4a23fd2f548049b7097d7419658c5735815f0",4,4000,2000
"tenfold__2__binary__Null__record_equal","binary","Null","record_equal","tenfold",2,"PASS",1.0011319644332,2175.27477601545,1632.43426210642,0,0,0.84216113388889,2,"sampled_parameters_and_lp; deterministic_outputs_checked_separately","d4b8b6c74b4f3b2547ab44a4a0cc7dcc5de3d47da8e3733709b6aaf22c3fb9f0",4,4000,2000
"tenfold__3__binary__Null__record_equal","binary","Null","record_equal","tenfold",3,"PASS",1.00148392553891,1973.33467508874,1785.8529563815,0,0,0.971470837708967,2,"sampled_parameters_and_lp; deterministic_outputs_checked_separately","a56d8115dc383ff33a870867021b715686ad6fff04c1f2b5076d279080a5bed5",4,4000,2000
"tenfold__4__binary__Null__record_equal","binary","Null","record_equal","tenfold",4,"PASS",1.00200930588962,1917.94185730092,1918.16136157197,0,0,0.988739474581539,2,"sampled_parameters_and_lp; deterministic_outputs_checked_separately","ea548cb36da08081b63d753270560a8bf1ebbd7045b418be748155e1a46bd4ba",4,4000,2000
"tenfold__5__binary__Null__record_equal","binary","Null","record_equal","tenfold",5,"PASS",1.00224574027057,2199.00627796074,1964.01178540642,0,0,0.918007062360994,2,"sampled_parameters_and_lp; deterministic_outputs_checked_separately","61273e63992555acaac9a3c2bc2eec2928352a7bc2d935ccae8481226181da21",4,4000,2000
