RecordID,ExperimentID,Species,Type,Events,Total,Exact,Lower,Upper,SourceID
XLSX_R0002,S025__Carassius_auratus__E1,Carassius_auratus,count,0,20,,,,10.1073/pnas.2523268123
XLSX_R0003,S025__Carassius_auratus__E2,Carassius_auratus,count,1,20,,,,10.1073/pnas.2523268123
XLSX_R0004,S025__Carassius_auratus__E3,Carassius_auratus,count,1,20,,,,10.1073/pnas.2523268123
XLSX_R0005,S020__Carassius_auratus__E1,Carassius_auratus,count,0,10,,,,10.1016/s0044-8486(01)00639-1
XLSX_R0006,S020__Carassius_carassius__E1,Carassius_carassius,count,0,10,,,,10.1016/s0044-8486(01)00639-1
XLSX_R0007,S020__Ctenopharyngodon_idella__E1,Ctenopharyngodon_idella,count,0,10,,,,10.1016/s0044-8486(01)00639-1
XLSX_R0008,S020__Cirrhinus_molitorella__E1,Cirrhinus_molitorella,count,0,10,,,,10.1016/s0044-8486(01)00639-1
XLSX_R0009,S025__Danio_rerio__E1,Danio_rerio,count,1,20,,,,10.1073/pnas.2523268123
XLSX_R0010,S025__Danio_rerio__E2,Danio_rerio,count,1,20,,,,10.1073/pnas.2523268123
XLSX_R0011,S025__Danio_rerio__E3,Danio_rerio,count,2,20,,,,10.1073/pnas.2523268123
XLSX_R0012,S040__Pygocentrus_nattereri__E1,Pygocentrus_nattereri,exact,,,0.94,,,10.15406/ijawb.2017.02.00023
XLSX_R0013,S007__Thunnus_orientalis__E1,Thunnus_orientalis,exact,,,0.613,,,10.1016/j.aquaculture.2021.736627
XLSX_R0014,S007__Thunnus_orientalis__E2,Thunnus_orientalis,exact,,,0.916,,,10.1016/j.aquaculture.2021.736627
XLSX_R0015,S007__Thunnus_orientalis__E3,Thunnus_orientalis,exact,,,0.449,,,10.1016/j.aquaculture.2021.736627
XLSX_R0016,S005__Pampus_argenteus__E1,Pampus_argenteus,exact,,,0.8,,,10.1016/j.aquaculture.2020.735619
XLSX_R0017,S005__Pampus_argenteus__E2,Pampus_argenteus,exact,,,0.675,,,10.1016/j.aquaculture.2020.735619
XLSX_R0018,S005__Pampus_argenteus__E3,Pampus_argenteus,exact,,,0.6,,,10.1016/j.aquaculture.2020.735619
XLSX_R0019,S005__Pampus_argenteus__E4,Pampus_argenteus,exact,,,0.9,,,10.1016/j.aquaculture.2020.735619
XLSX_R0020,S012__Pampus_argenteus__E1,Pampus_argenteus,exact,,,0.5,,,10.1016/j.aquaculture.2026.743825
XLSX_R0021,S038__Pterapogon_kauderni__E1,Pterapogon_kauderni,count,10,10,,,,10.1177/104063870902100302
XLSX_R0022,S038__Pterapogon_kauderni__E2,Pterapogon_kauderni,count,20,20,,,,10.1177/104063870902100302
XLSX_R0023,S038__Pterapogon_kauderni__E3,Pterapogon_kauderni,count,30,30,,,,10.1177/104063870902100302
XLSX_R0024,S013__Oxyeleotris_marmorata__E1,Oxyeleotris_marmorata,count,10,20,,,,10.1016/j.aquaculture.2026.744063
XLSX_R0025,S014__Oxyeleotris_marmorata__E1,Oxyeleotris_marmorata,exact,,,0.898,,,10.1016/j.fsi.2020.01.047
XLSX_R0026,S063__Anabas_testudineus__E1,Anabas_testudineus,interval,,,,0.4,1.0,https://vie.vjas.vn/index.php/vjasvn/article/view/273
XLSX_R0027,S020__Channa_argus__E1,Channa_argus,count,0,10,,,,10.1016/s0044-8486(01)00639-1
XLSX_R0028,S039__Trichopodus_trichopterus__E1,Trichopodus_trichopterus,exact,,,0.7,,,10.1177/104063879300500218
XLSX_R0029,S018__Eleutheronema_tetradactylum__E1,Eleutheronema_tetradactylum,exact,,,1,,,10.1016/j.jksus.2024.103393
XLSX_R0030,S001__Lates_calcarifer__E1,Lates_calcarifer,interval,,,,0.4,0.5,10.1007/s00705-021-05207-7
XLSX_R0031,S004__Lates_calcarifer__E1,Lates_calcarifer,interval,,,,0.8,0.9,10.1016/j.aquaculture.2019.734712
XLSX_R0032,S056__Lates_calcarifer__E1,Lates_calcarifer,exact,,,0.9,,,10.3390/v12060681
XLSX_R0033,S006__Lates_calcarifer__E1,Lates_calcarifer,exact,,,0.8589,,,10.1016/j.aquaculture.2020.736326
XLSX_R0034,S007__Seriola_dumerili__E1,Seriola_dumerili,exact,,,0.9,,,10.1016/j.aquaculture.2021.736627
XLSX_R0035,S007__Seriola_dumerili__E2,Seriola_dumerili,exact,,,0.8,,,10.1016/j.aquaculture.2021.736627
XLSX_R0036,S030__Paralichthys_olivaceus__E1,Paralichthys_olivaceus,exact,,,0.7,,,10.1111/jfd.12459
XLSX_R0037,S054__Paralichthys_olivaceus__E1,Paralichthys_olivaceus,exact,,,0.8,,,10.3354/dao064193
XLSX_R0038,S060__Platichthys_stellatus__E1,Platichthys_stellatus,exact,,,0.6,,,10.5657/fas.2013.0093
XLSX_R0039,S053__Scophthalmus_maximus__E1,Scophthalmus_maximus,interval,,,,0.5,0.7,10.3354/dao064175
XLSX_R0040,S061__Astronotus_ocellatus__E1,Astronotus_ocellatus,exact,,,1,,,10.61885/joa.v33.2024.302
XLSX_R0041,S061__Astronotus_ocellatus__E2,Astronotus_ocellatus,exact,,,1,,,10.61885/joa.v33.2024.302
XLSX_R0042,S032__Oreochromis_niloticus__E1,Oreochromis_niloticus,exact,,,0.3,,,10.1111/jfd.70038
XLSX_R0043,S034__Oreochromis_niloticus__E1,Oreochromis_niloticus,interval,,,,0.6,0.9,10.1111/tbed.13825
XLSX_R0044,S049__Oreochromis_niloticus__E1,Oreochromis_niloticus,interval,,,,0.5,0.75,10.3354/dao02985
XLSX_R0045,S021__Pterophyllum_scalare__E1,Pterophyllum_scalare,exact,,,0.7,,,10.1046/j.1365-2761.1997.d01-106.x
XLSX_R0046,S029__Poecilia_latipinna__E1,Poecilia_latipinna,exact,,,0.25,,,10.1111/jfd.12222
XLSX_R0047,S025__Poecilia_reticulata__E1,Poecilia_reticulata,count,0,20,,,,10.1073/pnas.2523268123
XLSX_R0048,S025__Poecilia_reticulata__E2,Poecilia_reticulata,count,0,20,,,,10.1073/pnas.2523268123
XLSX_R0049,S025__Poecilia_reticulata__E3,Poecilia_reticulata,count,0,20,,,,10.1073/pnas.2523268123
