"Design","Fold","Route","Model","TrainWeighting","EvalWeighting","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"fivefold",1,"binary","Null","record_equal","record_equal",20,10,20,10,0,0,20,-11.2535641751419,-0.562678208757094,0.5,0.187626031370593,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","Null","record_equal","species_equal",20,10,20,10,0,0,20,-12.0265073925243,-0.601325369626216,0.5,0.205041122665968,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","Null","record_equal","record_equal",24,10,24,10,0,0,24,-22.3634338481901,-0.931809743674588,0.5,0.344889806268062,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","Null","record_equal","species_equal",24,10,24,10,0,0,24,-22.3634338481901,-0.931809743674587,0.5,0.344889806268062,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","Null","record_equal","record_equal",26,10,26,10,0,0,26,-15.2312108231039,-0.585815800888612,0.5,0.197976875685789,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","Null","record_equal","species_equal",26,10,26,10,0,0,26,-15.408972268424,-0.592652779554769,0.5,0.201044483091634,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","Null","record_equal","record_equal",60,10,60,10,0,0,60,-28.239445369698,-0.4706574228283,0.5,0.142617722712168,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","Null","record_equal","species_equal",60,10,60,10,0,0,60,-32.9792154354034,-0.549653590590056,0.5,0.180532048730345,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","Null","record_equal","record_equal",22,10,22,10,0,0,22,-12.9714654252042,-0.58961206478201,0.5,0.199711153166361,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","Null","record_equal","species_equal",22,10,22,10,0,0,22,-12.5991042886955,-0.57268655857707,0.5,0.192105231011021,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","Null","species_equal","record_equal",20,10,20,10,0,0,20,-11.437555755435,-0.57187778777175,0.5,0.191436333674629,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","Null","species_equal","species_equal",20,10,20,10,0,0,20,-11.9624487797457,-0.598122438987286,0.5,0.20392031982138,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","Null","species_equal","record_equal",24,10,24,10,0,0,24,-19.7530433746852,-0.823043473945215,0.5,0.307197117827595,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","Null","species_equal","species_equal",24,10,24,10,0,0,24,-19.7530433746852,-0.823043473945215,0.5,0.307197117827595,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","Null","species_equal","record_equal",26,10,26,10,0,0,26,-15.2833751829264,-0.587822122420247,0.5,0.198985052662568,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","Null","species_equal","species_equal",26,10,26,10,0,0,26,-15.3988232363407,-0.592262432166949,0.5,0.201101736990005,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","Null","species_equal","record_equal",60,10,60,10,0,0,60,-28.4287651448568,-0.473812752414281,0.5,0.144014931590227,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","Null","species_equal","species_equal",60,10,60,10,0,0,60,-33.0774317505465,-0.551290529175775,0.5,0.181256903541635,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","Null","species_equal","record_equal",22,10,22,10,0,0,22,-13.0086773144837,-0.591303514294713,0.5,0.200610942881166,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","Null","species_equal","species_equal",22,10,22,10,0,0,22,-12.7704296411744,-0.580474074598838,0.5,0.195437964089478,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M1","record_equal","record_equal",20,10,20,10,0,0,20,-9.7303034554936,-0.48651517277468,0.66,0.153857439831882,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M1","record_equal","species_equal",20,10,20,10,0,0,20,-8.47336101513033,-0.423668050756517,0.857045143638851,0.129439259953611,,,,0,,,0,"weighted_record_or_species"
