"Design","Route","Model","TrainWeighting","EvalWeighting","FoldCount","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","PooledAUC","FoldMeanAUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"fivefold","binary","Null","record_equal","record_equal",5,152,50,152,50,0,0,152,-90.0591196413381,-0.592494208166698,0.5,0.302442528735632,0.5,0.198210417618854,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","Null","record_equal","species_equal",5,152,50,152,50,0,0,152,-98.74309247749,-0.64962560840454,0.5,0.392654545454545,0.5,0.224722538353406,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","Null","species_equal","record_equal",5,152,50,152,50,0,0,152,-87.9114167723871,-0.578364584028863,0.5,0.307231800766284,0.5,0.193614509930138,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","Null","species_equal","species_equal",5,152,50,152,50,0,0,152,-95.6138656457715,-0.629038589774813,0.5,0.386370909090909,0.5,0.217782808454019,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M1","record_equal","record_equal",5,152,50,152,50,0,0,152,-71.0880998600444,-0.467684867500292,0.679566253596955,0.716475095785441,0.679566253596955,0.146693157989763,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M1","record_equal","species_equal",5,152,50,152,50,0,0,152,-76.0901673460176,-0.5005932062238,0.78740858524471,0.779988363636364,0.78740858524471,0.162857239540684,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M1","species_equal","record_equal",5,152,50,152,50,0,0,152,-69.4328979176443,-0.456795381037134,0.666032419010489,0.731082375478927,0.666032419010489,0.142219244751398,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M1","species_equal","species_equal",5,152,50,152,50,0,0,152,-75.4727249053207,-0.496531084903426,0.742267519413989,0.773547636363636,0.742267519413989,0.160824924214053,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M2","record_equal","record_equal",5,152,50,152,50,0,0,152,-72.0793432054157,-0.474206205298788,0.659179615705932,0.669181034482759,0.659179615705932,0.148212691948881,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M2","record_equal","species_equal",5,152,50,152,50,0,0,152,-77.1685975485028,-0.507688141766466,0.721891351058812,0.724247272727273,0.721891351058812,0.164226683207571,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
