"Scope","Design","Fold","Route","Model","EvalWeighting","Family","ModelA","ModelB","Difference","SE_approx","CI95_lower","CI95_upper","Z_approx","P_approx","IntervalStatus","UncertaintyScope","RecordsUsed","SpeciesUsed","BootstrapReplicates","P_BH"
"design","fivefold",,"binary","Null","record_equal","training_method","species_equal","record_equal",0.0141296241378355,0.0181939601161183,-0.0177186309702687,0.053116467592264,0.776610701994334,0.43738848558089,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.43738848558089
"design","fivefold",,"binary","M1","record_equal","training_method","species_equal","record_equal",0.0108894864631584,0.0115790373111794,-0.00988836273892544,0.0354687271324379,0.940448343891661,0.346987634462298,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.43738848558089
"design","fivefold",,"binary","M2","record_equal","training_method","species_equal","record_equal",0.0130400772901491,0.0115124435672123,-0.00746749766606864,0.0382340462573479,1.13269413344076,0.257342722147628,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.43738848558089
"design","fivefold",,"binary","M3","record_equal","training_method","species_equal","record_equal",0.0142683448162918,0.00911814992183498,-0.00264183907276539,0.0336602679574688,1.56482893334796,0.117623025631355,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.43738848558089
"design","fivefold",,"joint_bb","Null","record_equal","training_method","species_equal","record_equal",-0.00980629701580416,0.0269165465000766,-0.0559855642969965,0.0478151472150041,-0.364322258643999,0.715617380352772,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.954156507137029
"design","fivefold",,"joint_bb","M1","record_equal","training_method","species_equal","record_equal",-0.0381812308662763,0.0286742544796541,-0.0980076533162697,0.0163961949030006,-1.33155095255808,0.183007791221087,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.732031164884347
"design","fivefold",,"joint_bb","M2","record_equal","training_method","species_equal","record_equal",-0.0135030907272722,0.0197772875294672,-0.0524044379006526,0.024861115348071,-0.682757466470224,0.494760110370336,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.954156507137029
"design","fivefold",,"joint_bb","M3","record_equal","training_method","species_equal","record_equal",-0.000706175541677006,0.0230545293159921,-0.0480918574938652,0.0425647160126358,-0.0306306640225856,0.975564087264242,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.975564087264242
"design","tenfold",,"binary","Null","record_equal","training_method","species_equal","record_equal",-0.00854550571816298,0.0196823690550283,-0.0395310346303661,0.0364307738394618,-0.434170586593073,0.66416457055196,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.816630472807554
"design","tenfold",,"binary","M1","record_equal","training_method","species_equal","record_equal",0.0030341358441786,0.0130848856107833,-0.0188473200274635,0.0316648369446858,0.231880960554838,0.816630472807554,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.816630472807554
"design","tenfold",,"binary","M2","record_equal","training_method","species_equal","record_equal",0.00469796691945236,0.0104598303762833,-0.0132488607450275,0.0285340764591312,0.449143700274963,0.653327997753543,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.816630472807554
"design","tenfold",,"binary","M3","record_equal","training_method","species_equal","record_equal",0.00952232781943509,0.0115573314754327,-0.011381249815147,0.0346881077718344,0.823920975155603,0.409984461450019,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.816630472807554
"design","tenfold",,"joint_bb","Null","record_equal","training_method","species_equal","record_equal",-0.00701895706750605,0.0250299046251815,-0.0497896302716942,0.0480648067961544,-0.280422845097243,0.779153112022145,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.901314446267806
"design","tenfold",,"joint_bb","M1","record_equal","training_method","species_equal","record_equal",0.00326352270833836,0.0263185093486098,-0.0485983580098106,0.0537914461114219,0.12400104675802,0.901314446267806,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.901314446267806
"design","tenfold",,"joint_bb","M2","record_equal","training_method","species_equal","record_equal",0.0148517565550232,0.0213424577238915,-0.0225486639692189,0.0590670832563603,0.695878457259288,0.486504949586427,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.901314446267806
"design","tenfold",,"joint_bb","M3","record_equal","training_method","species_equal","record_equal",-0.00456277777390795,0.0244632879885484,-0.0541984096606701,0.0422428830158653,-0.186515311271479,0.852040672871025,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.901314446267806
"design","fivefold",,"binary","Null","species_equal","training_method","species_equal","record_equal",0.020587018629727,0.0220643388019584,-0.0199949661494173,0.0645799826941273,0.933044892688998,0.3507967900131,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.7015935800262
"design","fivefold",,"binary","M1","species_equal","training_method","species_equal","record_equal",0.00406212132037378,0.013025492377219,-0.0202948992427616,0.0307945947237367,0.311859329592656,0.755147432355156,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.755147432355156
"design","fivefold",,"binary","M2","species_equal","training_method","species_equal","record_equal",0.00801588372091541,0.0126676070374239,-0.0153457432242706,0.0343466665225645,0.632785947435382,0.526873434691483,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.702497912921977
"design","fivefold",,"binary","M3","species_equal","training_method","species_equal","record_equal",0.0150947777971725,0.0104126066360117,-0.00452776192645104,0.0359593231832409,1.44966369371601,0.147152324838902,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.588609299355608
"design","fivefold",,"joint_bb","Null","species_equal","training_method","species_equal","record_equal",0.019881760742696,0.0278738899534697,-0.0327680201019353,0.0775862362258961,0.713275426425409,0.475675340458974,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.475675340458974
"design","fivefold",,"joint_bb","M1","species_equal","training_method","species_equal","record_equal",-0.0916649172118403,0.0511166508578236,-0.202692165982351,-0.00158581075618518,-1.79324966862164,0.0729330113614619,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.291732045445848
"design","fivefold",,"joint_bb","M2","species_equal","training_method","species_equal","record_equal",-0.0370522271156547,0.029732654229622,-0.100550893101209,0.0162465004090275,-1.24617959868313,0.212698467160874,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.425396934321748
"design","fivefold",,"joint_bb","M3","species_equal","training_method","species_equal","record_equal",-0.0277592534569212,0.0279887158214979,-0.0855008682312144,0.0236479720954013,-0.991801611548019,0.321294311384664,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.428392415179552
"design","tenfold",,"binary","Null","species_equal","training_method","species_equal","record_equal",0.00503383658218083,0.020247434448084,-0.0319334018538518,0.0466312098272069,0.248616020715513,0.803657814796902,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.806882864635086
"design","tenfold",,"binary","M1","species_equal","training_method","species_equal","record_equal",-0.0107120615691065,0.0127842338858501,-0.0338962791205523,0.0159726810760107,-0.83791188934386,0.40208019084687,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.806882864635086
"design","tenfold",,"binary","M2","species_equal","training_method","species_equal","record_equal",-0.005398774954689,0.0111458082954274,-0.0270386574414748,0.0172607277943668,-0.48437715880183,0.628118225673419,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.806882864635086
"design","tenfold",,"binary","M3","species_equal","training_method","species_equal","record_equal",0.00254540567307125,0.0104128164221684,-0.0163517554188881,0.0239461310789209,0.244449298813355,0.806882864635086,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",152,50,2000,0.806882864635086
"design","tenfold",,"joint_bb","Null","species_equal","training_method","species_equal","record_equal",0.0129886982371462,0.031520077054567,-0.0487562636587555,0.0747937821912049,0.412076982383654,0.68028299907193,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.907043998762573
"design","tenfold",,"joint_bb","M1","species_equal","training_method","species_equal","record_equal",-0.0403349510912122,0.0494940430776171,-0.146954974531501,0.0426492777319185,-0.814945568862872,0.415103467573575,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.83020693514715
"design","tenfold",,"joint_bb","M2","species_equal","training_method","species_equal","record_equal",-0.0033612967891389,0.0291188517005816,-0.0596370827485801,0.0516293111203725,-0.115433699917218,0.908101368816775,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.908101368816775
"design","tenfold",,"joint_bb","M3","species_equal","training_method","species_equal","record_equal",-0.0330959872820579,0.0340691180452131,-0.102058390335441,0.033604244893078,-0.971436573090511,0.331330923574888,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",153,51,2000,0.83020693514715
