"Check","Design","Fold","Route","Model","TrainWeighting","RunPurpose","RecordType","RowsChecked","ColumnsChecked","PosteriorDraws","MaximumAbsoluteDifference","AbsoluteAndRelativeTolerance","RecomputeSource","Coverage","Status","Reason"
"posterior_to_OOF","fivefold",1,"binary","Null","record_equal","SYNTHETIC_AUDIT_FIXTURE","count",4,33,48,0,1e-10,"explicit_synthetic_posterior_fixture_and_current_inputs","all_rows_in_fit_stratum","PASS",""
"posterior_to_OOF","fivefold",1,"binary","Null","record_equal","SYNTHETIC_AUDIT_FIXTURE","exact",4,33,48,0,1e-10,"explicit_synthetic_posterior_fixture_and_current_inputs","all_rows_in_fit_stratum","PASS",""
"posterior_to_OOF","fivefold",1,"binary","Null","record_equal","SYNTHETIC_AUDIT_FIXTURE","interval",2,33,48,0,1e-10,"explicit_synthetic_posterior_fixture_and_current_inputs","all_rows_in_fit_stratum","PASS",""
"posterior_to_OOF","fivefold",1,"binary","Null","species_equal","SYNTHETIC_AUDIT_FIXTURE","count",4,33,48,0,1e-10,"explicit_synthetic_posterior_fixture_and_current_inputs","all_rows_in_fit_stratum","PASS",""
"posterior_to_OOF","fivefold",1,"binary","Null","species_equal","SYNTHETIC_AUDIT_FIXTURE","exact",4,33,48,0,1e-10,"explicit_synthetic_posterior_fixture_and_current_inputs","all_rows_in_fit_stratum","PASS",""
"posterior_to_OOF","fivefold",1,"binary","Null","species_equal","SYNTHETIC_AUDIT_FIXTURE","interval",2,33,48,0,1e-10,"explicit_synthetic_posterior_fixture_and_current_inputs","all_rows_in_fit_stratum","PASS",""
"posterior_to_OOF","fivefold",1,"binary","M1","record_equal","SYNTHETIC_AUDIT_FIXTURE","count",4,33,48,0,1e-10,"explicit_synthetic_posterior_fixture_and_current_inputs","all_rows_in_fit_stratum","PASS",""
"posterior_to_OOF","fivefold",1,"binary","M1","record_equal","SYNTHETIC_AUDIT_FIXTURE","exact",4,33,48,0,1e-10,"explicit_synthetic_posterior_fixture_and_current_inputs","all_rows_in_fit_stratum","PASS",""
"posterior_to_OOF","fivefold",1,"binary","M1","record_equal","SYNTHETIC_AUDIT_FIXTURE","interval",2,33,48,0,1e-10,"explicit_synthetic_posterior_fixture_and_current_inputs","all_rows_in_fit_stratum","PASS",""
"posterior_to_OOF","fivefold",1,"binary","M1","species_equal","SYNTHETIC_AUDIT_FIXTURE","count",4,33,48,0,1e-10,"explicit_synthetic_posterior_fixture_and_current_inputs","all_rows_in_fit_stratum","PASS",""
