"FitID","Route","Model","TrainWeighting","Design","Fold","TrainingDataHash","WeightHash","ConfigHash","Seed","Pass","IdentityPass","PredictionPass","FitKey","Reason"
"full__all__binary__Null__record_equal","binary","Null","record_equal","full",,"c11149f4e27ed99b2c2af7290f982936778a47b8c7cae623e4a10b00668204ef","b35b89e09bb8d37a66f893de5d3af0a10f5d81fde2bf7f8117443a02346af1b6","1081fa46e92eb3e7809e2db4a756c8d43e809be0056bc9061ad9ab1548e0c5f0",20260920,TRUE,TRUE,TRUE,"64268a9f42f91546868260c9b94b9604126edf13e44f7ba053ea52c9ecee1ee2","identity_current_inputs_diagnostics_and_all_predictions_recomputed"
"fivefold__1__binary__Null__record_equal","binary","Null","record_equal","fivefold",1,"1de0368f9dd711437f39eb63f86438e9738d84ac7b50816a5415d7dbc3f33c61","74190c8de668208277eebd170fabd5d166a9d07c3832374e2c63fc1c4ec668cd","1081fa46e92eb3e7809e2db4a756c8d43e809be0056bc9061ad9ab1548e0c5f0",20260922,TRUE,TRUE,TRUE,"a7c773ff211484d1472e5077355c32f0136128bfec9c16c78faf63661d941bf3","identity_current_inputs_diagnostics_and_all_predictions_recomputed"
"fivefold__2__binary__Null__record_equal","binary","Null","record_equal","fivefold",2,"5b21808ef0fda4663fa06250f651997b8ad594e9f8a99c697869d34f84f70e49","4732de58ae8b5d15f5a3b8af78e400db271c20a92b193967bf1e3b8b15566d08","1081fa46e92eb3e7809e2db4a756c8d43e809be0056bc9061ad9ab1548e0c5f0",20260923,TRUE,TRUE,TRUE,"7547d610bbaa6e1a8d7e5f6167c2f4600d886029de394d2b5a81b26a9db5e81a","identity_current_inputs_diagnostics_and_all_predictions_recomputed"
"fivefold__3__binary__Null__record_equal","binary","Null","record_equal","fivefold",3,"9b569459a3993f38889fea9ba01b540f724418249b4773e2f4636c1253a77168","ca8eb5e19a1b3f7644a8b92ccb973601fbd3e9bdef8649d30267626406318332","1081fa46e92eb3e7809e2db4a756c8d43e809be0056bc9061ad9ab1548e0c5f0",20260924,TRUE,TRUE,TRUE,"cffc09651d1161e80a773c76eacb426f9d7379ca9d5e7183c1d2c9a1a5326aa5","identity_current_inputs_diagnostics_and_all_predictions_recomputed"
"fivefold__4__binary__Null__record_equal","binary","Null","record_equal","fivefold",4,"97ddb4f520dafa27d7bdd1061e7730d5aa5b9e6912b0410c2e3b804d78eaca84","c650ec32bd2dc95881fdf91245c68193680756e95cb72346c4c209ab651a1574","1081fa46e92eb3e7809e2db4a756c8d43e809be0056bc9061ad9ab1548e0c5f0",20260925,TRUE,TRUE,TRUE,"008193d49e5be3cf1852ee01622c51a96a2feb53c9a68308eba06adefad040ed","identity_current_inputs_diagnostics_and_all_predictions_recomputed"
"fivefold__5__binary__Null__record_equal","binary","Null","record_equal","fivefold",5,"5309c786203eb8688013deed214f98f40d88e4b38adeb16bdae62d40311dcc71","fbe56799f1d05b70df65b3cc6565f989490f4bd069bf62400ef9599d3807627c","1081fa46e92eb3e7809e2db4a756c8d43e809be0056bc9061ad9ab1548e0c5f0",20260926,TRUE,TRUE,TRUE,"d8d20e78c8fe6ec80d889d340ab1b129286526c56bc8288b6cebfccbc4b713b0","identity_current_inputs_diagnostics_and_all_predictions_recomputed"
"tenfold__1__binary__Null__record_equal","binary","Null","record_equal","tenfold",1,"fd74450cdacf6f80d694c9fd46d0fbac35cfbb954b52d2c90f7c48cd76644319","c41b4c725f75561f355a0d71815e2d35dc35404fe390bcf493ceb1da4bdd4eb5","1081fa46e92eb3e7809e2db4a756c8d43e809be0056bc9061ad9ab1548e0c5f0",20260922,TRUE,TRUE,TRUE,"63bc762339f9d482353f647c21c4a23fd2f548049b7097d7419658c5735815f0","identity_current_inputs_diagnostics_and_all_predictions_recomputed"
"tenfold__2__binary__Null__record_equal","binary","Null","record_equal","tenfold",2,"e23847bb286717de985c5b72553f205b39a7705dc2876b482dfa84158093f18f","c41b4c725f75561f355a0d71815e2d35dc35404fe390bcf493ceb1da4bdd4eb5","1081fa46e92eb3e7809e2db4a756c8d43e809be0056bc9061ad9ab1548e0c5f0",20260923,TRUE,TRUE,TRUE,"d4b8b6c74b4f3b2547ab44a4a0cc7dcc5de3d47da8e3733709b6aaf22c3fb9f0","identity_current_inputs_diagnostics_and_all_predictions_recomputed"
"tenfold__3__binary__Null__record_equal","binary","Null","record_equal","tenfold",3,"a9658d15a461ff10c186b9c0d33380366fd0a1d38888eed905bda6bee34f6856","df42014080246a47d9d6ae148d5c2967be59cbe6765162f52b66ed091f276632","1081fa46e92eb3e7809e2db4a756c8d43e809be0056bc9061ad9ab1548e0c5f0",20260924,TRUE,TRUE,TRUE,"a56d8115dc383ff33a870867021b715686ad6fff04c1f2b5076d279080a5bed5","identity_current_inputs_diagnostics_and_all_predictions_recomputed"
"tenfold__4__binary__Null__record_equal","binary","Null","record_equal","tenfold",4,"ea9b41b6a08282911c3daad655a05040b03b361ed3cc1d89f604778e3ad0b7fe","1fa13c3d49e83d85de96bffdfcaa229aca0f6021ecc7bf40142cd68c0bb78c2a","1081fa46e92eb3e7809e2db4a756c8d43e809be0056bc9061ad9ab1548e0c5f0",20260925,TRUE,TRUE,TRUE,"ea548cb36da08081b63d753270560a8bf1ebbd7045b418be748155e1a46bd4ba","identity_current_inputs_diagnostics_and_all_predictions_recomputed"
