"Species","RecordID","ExperimentID","SourceID","Type","ObservedHigh","ObservedPoint","PredictedPrHigh","PredictedPoint","PredictedPI_lower","PredictedPI_upper","PIWidth","IntervalCovered","IntervalOverlap","PIObservationModel","LogPredictiveDensityRaw","OriginalRow","ApplicabilityStatus","WarningCodes","AnyMissingInputSite","AnyMissingPredictorSite","UnseenEncodedCategory","UnseenRawResidue","CombinationSeenInTraining","FixedEffectEstimable","Site151OutsideTrainingDomain","Design","Fold","Route","Model","TrainWeighting","FitKey","RunPurpose"
"synthetic_01","SYN_1_1","SYNEXP_1_1","SYNTHETIC_UNEQUAL_V32","count",1,,0.497190605510294,,,,,,,"not_applicable",-0.698781814314328,1,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_01","SYN_1_2","SYNEXP_1_2","SYNTHETIC_UNEQUAL_V32","exact",0,,0.497190605510294,,,,,,,"not_applicable",-0.687544118093526,2,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_01","SYN_1_4","SYNEXP_1_4","SYNTHETIC_UNEQUAL_V32","count",0,,0.497190605510294,,,,,,,"not_applicable",-0.687544118093526,4,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_02","SYN_2_1","SYNEXP_2_1","SYNTHETIC_UNEQUAL_V32","count",0,,0.497190605510294,,,,,,,"not_applicable",-0.687544118093526,5,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_02","SYN_2_2","SYNEXP_2_2","SYNTHETIC_UNEQUAL_V32","exact",1,,0.497190605510294,,,,,,,"not_applicable",-0.698781814314328,6,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_02","SYN_2_4","SYNEXP_2_4","SYNTHETIC_UNEQUAL_V32","count",1,,0.497190605510294,,,,,,,"not_applicable",-0.698781814314328,8,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_02","SYN_2_5","SYNEXP_2_5","SYNTHETIC_UNEQUAL_V32","exact",0,,0.497190605510294,,,,,,,"not_applicable",-0.687544118093526,9,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_03","SYN_3_1","SYNEXP_3_1","SYNTHETIC_UNEQUAL_V32","count",1,,0.497190605510294,,,,,,,"not_applicable",-0.698781814314328,10,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_03","SYN_3_2","SYNEXP_3_2","SYNTHETIC_UNEQUAL_V32","exact",0,,0.497190605510294,,,,,,,"not_applicable",-0.687544118093526,11,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_03","SYN_3_4","SYNEXP_3_4","SYNTHETIC_UNEQUAL_V32","count",0,,0.497190605510294,,,,,,,"not_applicable",-0.687544118093526,13,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_03","SYN_3_5","SYNEXP_3_5","SYNTHETIC_UNEQUAL_V32","exact",1,,0.497190605510294,,,,,,,"not_applicable",-0.698781814314328,14,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_04","SYN_4_1","SYNEXP_4_1","SYNTHETIC_UNEQUAL_V32","count",0,,0.497190605510294,,,,,,,"not_applicable",-0.687544118093526,16,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_04","SYN_4_2","SYNEXP_4_2","SYNTHETIC_UNEQUAL_V32","exact",1,,0.497190605510294,,,,,,,"not_applicable",-0.698781814314328,17,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_04","SYN_4_4","SYNEXP_4_4","SYNTHETIC_UNEQUAL_V32","count",1,,0.497190605510294,,,,,,,"not_applicable",-0.698781814314328,19,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_04","SYN_4_5","SYNEXP_4_5","SYNTHETIC_UNEQUAL_V32","exact",0,,0.497190605510294,,,,,,,"not_applicable",-0.687544118093526,20,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_04","SYN_4_7","SYNEXP_4_7","SYNTHETIC_UNEQUAL_V32","count",0,,0.497190605510294,,,,,,,"not_applicable",-0.687544118093526,22,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_05","SYN_5_1","SYNEXP_5_1","SYNTHETIC_UNEQUAL_V32","count",1,,0.497190605510294,,,,,,,"not_applicable",-0.698781814314328,23,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_05","SYN_5_2","SYNEXP_5_2","SYNTHETIC_UNEQUAL_V32","exact",0,,0.497190605510294,,,,,,,"not_applicable",-0.687544118093526,24,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_05","SYN_5_4","SYNEXP_5_4","SYNTHETIC_UNEQUAL_V32","count",0,,0.497190605510294,,,,,,,"not_applicable",-0.687544118093526,26,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
"synthetic_05","SYN_5_5","SYNEXP_5_5","SYNTHETIC_UNEQUAL_V32","exact",1,,0.497190605510294,,,,,,,"not_applicable",-0.698781814314328,27,"unlabelled_projection","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"integration",1,"binary","Null","record_equal","e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","INTEGRATION_TEST_ONLY"
