"RecordID","ExperimentID","Species","Type","Events","Total","Exact","Lower","Upper","SourceID"
"SYN_1_1","SYNEXP_1_1","synthetic_01","count",5,8,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_1_2","SYNEXP_1_2","synthetic_01","exact",,,0.35,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_1_3","SYNEXP_1_3","synthetic_01","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_1_4","SYNEXP_1_4","synthetic_01","count",2,11,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_2_1","SYNEXP_2_1","synthetic_02","count",3,9,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_2_2","SYNEXP_2_2","synthetic_02","exact",,,0.85,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_2_3","SYNEXP_2_3","synthetic_02","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_2_4","SYNEXP_2_4","synthetic_02","count",8,12,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_2_5","SYNEXP_2_5","synthetic_02","exact",,,0.35,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_3_1","SYNEXP_3_1","synthetic_03","count",8,10,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_3_2","SYNEXP_3_2","synthetic_03","exact",,,0.15,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_3_3","SYNEXP_3_3","synthetic_03","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_3_4","SYNEXP_3_4","synthetic_03","count",2,6,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_3_5","SYNEXP_3_5","synthetic_03","exact",,,0.85,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_3_6","SYNEXP_3_6","synthetic_03","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_4_1","SYNEXP_4_1","synthetic_04","count",2,11,,,,"SYNTHETIC_UNEQUAL_V32"
