"Namespace","RelativePath","ArchivePath","Bytes","SHA256"
"v3.4","config/analysis.json","v3.4/config/analysis.json","1314","a2c7dfe05744b40f05f3272e5af5f3837474707d9f6c7c06bf2bbb9d73de6888"
"v3.4","Dockerfile","v3.4/Dockerfile","912","49d2b2878daab1bd46673984cbe11082f6bccd66191eb6ca53959daa428c73a4"
"v3.4","docs/CHANGE_DETAILS_v3_4_zh.md","v3.4/docs/CHANGE_DETAILS_v3_4_zh.md","4845","5f5d5f064e2be54297668a804b801da295588dddcd29a840e6edaa5faf5279c3"
"v3.4","docs/COMPLETE_ARCHIVE_zh.md","v3.4/docs/COMPLETE_ARCHIVE_zh.md","1007","b31954381e729c2abfa6e0e8e77ca9085988b24b44eb8ddbf0d729c45ad0b57a"
"v3.4","docs/FILE_CHANGE_INDEX.csv","v3.4/docs/FILE_CHANGE_INDEX.csv","17757","e73f5380cb272ef00216d5c87ae2efcb90c8187817e42bb741f8d9b27bdaab5c"
"v3.4","docs/PIPELINE_v3_4_zh.md","v3.4/docs/PIPELINE_v3_4_zh.md","1964","9b55693c0716105802753c87bc76a42750471de1b2b0f5d4dec636f791cbb9ca"
"v3.4","docs/reproduction_ubuntu.md","v3.4/docs/reproduction_ubuntu.md","1716","95bd5f7944bd1ee5b882767f3c50e8ab9e93e76f752efa8c2927f18ca7dd763b"
"v3.4","docs/REQUEST_SCOPE_zh.md","v3.4/docs/REQUEST_SCOPE_zh.md","1183","49b60ca19a02e3f59dffc9c82b9a5420de8bfbbe83ba5c7e98f5841ca8838b2e"
"v3.4","input/contract.json","v3.4/input/contract.json","735","52cc6e008e66d4362f0373add71f0eab3b3aa1e8e518c6e7a135a19bc16a4bd4"
"v3.4","input/observations.csv","v3.4/input/observations.csv","15730","3c886f7f2c11012463296b350a931543542b4e1c0d128ad3c408fda9ae824d79"
"v3.4","input/sites.csv","v3.4/input/sites.csv","16905","0a99692b060f13d1faaa870d06ea7dca9a4f16bc289636bcc88f5d105ebdacb5"
"v3.4","provenance/ARTIFACT_INDEX.csv","v3.4/provenance/ARTIFACT_INDEX.csv","34889","e0dbf285a8650e62c88146c654cdd621cce77856e88bb6b0ea43dbab091a47dd"
"v3.4","provenance/formal_status.json","v3.4/provenance/formal_status.json","409","9359a872b766050c2467423af202b487474cf552be51880822ac1d091dd30468"
"v3.4","provenance/runtime_spec.json","v3.4/provenance/runtime_spec.json","779","545cc4c0d003d4d2a311ddbbbd34d2da74cc2b70d0ba71471ca9d209965b3e49"
"v3.4","provenance/validation_summary.json","v3.4/provenance/validation_summary.json","1718","a629ebf5d965dbf21a462c27fbf8621de2d9a2f678919d0e49919ec101c21513"
"v3.4","R/applicability.R","v3.4/R/applicability.R","3597","20e678c3184a470cc010d5e8e38e163d27ade40352cac2b0434c49f77442d588"
"v3.4","R/audit_run.R","v3.4/R/audit_run.R","10250","6957d805914425e4e6b57874a0b3872eb52b0bdaa3896a60014b3b2ac8717e24"
"v3.4","R/bootstrap.R","v3.4/R/bootstrap.R","1122","02cfcdcd5c64b87b38b3152c2574584665fcd8a732f5f84ddcc8b5ccdc833d1d"
"v3.4","R/cache_io.R","v3.4/R/cache_io.R","6792","e5bff6618d266164800cbbcdd43556e92acebd1589b16338045be80baa32dc98"
"v3.4","R/comparison.R","v3.4/R/comparison.R","7114","2ce68d341f9992ac418f55c27a1731b996d7a2fcf53ea3193e5b196912a98c2f"
"v3.4","R/config.R","v3.4/R/config.R","5808","d31a7952aa76d1ca74bec971f62ac03fb30e501eb85c0618ea68fc99ceada974"
"v3.4","R/cross_validation.R","v3.4/R/cross_validation.R","13689","2ce3be87473190750c76fd9d0a1cdb41bc3bba36b0e0b306b25df6e6cc6312c7"
"v3.4","R/data_encoding.R","v3.4/R/data_encoding.R","14243","205c15f8211918bb42705e1532162441d3fec32fc8bd1053d1abdb77dab9be88"
"v3.4","R/fitting.R","v3.4/R/fitting.R","9798","98dae597f05612cdfad2af2647c167a8c873dc524331a1d59c4bc13307f412f7"
"v3.4","R/metrics.R","v3.4/R/metrics.R","11065","71bec12ef257b0a362ee9a76469a1866839e0de1ec7f44f4a0329a57ba58d216"
"v3.4","R/plotting.R","v3.4/R/plotting.R","5861","6880ffc04a2cd9ad79999f1d6af6e072d7b183b21a5b846b559dee9e16f26430"
"v3.4","R/ppc.R","v3.4/R/ppc.R","2797","48fbac66931959c6f7ead27419d6b84c5843185f61a80e93d11083d034afabd2"
"v3.4","R/prediction_audit.R","v3.4/R/prediction_audit.R","23300","afe818c01737ca11ac74ea493eeea67ab6b10e8d4d1c5618e6aa2cb93f4eb831"
"v3.4","R/prediction.R","v3.4/R/prediction.R","7675","5772e289e9b21f976272f305334bde5bd6227fd226680b5666e224e591424927"
"v3.4","R/provenance.R","v3.4/R/provenance.R","2388","0a34fb3b5ca427286bce7cd2fbd8d60442d22ad213633ec89f857ba12296bc9f"
"v3.4","R/quantitative_diagnostics.R","v3.4/R/quantitative_diagnostics.R","5215","f28522b05dc4fb854b36ab51781aeb6394b8d0dab1b52fda014bd5eedf6d410b"
