"FitID","Route","Model","TrainWeighting","Design","Fold","Seed"
"full__all__binary__Null","binary","Null","record_equal","full",,20260920
"fivefold__1__binary__Null","binary","Null","record_equal","fivefold",1,20260922
"fivefold__2__binary__Null","binary","Null","record_equal","fivefold",2,20260923
"fivefold__3__binary__Null","binary","Null","record_equal","fivefold",3,20260924
"fivefold__4__binary__Null","binary","Null","record_equal","fivefold",4,20260925
"fivefold__5__binary__Null","binary","Null","record_equal","fivefold",5,20260926
"tenfold__1__binary__Null","binary","Null","record_equal","tenfold",1,20260922
"tenfold__2__binary__Null","binary","Null","record_equal","tenfold",2,20260923
"tenfold__3__binary__Null","binary","Null","record_equal","tenfold",3,20260924
"tenfold__4__binary__Null","binary","Null","record_equal","tenfold",4,20260925
"tenfold__5__binary__Null","binary","Null","record_equal","tenfold",5,20260926
"tenfold__6__binary__Null","binary","Null","record_equal","tenfold",6,20260927
"tenfold__7__binary__Null","binary","Null","record_equal","tenfold",7,20260928
"tenfold__8__binary__Null","binary","Null","record_equal","tenfold",8,20260929
"tenfold__9__binary__Null","binary","Null","record_equal","tenfold",9,20260930
"tenfold__10__binary__Null","binary","Null","record_equal","tenfold",10,20260931
"full__all__binary__M1","binary","M1","record_equal","full",,20260920
"fivefold__1__binary__M1","binary","M1","record_equal","fivefold",1,20260923
"fivefold__2__binary__M1","binary","M1","record_equal","fivefold",2,20260924
"fivefold__3__binary__M1","binary","M1","record_equal","fivefold",3,20260925
"fivefold__4__binary__M1","binary","M1","record_equal","fivefold",4,20260926
"fivefold__5__binary__M1","binary","M1","record_equal","fivefold",5,20260927
"tenfold__1__binary__M1","binary","M1","record_equal","tenfold",1,20260923
"tenfold__2__binary__M1","binary","M1","record_equal","tenfold",2,20260924
"tenfold__3__binary__M1","binary","M1","record_equal","tenfold",3,20260925
"tenfold__4__binary__M1","binary","M1","record_equal","tenfold",4,20260926
"tenfold__5__binary__M1","binary","M1","record_equal","tenfold",5,20260927
"tenfold__6__binary__M1","binary","M1","record_equal","tenfold",6,20260928
"tenfold__7__binary__M1","binary","M1","record_equal","tenfold",7,20260929
"tenfold__8__binary__M1","binary","M1","record_equal","tenfold",8,20260930
"tenfold__9__binary__M1","binary","M1","record_equal","tenfold",9,20260931
"tenfold__10__binary__M1","binary","M1","record_equal","tenfold",10,20260932
"full__all__binary__M2","binary","M2","record_equal","full",,20260920
"fivefold__1__binary__M2","binary","M2","record_equal","fivefold",1,20260924
"fivefold__2__binary__M2","binary","M2","record_equal","fivefold",2,20260925
"fivefold__3__binary__M2","binary","M2","record_equal","fivefold",3,20260926
"fivefold__4__binary__M2","binary","M2","record_equal","fivefold",4,20260927
"fivefold__5__binary__M2","binary","M2","record_equal","fivefold",5,20260928
"tenfold__1__binary__M2","binary","M2","record_equal","tenfold",1,20260924
"tenfold__2__binary__M2","binary","M2","record_equal","tenfold",2,20260925
"tenfold__3__binary__M2","binary","M2","record_equal","tenfold",3,20260926
"tenfold__4__binary__M2","binary","M2","record_equal","tenfold",4,20260927
"tenfold__5__binary__M2","binary","M2","record_equal","tenfold",5,20260928
"tenfold__6__binary__M2","binary","M2","record_equal","tenfold",6,20260929
"tenfold__7__binary__M2","binary","M2","record_equal","tenfold",7,20260930
"tenfold__8__binary__M2","binary","M2","record_equal","tenfold",8,20260931
"tenfold__9__binary__M2","binary","M2","record_equal","tenfold",9,20260932
"tenfold__10__binary__M2","binary","M2","record_equal","tenfold",10,20260933
"full__all__binary__M3","binary","M3","record_equal","full",,20260920
"fivefold__1__binary__M3","binary","M3","record_equal","fivefold",1,20260925
"fivefold__2__binary__M3","binary","M3","record_equal","fivefold",2,20260926
"fivefold__3__binary__M3","binary","M3","record_equal","fivefold",3,20260927
"fivefold__4__binary__M3","binary","M3","record_equal","fivefold",4,20260928
"fivefold__5__binary__M3","binary","M3","record_equal","fivefold",5,20260929
"tenfold__1__binary__M3","binary","M3","record_equal","tenfold",1,20260925
"tenfold__2__binary__M3","binary","M3","record_equal","tenfold",2,20260926
"tenfold__3__binary__M3","binary","M3","record_equal","tenfold",3,20260927
"tenfold__4__binary__M3","binary","M3","record_equal","tenfold",4,20260928
"tenfold__5__binary__M3","binary","M3","record_equal","tenfold",5,20260929
"tenfold__6__binary__M3","binary","M3","record_equal","tenfold",6,20260930
"tenfold__7__binary__M3","binary","M3","record_equal","tenfold",7,20260931
"tenfold__8__binary__M3","binary","M3","record_equal","tenfold",8,20260932
"tenfold__9__binary__M3","binary","M3","record_equal","tenfold",9,20260933
"tenfold__10__binary__M3","binary","M3","record_equal","tenfold",10,20260934
"full__all__joint_bb__Null","joint_bb","Null","record_equal","full",,20260920
"fivefold__1__joint_bb__Null","joint_bb","Null","record_equal","fivefold",1,20260922
"fivefold__2__joint_bb__Null","joint_bb","Null","record_equal","fivefold",2,20260923
"fivefold__3__joint_bb__Null","joint_bb","Null","record_equal","fivefold",3,20260924
"fivefold__4__joint_bb__Null","joint_bb","Null","record_equal","fivefold",4,20260925
"fivefold__5__joint_bb__Null","joint_bb","Null","record_equal","fivefold",5,20260926
