File,Bytes,SHA256
00_开始与使用顺序.md,6513,1c6c7ba797a67188d4c68ccfca9309a0552b41a664ea655ca505e9c511ab8906
01_输入与编码.md,15280,7afaeea2a0dd9c280f3062bd9c721d291b13b6daea7ec5bce866e042ce6fb901
02_独立分类模型.md,7969,c9d3f9cf63bccfa23b3baddbbe197bb3a32b7a21a2cbcd1034ebbcdfc44d1fcd
03_联合比率模型.md,15334,af767e65645ba0e2d93bbb9141d84da1affa303e99102a283c0c5b3857c277ea
04_模型检查与敏感性.md,9445,307175094d8ad2e36f3139a50dff78893e395d02c73f69a127184ae338326fe8
05_诊断与模型比较.md,13975,2db0443cf916901d01a0671939e2c917c346034bcfc4de1219c57452b32790d3
06_留出验证.md,14336,8f1fa9adbcee0755c749ccb5a789288d99bd056dc3d5bb54ab61fbca729edb0a
06A_HighLow_ROC_AUC.md,15841,5aa93dfff75bf1eb0c42ef4dcafb23ac56741cfa982fcb22354c4df99cf79733
07_物种预测与区间.md,7010,c75f67b2d549c77a82f52fa55d3bfbf32dd43d6ed7f0645ac7261841760d7c83
08_可选矩阵核查.md,9577,0b2cee2bce995e9e0fb296f6e7437c8766e416619ff39c9e1257bb917ed85654
边界验证/八个例子分类核对.csv,213,614d9017d085b15acf04b699c26bd5406362a09109a244e38e563e06425d968c
边界验证/检查汇总.json,1272,567ee05397ac3e52d0f706f6bc6ef19e36f7b25aae4c424e949c6277f51da5c4
边界验证/命令块语法清单_v3.csv,1872,a6131f8df5d8c21c961ef0e1b1b494b1019f2697d215da07d2bccac6b658aff0
定量评价指标说明.md,3156,a5a7c425840a4f40e9fb4d776136f624de9301cd3a6126ac953d95a8ee21a0a4
分类边界更新说明.md,2523,295d514cfbc66699b915da1f1327946ed523b1f61dae7662611fc7b621cc9294
建议复核与修正说明.md,6554,fc8628371786b833706b842564eb2aaf34bac2038dfa7c1b94377875720b41ed
输入文件格式.md,6073,2675f2392bf437e7f889887a4bdf6433d8198cd1643a0875700658c225022134
稀有阈值验证/check_summary.json,777,7b9e8d8e63e0a3d79bdf8eda1b6a342f6570be5120426a0034fdab9e67336256
稀有阈值验证/M3_changed_cells.csv,773,0f69a0923f02ec5639473d5ac8eaa31677690b346d50d224dc842a66b116c0f4
稀有阈值验证/R_code_parse_checks.csv,1557,5711ecf927e9b49e77b92e1dd0ff1174cf87c6499c024264a7e5c85ded4a3d81
验证报告.md,7652,a0fe3be1a2392115b99d35d628648f54c37d5c5ee531a1e176423492c52fb434
验证证据_ROC/来源身份.csv,2147,bdddddb6912e9bd894e3ec4dd4cb88b26704ce7456d1c9386312e7078eb56ce0
验证证据_ROC/命令块语法清单_v2.csv,1872,f0285c51eec79a8111bc1626e3b7047544e49e30dd3fc1fe011360aebb334244
验证证据_ROC/新增检查汇总.json,1617,c6028ed450419d5897df282524185502d3e37bff6e664c996bc2e0fd66c19c38
验证证据_ROC/虚构数据_每折AUC.csv,961,ef64bb7ac1b08cd542c178615a69ab0656e992595f0613a015452e20d3bb6fb6
验证证据_ROC/虚构数据_实验级留出概率.csv,50007,1e9fbf8aee0b3a9a7ff920be9170c0c8ed6e25c3e22aae8d1d004d3129eadf65
验证证据_ROC/虚构数据_AUC汇总.csv,965,c967ba9399253bf09ab4954feaaa10594853309be2695f4b6368b2fda93e6ed8
验证证据_ROC/虚构数据_ROC验证图.pdf,13563,b7d1aa60165269bf64727d3c63d2c5e5e16323259657c47501db27ab5a9aad83
验证证据_ROC/虚构数据_ROC坐标.csv,2457,3e571bb3a1219961ed9411af3abdb1f418285ea7bd788896d2238c08d53051dd
验证证据_ROC/阅读说明.txt,196,edd26bb94becea904c72ddf379934602a54977531b8e7d09b16de7cc97cf306a
验证证据/代表性敏感性拟合诊断.csv,975,daaf729f0d4df3ba4969e91eca85756954c55321dc8617466d3668bca20dfca6
验证证据/分组留出诊断.csv,6481,e408dd053eaa91bf26c8bb0ac58ac34101f98626fef469d65bbf714e1b209070
验证证据/检查汇总.json,9794,7aa813d5301ceadfb2257dc3cd6144d8da30b69466d19fd3e013d802e9d51905
