RecordID,ExperimentID,Species,Type,Events,Total,Exact,Lower,Upper,SourceID
DEMO_R01,DEMO_G01,Synthetic_1,count,2,10,,,,DEMO_Source1
DEMO_R02,DEMO_G02,Synthetic_1,exact,,,0.3,,,DEMO_Source1
DEMO_R03,DEMO_G03,Synthetic_1,interval,,,,0.15,0.35,DEMO_Source1
DEMO_R04,DEMO_G04,Synthetic_2,count,8,10,,,,DEMO_Source2
DEMO_R05,DEMO_G05,Synthetic_2,exact,,,1,,,DEMO_Source2
DEMO_R06,DEMO_G06,Synthetic_2,interval,,,,0.7,1,DEMO_Source2
DEMO_R07,DEMO_G07,Synthetic_3,count,5,10,,,,DEMO_Source3
DEMO_R08,DEMO_G08,Synthetic_3,exact,,,0.6,,,DEMO_Source3
DEMO_R09,DEMO_G09,Synthetic_3,interval,,,,0.4,1,DEMO_Source3
DEMO_R10,DEMO_G10,Synthetic_4,count,3,10,,,,DEMO_Source4
DEMO_R11,DEMO_G11,Synthetic_4,exact,,,0.45,,,DEMO_Source4
DEMO_R12,DEMO_G12,Synthetic_4,interval,,,,0.3,0.6,DEMO_Source4
DEMO_R13,DEMO_G13,Synthetic_5,count,9,10,,,,DEMO_Source5
DEMO_R14,DEMO_G14,Synthetic_5,exact,,,0.9,,,DEMO_Source5
DEMO_R15,DEMO_G15,Synthetic_5,interval,,,,0.85,1,DEMO_Source5
DEMO_R16,DEMO_G16,Synthetic_6,count,6,10,,,,DEMO_Source6
DEMO_R17,DEMO_G17,Synthetic_6,exact,,,0.7,,,DEMO_Source6
DEMO_R18,DEMO_G18,Synthetic_6,interval,,,,0.55,0.8,DEMO_Source6
