"File","Block","Status"
"00_开始与使用顺序.md",1,"PASS"
"00_开始与使用顺序.md",2,"PASS"
"00_开始与使用顺序.md",3,"PASS"
"00_开始与使用顺序.md",4,"PASS"
"01_输入与编码.md",1,"PASS"
"01_输入与编码.md",2,"PASS"
"02_独立分类模型.md",1,"PASS"
"02_独立分类模型.md",2,"PASS"
"02_独立分类模型.md",3,"PASS"
"03_联合比率模型.md",1,"PASS"
"03_联合比率模型.md",2,"PASS"
"03_联合比率模型.md",3,"PASS"
"03_联合比率模型.md",4,"PASS"
"03_联合比率模型.md",5,"PASS"
"04_模型检查与敏感性.md",1,"PASS"
"04_模型检查与敏感性.md",2,"PASS"
"04_模型检查与敏感性.md",3,"PASS"
"04_模型检查与敏感性.md",4,"PASS"
"04_模型检查与敏感性.md",5,"PASS"
"04_模型检查与敏感性.md",6,"PASS"
"04_模型检查与敏感性.md",7,"PASS"
"04_模型检查与敏感性.md",8,"PASS"
"05_诊断与模型比较.md",1,"PASS"
"05_诊断与模型比较.md",2,"PASS"
"05_诊断与模型比较.md",3,"PASS"
"05_诊断与模型比较.md",4,"PASS"
"06_留出验证.md",1,"PASS"
"06_留出验证.md",2,"PASS"
"06_留出验证.md",3,"PASS"
"06_留出验证.md",4,"PASS"
"06_留出验证.md",5,"PASS"
"06_留出验证.md",6,"PASS"
"06A_HighLow_ROC_AUC.md",1,"PASS"
"06A_HighLow_ROC_AUC.md",2,"PASS"
"06A_HighLow_ROC_AUC.md",3,"PASS"
"06A_HighLow_ROC_AUC.md",4,"PASS"
"06A_HighLow_ROC_AUC.md",5,"PASS"
"06A_HighLow_ROC_AUC.md",6,"PASS"
"07_物种预测与区间.md",1,"PASS"
"08_可选矩阵核查.md",1,"PASS"
"08_可选矩阵核查.md",2,"PASS"
"08_可选矩阵核查.md",3,"PASS"
