"File","Block","Lines"
"00_开始与使用顺序.md","00_SETTINGS",27
"00_开始与使用顺序.md","00_PACKAGES",10
"00_开始与使用顺序.md","00_INSTALL",2
"00_开始与使用顺序.md","00_RUN_DIRECTORY",18
"01_输入与编码.md","01_PREPARE",231
"01_输入与编码.md","01_SAVE",7
"02_独立分类模型.md","02_SELECT",3
"02_独立分类模型.md","02_PREPARE",65
"02_独立分类模型.md","02_FIT_SAVE",27
"03_联合比率模型.md","03_STAN_MODEL",182
"03_联合比率模型.md","03_COMPILE",7
"03_联合比率模型.md","03_SELECT",3
"03_联合比率模型.md","03_PREPARE",45
"03_联合比率模型.md","03_FIT_SAVE",34
"04_模型检查与敏感性.md","04_SELECT",5
"04_模型检查与敏感性.md","04_PPC",66
"04_模型检查与敏感性.md","04_STRONG_PRIOR",3
"04_模型检查与敏感性.md","04_WEAK_PRIOR",3
"04_模型检查与敏感性.md","04_ENDPOINT_PRIOR",5
"04_模型检查与敏感性.md","04_COUNT_DISPERSION",7
"04_模型检查与敏感性.md","04_COMPARE_SENSITIVITY",34
"04_模型检查与敏感性.md","04_RESET",6
"05_诊断与模型比较.md","05_LOAD",38
"05_诊断与模型比较.md","05_DIAGNOSTICS",54
"05_诊断与模型比较.md","05_LOO",69
"05_诊断与模型比较.md","05_COMPARE",26
"06_留出验证.md","06_FOLDS",33
"06_留出验证.md","06_SELECT",9
"06_留出验证.md","06_BINARY_CV",32
"06_留出验证.md","06_NATIVE_CV",45
"06_留出验证.md","06_SCORE",63
"06_留出验证.md","06_COMPARE",21
"06A_HighLow_ROC_AUC.md","06A_SETUP",9
"06A_HighLow_ROC_AUC.md","06A_INSTALL",1
"06A_HighLow_ROC_AUC.md","06A_LOAD",63
"06A_HighLow_ROC_AUC.md","06A_METRICS",48
"06A_HighLow_ROC_AUC.md","06A_SAVE",16
"06A_HighLow_ROC_AUC.md","06A_PLOT",21
"07_物种预测与区间.md","07_PREDICT",99
"08_可选矩阵核查.md","08_PREPARE",31
"08_可选矩阵核查.md","08_FIT_SUBMATRIX",38
"08_可选矩阵核查.md","08_COMPARE",62
