Outcome,Variant,Model,Key,Status,MaxRhat,MinBulkESS,MinTailESS,Divergences,TreeDepthHits,MinEBFMI,Rank,DesignColumns
binary,primary,Null_U,e34a23734ec97b351c0f86c617d55afb60f98605f406499b9812728e07349593,PASS,1.00617378466625,979.826754661728,932.063916665989,0,0,0.769207120208566,1,1
binary,primary,Phylogeny_only_P,4f9e0207e788996541a76476a514553ceba77f16d54336ad99ddb38144497c14,PASS,1.00221648305957,1997.34253324939,2258.08020986999,0,0,0.825598531558335,1,1
binary,primary,Site315_U,d0cfe696d8bd4521d02e261b565eea92b4c2539fd99e9bb92a4ebce921771a38,PASS,1.00132673855449,2070.2439443116,2021.08635381036,0,0,0.92220739536511,2,2
binary,primary,Site315_P,aee07884ec6a07c408e68f93976ef300ee1184d328f4714e4c1aedd238856f5d,PASS,1.00448188094472,1282.03484477609,620.830691961753,0,0,0.684934652231016,2,2
binary,primary,M1_U,4105e4bf7f18984298e812d70a9b31f21c721980d51a2c26e3f56b9fdb3aabba,PASS,1.00290465874913,3285.03127094321,2559.46442618024,0,0,0.853510408264258,4,7
binary,primary,M1_P,8d2cf8a5f5542c3ecd05a6eec91b5433644ce0a7b2fdf4b42d53e6312157b616,PASS,1.0096736592143,738.604667224264,1869.76303566325,0,0,0.805239721278243,4,7
binary,primary,M2_U,6d3b4f1a37dfcddc3a3a6f9173dfd83dcb09eec435a5a094da80c5d07cb3b0ef,PASS,1.00290465874913,3285.03127094321,2559.46442618024,0,0,0.853510408264258,4,7
binary,primary,M2_P,81dc5d69698bf92762404fde112f405c7d37af31278584f6e0cb14c278ca8221,PASS,1.0096736592143,738.604667224264,1869.76303566325,0,0,0.805239721278243,4,7
binary,primary,M3_U,f56efdc91c87cb66121738c931f8b81dbf6871b989daa32185755c32eaf192c5,PASS,1.00224960462005,3706.86520228519,2667.32767834088,0,0,0.928915791388735,5,7
binary,primary,M3_P,947f4b29c23f5ec36fa9c1468a5fd15d459a8c42baada40902e9b7b56da77441,PASS,1.00210580238403,800.903144164188,1539.59415035302,0,0,0.736058623407329,5,7
joint,primary,Null_U,7557d03d452d8d24f12d1fa771e3c8393f0d669c36b662ba68b1aa6e7e418873,PASS,1.00391131524288,2262.21496515229,1930.08504278217,0,0,0.986070772257494,1,1
joint,primary,Phylogeny_only_P,914f45d3e6f9d3d6be53696af0c33fb35dd1358692a42b9ca9805541ff0e0512,PASS,1.00546122948478,1209.56842831245,1772.07615310426,0,0,0.793253611462656,1,1
joint,primary,Site315_U,089f008dff2d2e9a6ffb6e2ecff67a2d27498255b0d8b8c6443ad63c2be31dff,PASS,1.00404124705781,2580.36567776544,1983.51717903107,0,0,0.877637319894999,2,2
joint,primary,Site315_P,d2ede605ec453c5d3a67be91094774021948e2d9f91c2f84ff96a18b8015c0df,PASS,1.00499836049294,622.863657144669,1192.67907806424,0,0,0.655657357942106,2,2
joint,primary,M1_U,f6f77fc2d959ff608dc495c44474293a0d756a2e412abc5635ba83b642871ae0,PASS,1.00146781351974,1674.90524029282,2173.8623757208,0,0,0.887987239815432,4,7
joint,primary,M1_P,0365c1624d9a00986261a5439b4f633a859618b04b4368d4e79020b48c90c369,PASS,1.00609177275354,1165.75844191402,1419.13566238764,0,0,0.871950615391966,4,7
joint,primary,M2_U,93195063482039e02248307294d70381e4f8e6265df3e664b020b1e363289240,PASS,1.00146781351974,1674.90524029282,2173.8623757208,0,0,0.887987239815432,4,7
joint,primary,M2_P,023580c6dbad5df568a3a5e4d9a741699aad8220eebc552713fcdeec6c652b3c,PASS,1.00609177275354,1165.75844191402,1419.13566238764,0,0,0.871950615391966,4,7
joint,primary,M3_U,de7cf6935feb4f25fe8d95acdf8b7b1e8f9838e47cc21c858baa854a18cb9cfb,PASS,1.00255938048076,1780.46791561766,2206.15003989097,0,0,0.866145069315989,5,7
joint,primary,M3_P,17d6a66851977934db69a3860b9bb30180490a5472ed7760de56413c6cf750fb,PASS,1.00560595739164,1391.91207315675,1852.95356944,0,0,0.90706525216407,5,7
