Outcome,Model,ELPD,ELPD_Difference,PairedSE
binary,M1_U,-13.0713538437155,0,0
binary,M2_U,-13.0713538437155,0,0
binary,M3_U,-14.0003936253333,-0.929039781617727,0.360344711495805
binary,M1_P,-16.3793871059654,-3.30803326224986,3.56764704534363
binary,M2_P,-16.3793871059654,-3.30803326224986,3.56764704534363
binary,M3_P,-16.9001455365992,-3.82879169288368,3.33080679926019
binary,Site315_U,-17.9974383977974,-4.92608455408188,0.84720702477391
binary,Site315_P,-18.8041175765129,-5.73276373279735,3.43944465960564
binary,Phylogeny_only_P,-19.1460196789958,-6.07466583528032,3.36079978259138
binary,Null_U,-26.9802054002154,-13.9088515564998,1.19607143721815
joint,M3_U,-72.3130750759693,0,0
joint,M1_U,-73.0779917987499,-0.764916722780612,0.572515049058921
joint,M2_U,-73.0779917987499,-0.764916722780612,0.572515049058921
joint,M3_P,-73.3569092072336,-1.04383413126423,0.389206871330217
joint,M1_P,-74.0103925311143,-1.69731745514501,0.338606290200843
joint,M2_P,-74.0103925311143,-1.69731745514501,0.338606290200843
joint,Site315_U,-74.8563747117639,-2.54329963579463,5.95067174107861
joint,Site315_P,-76.8079725894451,-4.49489751347577,0.884098050897343
joint,Phylogeny_only_P,-81.2749254514372,-8.96185037546788,1.06258694940762
joint,Null_U,-121.216767747165,-48.9036926711952,14.9029237420667
