"Model","Species","Records","High","Low","Folds","ValidFolds","CV_AUC","FoldAUC_Min","FoldAUC_Max","UnseenLevelRecords","NonestimableRecords","Status"
"Null_U",6,57,26,31,2,2,0.5,0.5,0.5,0,0,"DEFINED"
"Phylogeny_only_P",6,57,26,31,2,2,0.0941220238095238,0.0476190476190476,0.140625,0,0,"DEFINED"
"Site315_U",6,57,26,31,2,2,0.850446428571429,0.84375,0.857142857142857,0,0,"DEFINED"
"Site315_P",6,57,26,31,2,2,0.0941220238095238,0.0476190476190476,0.140625,0,0,"DEFINED"
"M1_U",6,57,26,31,2,2,0.802827380952381,0.761904761904762,0.84375,29,29,"DEFINED"
"M1_P",6,57,26,31,2,2,0.451264880952381,0.140625,0.761904761904762,29,29,"DEFINED"
"M2_U",6,57,26,31,2,2,0.802827380952381,0.761904761904762,0.84375,29,29,"DEFINED"
"M2_P",6,57,26,31,2,2,0.451264880952381,0.140625,0.761904761904762,29,29,"DEFINED"
"M3_U",6,57,26,31,2,2,0.905877976190476,0.859375,0.952380952380952,29,39,"DEFINED"
"M3_P",6,57,26,31,2,2,0.213169642857143,0.140625,0.285714285714286,29,39,"DEFINED"
