"Model","Fold","Threshold","FPR","TPR"
"Null_U",1,-Inf,1,1
"Null_U",1,Inf,0,0
"Null_U",2,-Inf,1,1
"Null_U",2,Inf,0,0
"Phylogeny_only_P",1,-Inf,1,1
"Phylogeny_only_P",1,0.241128520441229,0.9375,0.25
"Phylogeny_only_P",1,0.634708766425048,0.4375,0.0833333333333333
"Phylogeny_only_P",1,Inf,0,0
"Phylogeny_only_P",2,-Inf,1,1
"Phylogeny_only_P",2,0.304544324102243,1,0.285714285714286
"Phylogeny_only_P",2,0.508588933010084,0.666666666666667,0
"Phylogeny_only_P",2,Inf,0,0
"Site315_U",1,-Inf,1,1
"Site315_U",1,0.521253542017792,0.0625,0.75
"Site315_U",1,Inf,0,0
"Site315_U",2,-Inf,1,1
"Site315_U",2,0.46106430232973,0,0.714285714285714
"Site315_U",2,Inf,0,0
"Site315_P",1,-Inf,1,1
"Site315_P",1,0.248602793722355,0.9375,0.25
"Site315_P",1,0.633199584469811,0.4375,0.0833333333333333
"Site315_P",1,Inf,0,0
"Site315_P",2,-Inf,1,1
"Site315_P",2,0.337209273686009,1,0.285714285714286
"Site315_P",2,0.463529937403545,0.666666666666667,0
"Site315_P",2,Inf,0,0
"M1_U",1,-Inf,1,1
"M1_U",1,0.464753603413953,0.0625,0.75
"M1_U",1,Inf,0,0
"M1_U",2,-Inf,1,1
"M1_U",2,0.278681990074168,0.666666666666667,0.714285714285714
"M1_U",2,0.450452911146987,0,0.714285714285714
"M1_U",2,Inf,0,0
"M1_P",1,-Inf,1,1
"M1_P",1,0.242364861213534,0.9375,0.25
"M1_P",1,0.590284104493292,0.4375,0.0833333333333333
"M1_P",1,Inf,0,0
"M1_P",2,-Inf,1,1
"M1_P",2,0.354147550895015,0.666666666666667,0.714285714285714
"M1_P",2,0.436356107786685,0,0.714285714285714
"M1_P",2,Inf,0,0
"M2_U",1,-Inf,1,1
"M2_U",1,0.464753603413953,0.0625,0.75
"M2_U",1,Inf,0,0
"M2_U",2,-Inf,1,1
"M2_U",2,0.278681990074168,0.666666666666667,0.714285714285714
"M2_U",2,0.450452911146987,0,0.714285714285714
"M2_U",2,Inf,0,0
"M2_P",1,-Inf,1,1
"M2_P",1,0.242364861213534,0.9375,0.25
"M2_P",1,0.590284104493292,0.4375,0.0833333333333333
"M2_P",1,Inf,0,0
"M2_P",2,-Inf,1,1
"M2_P",2,0.354147550895015,0.666666666666667,0.714285714285714
"M2_P",2,0.436356107786685,0,0.714285714285714
"M2_P",2,Inf,0,0
"M3_U",1,-Inf,1,1
"M3_U",1,0.31963977504209,0.5625,0.916666666666667
"M3_U",1,0.52282768519712,0.0625,0.75
"M3_U",1,Inf,0,0
"M3_U",2,-Inf,1,1
"M3_U",2,0.264484763969289,0.333333333333333,1
"M3_U",2,0.420753168101084,0,0.714285714285714
"M3_U",2,Inf,0,0
"M3_P",1,-Inf,1,1
"M3_P",1,0.263274384422871,0.9375,0.25
"M3_P",1,0.604375928492701,0.4375,0.0833333333333333
"M3_P",1,Inf,0,0
"M3_P",2,-Inf,1,1
"M3_P",2,0.345269222698017,0.666666666666667,0.714285714285714
"M3_P",2,0.409897558538245,0.666666666666667,0
"M3_P",2,Inf,0,0
