"RecordID","ExperimentID","SourceID","Species","High","Model","Fold","OOFPrHigh","LevelSeenInTraining","FixedEffectEstimable"
"R1","G1","SyntheticSource_1","Synthetic_1",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R2","G2","SyntheticSource_1","Synthetic_1",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R3","G3","SyntheticSource_1","Synthetic_1",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R4","G4","SyntheticSource_1","Synthetic_1",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R5","G5","SyntheticSource_1","Synthetic_1",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R6","G6","SyntheticSource_1","Synthetic_1",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R7","G7","SyntheticSource_1","Synthetic_1",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R8","G8","SyntheticSource_1","Synthetic_1",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R9","G9","SyntheticSource_1","Synthetic_1",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R10","G10","SyntheticSource_1","Synthetic_1",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R11","G11","SyntheticSource_2","Synthetic_2",1,"Null_U",1,0.480543028694976,TRUE,TRUE
"R12","G12","SyntheticSource_2","Synthetic_2",1,"Null_U",1,0.480543028694976,TRUE,TRUE
"R13","G13","SyntheticSource_2","Synthetic_2",1,"Null_U",1,0.480543028694976,TRUE,TRUE
"R14","G14","SyntheticSource_2","Synthetic_2",1,"Null_U",1,0.480543028694976,TRUE,TRUE
"R15","G15","SyntheticSource_2","Synthetic_2",1,"Null_U",1,0.480543028694976,TRUE,TRUE
"R16","G16","SyntheticSource_2","Synthetic_2",1,"Null_U",1,0.480543028694976,TRUE,TRUE
"R17","G17","SyntheticSource_2","Synthetic_2",1,"Null_U",1,0.480543028694976,TRUE,TRUE
"R18","G18","SyntheticSource_2","Synthetic_2",1,"Null_U",1,0.480543028694976,TRUE,TRUE
