"Model","Fold","Species","Records","High","Low","AUC","Status"
"Null_U",1,3,28,12,16,0.5,"DEFINED"
"Null_U",2,3,29,14,15,0.5,"DEFINED"
"Phylogeny_only_P",1,3,28,12,16,0.140625,"DEFINED"
"Phylogeny_only_P",2,3,29,14,15,0.0476190476190476,"DEFINED"
"Site315_U",1,3,28,12,16,0.84375,"DEFINED"
"Site315_U",2,3,29,14,15,0.857142857142857,"DEFINED"
"Site315_P",1,3,28,12,16,0.140625,"DEFINED"
"Site315_P",2,3,29,14,15,0.0476190476190476,"DEFINED"
"M1_U",1,3,28,12,16,0.84375,"DEFINED"
"M1_U",2,3,29,14,15,0.761904761904762,"DEFINED"
"M1_P",1,3,28,12,16,0.140625,"DEFINED"
"M1_P",2,3,29,14,15,0.761904761904762,"DEFINED"
"M2_U",1,3,28,12,16,0.84375,"DEFINED"
"M2_U",2,3,29,14,15,0.761904761904762,"DEFINED"
"M2_P",1,3,28,12,16,0.140625,"DEFINED"
"M2_P",2,3,29,14,15,0.761904761904762,"DEFINED"
"M3_U",1,3,28,12,16,0.859375,"DEFINED"
"M3_U",2,3,29,14,15,0.952380952380952,"DEFINED"
"M3_P",1,3,28,12,16,0.140625,"DEFINED"
"M3_P",2,3,29,14,15,0.285714285714286,"DEFINED"
