FigureID,Title,PDF,SVG,PNG_600dpi,Preview,SourceCSV,WidthMM,HeightMM,Estimator,Uncertainty,Scope
F01_data_overview,Data composition and uneven evidence,F01_data_overview.pdf,F01_data_overview.svg,F01_data_overview.png,F01_data_overview_preview.png,figure_data\descriptive\F01_overview_source.csv,180.0,150.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S01A_species_evidence,Evidence by species,S01A_species_evidence.pdf,S01A_species_evidence.svg,S01A_species_evidence.png,S01A_species_evidence_preview.png,figure_data\descriptive\S01A_species_evidence_source.csv,220.0,275.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S01B_raw_records_page01,All reported ratios,S01B_all_raw_ratio_records.pdf,S01B_raw_records_page01.svg,S01B_raw_records_page01.png,S01B_raw_records_page01_preview.png,figure_data\descriptive\S01B_raw_records_page01_source.csv,240.0,235.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S01B_raw_records_page02,All reported ratios,S01B_all_raw_ratio_records.pdf,S01B_raw_records_page02.svg,S01B_raw_records_page02.png,S01B_raw_records_page02_preview.png,figure_data\descriptive\S01B_raw_records_page02_source.csv,240.0,235.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S01B_raw_records_page03,All reported ratios,S01B_all_raw_ratio_records.pdf,S01B_raw_records_page03.svg,S01B_raw_records_page03.png,S01B_raw_records_page03_preview.png,figure_data\descriptive\S01B_raw_records_page03_source.csv,240.0,235.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S01B_raw_records_page04,All reported ratios,S01B_all_raw_ratio_records.pdf,S01B_raw_records_page04.svg,S01B_raw_records_page04.png,S01B_raw_records_page04_preview.png,figure_data\descriptive\S01B_raw_records_page04_source.csv,240.0,235.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S01C_source_species_matrix,Where the records come from,S01C_source_species_matrix.pdf,S01C_source_species_matrix.svg,S01C_source_species_matrix.png,S01C_source_species_matrix_preview.png,figure_data\descriptive\S01C_source_species_matrix_source.csv,275.0,245.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S01D_denominator_distribution,Denominators in count records,S01D_denominator_distribution.pdf,S01D_denominator_distribution.svg,S01D_denominator_distribution.png,S01D_denominator_distribution_preview.png,figure_data\descriptive\S01D_denominator_distribution_source.csv,180.0,105.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02A_site_coverage,Six-site coverage and amino-acid diversity,S02A_site_coverage.pdf,S02A_site_coverage.svg,S02A_site_coverage.png,S02A_site_coverage_preview.png,figure_data\descriptive\S02A_site_coverage_source.csv,190.0,150.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02B_panel_page01,All panel species: amino acids and encodings,S02B_365_species_site_and_encoding_matrix.pdf,S02B_panel_page01.svg,S02B_panel_page01.png,S02B_panel_page01_preview.png,figure_data\descriptive\S02B_panel_page01_source.csv,275.0,255.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02B_panel_page02,All panel species: amino acids and encodings,S02B_365_species_site_and_encoding_matrix.pdf,S02B_panel_page02.svg,S02B_panel_page02.png,S02B_panel_page02_preview.png,figure_data\descriptive\S02B_panel_page02_source.csv,275.0,255.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
