"Species","HighCount","LowCount","UnclassifiedCount","RecordCount","Trials","BinaryID"
"Erpetoichthys_calabaricus",0,0,0,0,0,"binary:Erpetoichthys_calabaricus"
"Polypterus_senegalus",0,0,0,0,0,"binary:Polypterus_senegalus"
"Acipenser_oxyrinchus",0,0,0,0,0,"binary:Acipenser_oxyrinchus"
"Acipenser_ruthenus",0,0,0,0,0,"binary:Acipenser_ruthenus"
"Acipenser_sinensis",0,0,0,0,0,"binary:Acipenser_sinensis"
"Huso_huso",0,0,0,0,0,"binary:Huso_huso"
"Polyodon_spathula",0,0,0,0,0,"binary:Polyodon_spathula"
"Amia_ocellicauda",0,0,0,0,0,"binary:Amia_ocellicauda"
"Atractosteus_spatula",0,0,0,0,0,"binary:Atractosteus_spatula"
"Lepisosteus_oculatus",0,0,0,0,0,"binary:Lepisosteus_oculatus"
"Megalops_atlanticus",0,0,0,0,0,"binary:Megalops_atlanticus"
"Megalops_cyprinoides",0,0,0,0,0,"binary:Megalops_cyprinoides"
"Albula_glossodonta",0,0,0,0,0,"binary:Albula_glossodonta"
"Albula_goreensis",0,0,0,0,0,"binary:Albula_goreensis"
"Aldrovandia_affinis",0,0,0,0,0,"binary:Aldrovandia_affinis"
"Anguilla_anguilla",0,0,0,0,0,"binary:Anguilla_anguilla"
"Anguilla_japonica",0,0,0,0,0,"binary:Anguilla_japonica"
"Anguilla_rostrata",0,0,0,0,0,"binary:Anguilla_rostrata"
"Conger_conger",0,0,0,0,0,"binary:Conger_conger"
"Gymnothorax_javanicus",0,0,0,0,0,"binary:Gymnothorax_javanicus"
"Synaphobranchus_kaupii",0,0,0,0,0,"binary:Synaphobranchus_kaupii"
"Arapaima_gigas",0,0,0,0,0,"binary:Arapaima_gigas"
"Brienomyrus_brachyistius",0,0,0,0,0,"binary:Brienomyrus_brachyistius"
"Paramormyrops_kingsleyae",0,0,0,0,0,"binary:Paramormyrops_kingsleyae"
"Scleropages_formosus",0,0,0,0,0,"binary:Scleropages_formosus"
"Hiodon_alosoides",0,0,0,0,0,"binary:Hiodon_alosoides"
"Alosa_alosa",0,0,0,0,0,"binary:Alosa_alosa"
"Alosa_pseudoharengus",0,0,0,0,0,"binary:Alosa_pseudoharengus"
"Alosa_sapidissima",0,0,0,0,0,"binary:Alosa_sapidissima"
"Sardina_pilchardus",0,0,0,0,0,"binary:Sardina_pilchardus"
"Clupea_harengus",0,0,0,0,0,"binary:Clupea_harengus"
"Sprattus_sprattus",0,0,0,0,0,"binary:Sprattus_sprattus"
"Denticeps_clupeoides",0,0,0,0,0,"binary:Denticeps_clupeoides"
"Coilia_grayii",0,0,0,0,0,"binary:Coilia_grayii"
"Coilia_mystus",0,0,0,0,0,"binary:Coilia_mystus"
"Engraulis_encrasicolus",0,0,0,0,0,"binary:Engraulis_encrasicolus"
"Chanos_chanos",0,0,0,0,0,"binary:Chanos_chanos"
"Myxocyprinus_asiaticus",0,0,0,0,0,"binary:Myxocyprinus_asiaticus"
"Xyrauchen_texanus",0,0,0,0,0,"binary:Xyrauchen_texanus"
"Misgurnus_anguillicaudatus",0,0,0,0,0,"binary:Misgurnus_anguillicaudatus"
"Paramisgurnus_dabryanus",0,0,0,0,0,"binary:Paramisgurnus_dabryanus"
"Abramis_brama",0,0,0,0,0,"binary:Abramis_brama"
"Barbus_barbus",0,0,0,0,0,"binary:Barbus_barbus"
"Carassius_auratus",0,4,0,4,4,"binary:Carassius_auratus"
"Carassius_carassius",0,1,0,1,1,"binary:Carassius_carassius"
"Carassius_gibelio",0,0,0,0,0,"binary:Carassius_gibelio"
"Chanodichthys_erythropterus",0,0,0,0,0,"binary:Chanodichthys_erythropterus"
"Cirrhinus_molitorella",0,1,0,1,1,"binary:Cirrhinus_molitorella"
"Ctenopharyngodon_idella",0,1,0,1,1,"binary:Ctenopharyngodon_idella"
"Culter_alburnus",0,0,0,0,0,"binary:Culter_alburnus"
"Cyprinella_venusta",0,0,0,0,0,"binary:Cyprinella_venusta"
"Cyprinus_carpio",0,0,0,0,0,"binary:Cyprinus_carpio"
"Danio_aesculapii",0,0,0,0,0,"binary:Danio_aesculapii"
"Danio_rerio",0,3,0,3,3,"binary:Danio_rerio"
"Garra_rufa",0,0,0,0,0,"binary:Garra_rufa"
"Hemiculter_leucisculus",0,0,0,0,0,"binary:Hemiculter_leucisculus"
"Labeo_rohita",0,0,0,0,0,"binary:Labeo_rohita"
"Leuciscus_chuanchicus",0,0,0,0,0,"binary:Leuciscus_chuanchicus"
"Leuciscus_leuciscus",0,0,0,0,0,"binary:Leuciscus_leuciscus"
"Leuciscus_waleckii",0,0,0,0,0,"binary:Leuciscus_waleckii"
"Megalobrama_amblycephala",0,0,0,0,0,"binary:Megalobrama_amblycephala"
"Mylopharyngodon_piceus",0,0,0,0,0,"binary:Mylopharyngodon_piceus"
"Onychostoma_macrolepis",0,0,0,0,0,"binary:Onychostoma_macrolepis"
"Phoxinus_phoxinus",0,0,0,0,0,"binary:Phoxinus_phoxinus"
"Pimephales_promelas",0,0,0,0,0,"binary:Pimephales_promelas"
"Pseudorasbora_parva",0,0,0,0,0,"binary:Pseudorasbora_parva"
"Puntigrus_tetrazona",0,0,0,0,0,"binary:Puntigrus_tetrazona"
"Rutilus_rutilus",0,0,0,0,0,"binary:Rutilus_rutilus"
"Scardinius_erythrophthalmus",0,0,0,0,0,"binary:Scardinius_erythrophthalmus"
