"Species","Model","Point","CrI_lower","CrI_upper","PI_lower","PI_upper","Status"
"Coregonus_suidteri","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Coregonus_suidteri","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Coregonus_suidteri","M1",0.324772238391579,0.136493546148589,0.567201146232362,NA,NA,"missing_input_extrapolation"
"Coregonus_suidteri","M2",0.339515953006503,0.129525577662802,0.607196915687302,NA,NA,"missing_input_extrapolation"
"Coregonus_suidteri","M3",0.461139474480611,0.14421127795399,0.806060569091964,NA,NA,"missing_input_extrapolation"
"Cottoperca_gobio","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Cottoperca_gobio","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Cottoperca_gobio","M1",0.837593041732999,0.762384066638168,0.898510435999383,NA,NA,"supported"
"Cottoperca_gobio","M2",0.822754651490241,0.747141831635261,0.885851296252327,NA,NA,"supported"
"Cottoperca_gobio","M3",0.840476070913905,0.757818653398975,0.906503622101804,NA,NA,"supported"
"Crenichthys_baileyi","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Crenichthys_baileyi","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Crenichthys_baileyi","M1",0.593978111017541,0.414057271694358,0.760532121631507,NA,NA,"supported"
"Crenichthys_baileyi","M2",0.555049947968311,0.380104166389548,0.720533676310487,NA,NA,"supported"
"Crenichthys_baileyi","M3",0.594427820071443,0.427381429747831,0.753786402307835,NA,NA,"supported"
"Cristiceps_australis","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Cristiceps_australis","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Cristiceps_australis","M1",0.764031462941472,0.618477888542084,0.87625898482718,NA,NA,"supported"
"Cristiceps_australis","M2",0.75055209765123,0.523044857086258,0.906908860696052,NA,NA,"supported"
"Cristiceps_australis","M3",0.807932804937979,0.528541546372334,0.958171586403513,NA,NA,"unseen_category_extrapolation"
"Cromileptes_altivelis","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Cromileptes_altivelis","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Cromileptes_altivelis","M1",0.866388307714592,0.773695523040334,0.932899472244214,NA,NA,"supported"
"Cromileptes_altivelis","M2",0.829328358144598,0.730112916283055,0.908411631044891,NA,NA,"supported"
"Cromileptes_altivelis","M3",0.823005899888124,0.706161199401553,0.913452895680085,NA,NA,"supported"
"Ctenopharyngodon_idella","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Ctenopharyngodon_idella","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Ctenopharyngodon_idella","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Ctenopharyngodon_idella","M2",0.25183166423537,0.0877220908873708,0.488981526156761,NA,NA,"missing_input_extrapolation"
"Ctenopharyngodon_idella","M3",0.265238989839558,0.0570595843425855,0.595555814914994,NA,NA,"missing_input_extrapolation"
"Culter_alburnus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Culter_alburnus","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Culter_alburnus","M1",0.244023807922052,0.0896365693377505,0.458977376700217,NA,NA,"missing_input_extrapolation"
"Culter_alburnus","M2",0.25183166423537,0.0877220908873708,0.488981526156761,NA,NA,"missing_input_extrapolation"
"Culter_alburnus","M3",0.265238989839558,0.0570595843425855,0.595555814914994,NA,NA,"missing_input_extrapolation"
"Cyclopterus_lumpus","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Cyclopterus_lumpus","Site315",0.816649113124356,0.750267578109626,0.87421275234116,NA,NA,"supported"
"Cyclopterus_lumpus","M1",0.837593041732999,0.762384066638168,0.898510435999383,NA,NA,"supported"
"Cyclopterus_lumpus","M2",0.822754651490241,0.747141831635261,0.885851296252327,NA,NA,"supported"
"Cyclopterus_lumpus","M3",0.835495460497124,0.673129830120689,0.936578483855282,NA,NA,"supported"
"Cyprinella_venusta","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Cyprinella_venusta","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
"Cyprinella_venusta","M1",0.324772238391579,0.136493546148589,0.567201146232362,NA,NA,"missing_input_extrapolation"
"Cyprinella_venusta","M2",0.339515953006503,0.129525577662802,0.607196915687302,NA,NA,"missing_input_extrapolation"
"Cyprinella_venusta","M3",0.39557134007175,0.113945977066295,0.741970285227577,NA,NA,"unseen_category_extrapolation"
"Cyprinodon_tularosa","Null",0.759547631181627,0.690941000514944,0.82386621547085,NA,NA,"supported"
"Cyprinodon_tularosa","Site315",0.490295961932865,0.339839203527922,0.642955480059794,NA,NA,"supported"
