"Species","HighCount","LowCount","UnclassifiedCount","Trials"
"Erpetoichthys_calabaricus",0,0,0,0
"Polypterus_senegalus",0,0,0,0
"Acipenser_oxyrinchus",0,0,0,0
"Acipenser_ruthenus",0,0,0,0
"Acipenser_sinensis",0,0,0,0
"Huso_huso",0,0,0,0
"Polyodon_spathula",0,0,0,0
"Amia_ocellicauda",0,0,0,0
"Atractosteus_spatula",0,0,0,0
"Lepisosteus_oculatus",0,0,0,0
"Megalops_atlanticus",0,0,0,0
"Megalops_cyprinoides",0,0,0,0
"Albula_glossodonta",0,0,0,0
"Albula_goreensis",0,0,0,0
"Aldrovandia_affinis",0,0,0,0
"Anguilla_anguilla",0,0,0,0
"Anguilla_japonica",0,0,0,0
"Anguilla_rostrata",0,0,0,0
"Conger_conger",0,0,0,0
"Gymnothorax_javanicus",0,0,0,0
"Synaphobranchus_kaupii",0,0,0,0
"Arapaima_gigas",0,0,0,0
"Brienomyrus_brachyistius",0,0,0,0
"Paramormyrops_kingsleyae",0,0,0,0
"Scleropages_formosus",0,0,0,0
"Hiodon_alosoides",0,0,0,0
"Alosa_alosa",0,0,0,0
"Alosa_pseudoharengus",0,0,0,0
"Alosa_sapidissima",0,0,0,0
"Sardina_pilchardus",0,0,0,0
"Clupea_harengus",0,0,0,0
"Sprattus_sprattus",0,0,0,0
"Denticeps_clupeoides",0,0,0,0
"Coilia_grayii",0,0,0,0
"Coilia_mystus",0,0,0,0
"Engraulis_encrasicolus",0,0,0,0
"Chanos_chanos",0,0,0,0
"Myxocyprinus_asiaticus",0,0,0,0
"Xyrauchen_texanus",0,0,0,0
"Misgurnus_anguillicaudatus",0,0,0,0
"Paramisgurnus_dabryanus",0,0,0,0
"Abramis_brama",0,0,0,0
"Barbus_barbus",0,0,0,0
"Carassius_auratus",0,4,0,4
"Carassius_carassius",0,1,0,1
"Carassius_gibelio",0,0,0,0
"Chanodichthys_erythropterus",0,0,0,0
"Cirrhinus_molitorella",0,1,0,1
"Ctenopharyngodon_idella",0,1,0,1
"Culter_alburnus",0,0,0,0
"Cyprinella_venusta",0,0,0,0
"Cyprinus_carpio",0,0,0,0
"Danio_aesculapii",0,0,0,0
"Danio_rerio",0,3,0,3
"Garra_rufa",0,0,0,0
"Hemiculter_leucisculus",0,0,0,0
"Labeo_rohita",0,0,0,0
"Leuciscus_chuanchicus",0,0,0,0
"Leuciscus_leuciscus",0,0,0,0
"Leuciscus_waleckii",0,0,0,0
"Megalobrama_amblycephala",0,0,0,0
"Mylopharyngodon_piceus",0,0,0,0
"Onychostoma_macrolepis",0,0,0,0
"Phoxinus_phoxinus",0,0,0,0
"Pimephales_promelas",0,0,0,0
"Pseudorasbora_parva",0,0,0,0
"Puntigrus_tetrazona",0,0,0,0
"Rutilus_rutilus",0,0,0,0
"Scardinius_erythrophthalmus",0,0,0,0
"Sinocyclocheilus_anshuiensis",0,0,0,0
"Sinocyclocheilus_grahami",0,0,0,0
"Sinocyclocheilus_rhinocerous",0,0,0,0
"Siphateles_boraxobius",0,0,0,0
"Squalius_cephalus",0,0,0,0
"Gobio_gobio",0,0,0,0
"Rhinichthys_klamathensis",0,0,0,0
"Barbatula_barbatula",0,0,0,0
"Triplophysa_dalaica",0,0,0,0
"Triplophysa_rosa",0,0,0,0
"Astyanax_lacustris",0,0,0,0
"Astyanax_mexicanus",0,0,0,0
"Salminus_brasiliensis",0,0,0,0
"Hoplias_malabaricus",0,0,0,0
"Prochilodus_magdalenae",0,0,0,0
"Acnodon_oligacanthus",0,0,0,0
"Colossoma_macropomum",0,0,0,0
"Metynnis_hypsauchen",0,0,0,0
"Pygocentrus_nattereri",1,0,0,1
"Serrasalmus_rhombeus",0,0,0,0
"Electrophorus_electricus",0,0,0,0
"Electrophorus_voltai",0,0,0,0
"Brachyhypopomus_gauderio",0,0,0,0
"Neoarius_graeffei",0,0,0,0
"Hemibagrus_guttatus",0,0,0,0
"Hemibagrus_wyckioides",0,0,0,0
"Tachysurus_fulvidraco",0,0,0,0
"Tachysurus_vachellii",0,0,0,0
"Clarias_gariepinus",0,0,0,0
"Clarias_magur",0,0,0,0
"Ictalurus_furcatus",0,0,0,0
"Ictalurus_punctatus",0,0,0,0
"Pangasianodon_gigas",0,0,0,0
"Pangasianodon_hypophthalmus",0,0,0,0
"Silurus_aristotelis",0,0,0,0
"Silurus_asotus",0,0,0,0
"Silurus_meridionalis",0,0,0,0
"Trichomycterus_rosablanca",0,0,0,0
"Nansenia_antarctica",0,0,0,0
"Galaxias_brevipinnis",0,0,0,0
"Coregonus_albula",0,0,0,0
"Coregonus_clupeaformis",0,0,0,0
"Coregonus_lavaretus",0,0,0,0
"Coregonus_suidteri",0,0,0,0
"Oncorhynchus_clarkii",0,0,0,0
"Oncorhynchus_gorbuscha",0,0,0,0
"Oncorhynchus_keta",0,0,0,0
"Oncorhynchus_kisutch",0,0,0,0
"Oncorhynchus_masou",0,0,0,0
"Oncorhynchus_mykiss",0,0,0,0
"Oncorhynchus_nerka",0,0,0,0
"Oncorhynchus_tshawytscha",0,0,0,0
"Salmo_salar",0,0,0,0
"Salmo_trutta",0,0,0,0
"Salvelinus_alpinus",0,0,0,0
"Salvelinus_fontinalis",0,0,0,0
"Salvelinus_namaycush",0,0,0,0
"Dallia_pectoralis",0,0,0,0
"Esox_lucius",0,0,0,0
"Umbra_pygmaea",0,0,0,0
"Hypomesus_nipponensis",0,0,0,0
"Hypomesus_transpacificus",0,0,0,0
"Osmerus_eperlanus",0,0,0,0
"Osmerus_mordax",0,0,0,0
"Benthosema_glaciale",0,0,0,0
"Electrona_antarctica",0,0,0,0
"Gymnoscopelus_braueri",0,0,0,0
"Gymnoscopelus_microlampas",0,0,0,0
"Nannobrachium_achirus",0,0,0,0
"Protomyctophum_bolini",0,0,0,0
"Protomyctophum_parallelum",0,0,0,0
"Polymixia_hollisterae",0,0,0,0
"Polymixia_lowei",0,0,0,0
"Centroberyx_affinis",0,0,0,0
"Centroberyx_gerrardi",0,0,0,0
"Poromitra_crassiceps",0,0,0,0
"Myripristis_murdjan",0,0,0,0
"Lucifuga_dentata",0,0,0,0
"Genypterus_blacodes",0,0,0,0
"Arripis_georgiana",0,0,0,0
"Katsuwonus_pelamis",0,0,0,0
"Sarda_sarda",0,0,0,0
"Scomber_japonicus",0,0,0,0
"Scomber_scombrus",0,0,0,0
"Thunnus_alalunga",0,0,0,0
"Thunnus_albacares",0,0,0,0
"Thunnus_atlanticus",0,0,0,0
"Thunnus_maccoyii",0,0,0,0
"Thunnus_obesus",0,0,0,0
"Thunnus_orientalis",2,1,0,3
"Thunnus_thynnus",0,0,0,0
"Thunnus_tonggol",0,0,0,0
"Pampus_argenteus",5,0,0,5
"Pampus_punctatissimus",0,0,0,0
"Aulostomus_chinensis",0,0,0,0
"Fistularia_commersonii",0,0,0,0
"Pterapogon_kauderni",3,0,0,3
"Sphaeramia_orbicularis",0,0,0,0
"Oxyeleotris_marmorata",2,0,0,2
"Boleophthalmus_pectinirostris",0,0,0,0
"Eucyclogobius_newberryi",0,0,0,0
"Gobius_niger",0,0,0,0
"Knipowitschia_caucasica",0,0,0,0
"Mugilogobius_chulae",0,0,0,0
"Periophthalmus_magnuspinnatus",0,0,0,0
"Mastacembelus_armatus",0,0,0,0
"Monopterus_albus",0,0,0,0
"Anabas_testudineus",0,0,1,0
"Channa_argus",0,1,0,1
"Channa_striata",0,0,0,0
"Betta_splendens",0,0,0,0
"Trichopodus_trichopterus",1,0,0,1
"Lates_calcarifer",3,1,0,4
"Lates_japonicus",0,0,0,0
"Eleutheronema_tetradactylum",1,0,0,1
"Toxotes_jaculatrix",0,0,0,0
"Xiphias_gladius",0,0,0,0
"Caranx_melampygus",0,0,0,0
"Seriola_dumerili",2,0,0,2
"Seriola_lalandi",0,0,0,0
"Trachinotus_anak",0,0,0,0
"Trachurus_japonicus",0,0,0,0
"Trachurus_trachurus",0,0,0,0
"Echeneis_naucrates",0,0,0,0
"Paralichthys_olivaceus",2,0,0,2
"Hippoglossus_hippoglossus",0,0,0,0
"Hippoglossus_stenolepis",0,0,0,0
"Limanda_limanda",0,0,0,0
"Platichthys_flesus",0,0,0,0
"Platichthys_stellatus",1,0,0,1
"Pleuronectes_platessa",0,0,0,0
"Scophthalmus_maximus",1,0,0,1
"Microchirus_variegatus",0,0,0,0
"Solea_senegalensis",0,0,0,0
"Solea_solea",0,0,0,0
"Parambassis_ranga",0,0,0,0
"Brachyistius_frenatus",0,0,0,0
"Embiotoca_jacksoni",0,0,0,0
"Acanthochromis_polyacanthus",0,0,0,0
"Amphiprion_ocellaris",0,0,0,0
"Stegastes_partitus",0,0,0,0
"Andinoacara_rivulatus",0,0,0,0
"Archocentrus_centrarchus",0,0,0,0
"Astatotilapia_burtoni",0,0,0,0
"Astatotilapia_calliptera",0,0,0,0
