"Route","Design","Model","Fold","ELPD","AUC","MAE","PointRecords","AbsErrorSum","Records","Species"
"binary","species5","Null",1,-18.231771224346,0.5,NA,0,0,41,10
"binary","species5","Null",2,-16.6533574549667,0.5,NA,0,0,20,10
"binary","species5","Null",3,-15.173581534878,0.5,NA,0,0,20,10
"binary","species5","Null",4,-21.3430642677197,0.5,NA,0,0,49,10
"binary","species5","Null",5,-22.0900141066723,0.5,NA,0,0,22,10
"binary","species5","Site315",1,-17.3636598624033,0.472222222222222,NA,0,0,41,10
"binary","species5","Site315",2,-14.6381443626459,0.676767676767677,NA,0,0,20,10
"binary","species5","Site315",3,-10.4272157839124,0.895833333333333,NA,0,0,20,10
"binary","species5","Site315",4,-17.873897184974,0.718085106382979,NA,0,0,49,10
"binary","species5","Site315",5,-16.8759793151846,0.833333333333333,NA,0,0,22,10
"binary","species5","M1",1,-18.420713563517,0.427777777777778,NA,0,0,41,10
"binary","species5","M1",2,-14.4212682641494,0.494949494949495,NA,0,0,20,10
"binary","species5","M1",3,-8.46172959585254,0.921875,NA,0,0,20,10
"binary","species5","M1",4,-16.8714100505467,0.952127659574468,NA,0,0,49,10
"binary","species5","M1",5,-23.1826591702503,0.833333333333333,NA,0,0,22,10
"binary","species5","M2",1,-17.5471753370127,0.288888888888889,NA,0,0,41,10
"binary","species5","M2",2,-15.3626282266082,0.46969696969697,NA,0,0,20,10
"binary","species5","M2",3,-8.97845518659088,0.875,NA,0,0,20,10
"binary","species5","M2",4,-17.7134103827212,0.952127659574468,NA,0,0,49,10
"binary","species5","M2",5,-19.7690643305223,0.883333333333333,NA,0,0,22,10
"binary","species5","M3",1,-20.0857626909613,0.288888888888889,NA,0,0,41,10
"binary","species5","M3",2,-12.9492685683438,0.848484848484848,NA,0,0,20,10
"binary","species5","M3",3,-9.58319182792444,0.859375,NA,0,0,20,10
"binary","species5","M3",4,-13.9077346976845,0.952127659574468,NA,0,0,49,10
"binary","species5","M3",5,-21.9530304267888,0.729166666666667,NA,0,0,22,10
"joint_bb","species5","Null",1,-61.1591183017385,NA,0.397894417251458,28,11.1410436830408,28,11
"joint_bb","species5","Null",2,-53.6667202485939,NA,0.273805868908426,34,9.30939954288648,35,10
"joint_bb","species5","Null",3,-35.3196360646048,NA,0.371299968184246,28,10.3963991091589,28,10
"joint_bb","species5","Null",4,-17.571288793615,NA,0.274616118746441,19,5.21770625618238,24,10
"joint_bb","species5","Null",5,-28.7434527441334,NA,0.280114987376452,36,10.0841395455523,38,10
"joint_bb","species5","Site315",1,-58.9819037649023,NA,0.382663786555831,28,10.7145860235633,28,11
"joint_bb","species5","Site315",2,-51.6979885747744,NA,0.240810852657402,34,8.18756899035166,35,10
"joint_bb","species5","Site315",3,-29.6539223770349,NA,0.324487221683968,28,9.0856422071511,28,10
"joint_bb","species5","Site315",4,-24.9183121308534,NA,0.318626126127698,19,6.05389639642627,24,10
"joint_bb","species5","Site315",5,-25.5009193316699,NA,0.248564361797511,36,8.94831702471039,38,10
"joint_bb","species5","M1",1,-58.3349958185241,NA,0.382559556302656,28,10.7116675764744,28,11
"joint_bb","species5","M1",2,-51.6014392260978,NA,0.24307403748321,34,8.26451727442913,35,10
"joint_bb","species5","M1",3,-29.7997460187426,NA,0.304258235489102,28,8.51923059369485,28,10
"joint_bb","species5","M1",4,-23.9485964404081,NA,0.312870988568601,19,5.94454878280342,24,10
"joint_bb","species5","M1",5,-26.3887049919666,NA,0.249122493921621,36,8.96840978117837,38,10
"joint_bb","species5","M2",1,-57.5097517446155,NA,0.372258119523981,28,10.4232273466715,28,11
"joint_bb","species5","M2",2,-51.3421813185867,NA,0.241053023210961,34,8.19580278917268,35,10
"joint_bb","species5","M2",3,-29.330333167556,NA,0.303507744765566,28,8.49821685343585,28,10
"joint_bb","species5","M2",4,-22.9450478144169,NA,0.305100668971553,19,5.79691271045951,24,10
"joint_bb","species5","M2",5,-25.9798226494346,NA,0.244834983309184,36,8.81405939913061,38,10
"joint_bb","species5","M3",1,-56.1109267327856,NA,0.322981640894807,28,9.04348594505459,28,11
"joint_bb","species5","M3",2,-52.0794133613024,NA,0.249864124952327,34,8.49538024837913,35,10
"joint_bb","species5","M3",3,-29.7028644341731,NA,0.294494538604963,28,8.24584708093896,28,10
"joint_bb","species5","M3",4,-19.2580328355932,NA,0.272252803460544,19,5.17280326575033,24,10
"joint_bb","species5","M3",5,-21.8877576653212,NA,0.193896152844525,36,6.98026150240289,38,10
"schemeA_tobit","species5","Null",1,-33.3817044199418,NA,0.39957690100332,28,11.188153228093,28,11
"schemeA_tobit","species5","Null",2,-29.6334822544915,NA,0.28455923973918,34,9.67501415113213,35,10
"schemeA_tobit","species5","Null",3,-35.473717192161,NA,0.373842732340217,28,10.4675965055261,28,10
"schemeA_tobit","species5","Null",4,-25.43362288685,NA,0.28306830898467,19,5.37829787070874,24,10
"schemeA_tobit","species5","Null",5,-38.3735255972636,NA,0.310723849104371,36,11.1860585677574,38,10
"schemeA_tobit","species5","Site315",1,-34.2026273919607,NA,0.377119841357127,28,10.5593555579996,28,11
"schemeA_tobit","species5","Site315",2,-24.2905792147817,NA,0.220157015446654,34,7.48533852518624,35,10
"schemeA_tobit","species5","Site315",3,-25.0456106772515,NA,0.275854147720413,28,7.72391613617156,28,10
"schemeA_tobit","species5","Site315",4,-33.6579015457108,NA,0.353777123034044,19,6.72176533764685,24,10
"schemeA_tobit","species5","Site315",5,-32.8926498526816,NA,0.23258713213063,36,8.37313675670268,38,10
"schemeA_tobit","species5","M1",1,-31.094823798915,NA,0.341136702723026,28,9.55182767624473,28,11
"schemeA_tobit","species5","M1",2,-28.146417246665,NA,0.230467559491155,34,7.83589702269926,35,10
"schemeA_tobit","species5","M1",3,-29.3410497087894,NA,0.256105118298031,28,7.17094331234487,28,10
"schemeA_tobit","species5","M1",4,-30.0761321125492,NA,0.311297092468794,19,5.91464475690709,24,10
"schemeA_tobit","species5","M1",5,-33.1658616592912,NA,0.230742237484921,36,8.30672054945716,38,10
"schemeA_tobit","species5","M2",1,-31.7993246937138,NA,0.320369436242641,28,8.97034421479395,28,11
"schemeA_tobit","species5","M2",2,-25.3980166032105,NA,0.211672347323599,34,7.19685980900236,35,10
"schemeA_tobit","species5","M2",3,-28.7544297683303,NA,0.256222126016801,28,7.17421952847043,28,10
"schemeA_tobit","species5","M2",4,-27.7429433581703,NA,0.296701788733357,19,5.63733398593379,24,10
"schemeA_tobit","species5","M2",5,-33.4124501256506,NA,0.229944342894821,36,8.27799634421357,38,10
"schemeA_tobit","species5","M3",1,-30.4747063323454,NA,0.301222105621876,28,8.43421895741251,28,11
"schemeA_tobit","species5","M3",2,-30.5098775048172,NA,0.25427030643063,34,8.64519041864142,35,10
"schemeA_tobit","species5","M3",3,-30.4016162747018,NA,0.271740386514711,28,7.60873082241191,28,10
"schemeA_tobit","species5","M3",4,-23.1710545306978,NA,0.246885995299233,19,4.69083391068542,24,10
"schemeA_tobit","species5","M3",5,-24.5602333200735,NA,0.132411554400165,36,4.76681595840594,38,10
"binary","species10","Null",1,-10.8291775100807,0.5,NA,0,0,13,6
"binary","species10","Null",2,-14.9497517555941,0.5,NA,0,0,19,6
"binary","species10","Null",3,-9.55151702434341,0.5,NA,0,0,18,6
"binary","species10","Null",4,-5.9598618883867,0.5,NA,0,0,9,5
"binary","species10","Null",5,-7.17134901472604,0.5,NA,0,0,17,5
"binary","species10","Null",6,-10.2157602284971,0.5,NA,0,0,16,5
"binary","species10","Null",7,-5.63520806534891,0.5,NA,0,0,12,5
"binary","species10","Null",8,-5.0583567267469,0.5,NA,0,0,10,5
"binary","species10","Null",9,-13.737151142927,0.5,NA,0,0,33,4
"binary","species10","Null",10,-2.52702052768273,0.5,NA,0,0,5,3
"binary","species10","Site315",1,-7.15347636108031,0.916666666666667,NA,0,0,13,6
"binary","species10","Site315",2,-13.3625362576614,0.6875,NA,0,0,19,6
"binary","species10","Site315",3,-10.4679350958198,0.571428571428571,NA,0,0,18,6
"binary","species10","Site315",4,-6.39951756437446,0.5,NA,0,0,9,5
"binary","species10","Site315",5,-6.06453100366858,0.716666666666667,NA,0,0,17,5
"binary","species10","Site315",6,-7.03360072269871,0.9,NA,0,0,16,5
"binary","species10","Site315",7,-5.95455253215191,0.45,NA,0,0,12,5
"binary","species10","Site315",8,-4.0281368696725,0.75,NA,0,0,10,5
"binary","species10","Site315",9,-9.73442267787631,1,NA,0,0,33,4
"binary","species10","Site315",10,-1.51983759063814,1,NA,0,0,5,3
"binary","species10","M1",1,-5.46634323279014,0.964285714285714,NA,0,0,13,6
"binary","species10","M1",2,-13.6401737073074,0.772727272727273,NA,0,0,19,6
"binary","species10","M1",3,-9.50520656416798,0.714285714285714,NA,0,0,18,6
"binary","species10","M1",4,-7.49598324544996,0.138888888888889,NA,0,0,9,5
"binary","species10","M1",5,-5.61229819136785,0.916666666666667,NA,0,0,17,5
"binary","species10","M1",6,-8.57597937809154,0.881818181818182,NA,0,0,16,5
"binary","species10","M1",7,-5.8093627751386,0.85,NA,0,0,12,5
"binary","species10","M1",8,-3.76238466856332,0.84375,NA,0,0,10,5
