"File","Route","Model","Tag","Full","K","Fold","IdentityOK","InputOK","CodeOK","TrainSpecies","Status","MaxRhat","MinBulkESS","MinTailESS","Divergences","TreeDepthHits","MinEBFMI"
"binary_M1_cv_species10_M1_f1.rds","binary","M1","cv_species10_M1_f1",FALSE,10,1,TRUE,TRUE,TRUE,44,"PASS",1.00063180068273,3649.95473027909,5169.90543508893,0,0,0.946141384708429
"binary_M1_cv_species10_M1_f10.rds","binary","M1","cv_species10_M1_f10",FALSE,10,10,TRUE,TRUE,TRUE,47,"PASS",1.00237180325841,3677.99819436108,4902.86210207323,0,0,0.934378340206775
"binary_M1_cv_species10_M1_f2.rds","binary","M1","cv_species10_M1_f2",FALSE,10,2,TRUE,TRUE,TRUE,44,"PASS",1.00064336843993,3350.94189909954,4715.74962073541,0,0,0.986331422636271
"binary_M1_cv_species10_M1_f3.rds","binary","M1","cv_species10_M1_f3",FALSE,10,3,TRUE,TRUE,TRUE,44,"PASS",1.00119915700792,3763.29244510551,5235.04243665875,0,0,0.966795141706208
"binary_M1_cv_species10_M1_f4.rds","binary","M1","cv_species10_M1_f4",FALSE,10,4,TRUE,TRUE,TRUE,45,"PASS",1.00104160039714,3380.60701003438,5041.21004115862,0,0,0.902947032808668
"binary_M1_cv_species10_M1_f5.rds","binary","M1","cv_species10_M1_f5",FALSE,10,5,TRUE,TRUE,TRUE,45,"PASS",1.00078202336345,4038.95042020502,4416.90927842041,0,0,0.943185303143315
"binary_M1_cv_species10_M1_f6.rds","binary","M1","cv_species10_M1_f6",FALSE,10,6,TRUE,TRUE,TRUE,45,"PASS",1.00102094376462,3908.88362945405,5219.05019735448,0,0,0.979819086176592
"binary_M1_cv_species10_M1_f7.rds","binary","M1","cv_species10_M1_f7",FALSE,10,7,TRUE,TRUE,TRUE,45,"PASS",1.00039824268268,3275.69619378527,4649.95705399448,0,0,0.966086507902842
"binary_M1_cv_species10_M1_f8.rds","binary","M1","cv_species10_M1_f8",FALSE,10,8,TRUE,TRUE,TRUE,45,"PASS",1.00147952873126,3789.56367074154,4990.23311898712,0,0,0.990013547920232
"binary_M1_cv_species10_M1_f9.rds","binary","M1","cv_species10_M1_f9",FALSE,10,9,TRUE,TRUE,TRUE,46,"PASS",1.00127540208522,3239.38110821364,4064.46851961298,0,0,0.89392384456723
"binary_M1_cv_species5_M1_f1.rds","binary","M1","cv_species5_M1_f1",FALSE,5,1,TRUE,TRUE,TRUE,40,"PASS",1.00228437718367,3449.25938154615,4998.54629759784,0,0,0.990935570797065
"binary_M1_cv_species5_M1_f2.rds","binary","M1","cv_species5_M1_f2",FALSE,5,2,TRUE,TRUE,TRUE,40,"PASS",1.00179366140795,3605.69532917867,4974.17630673212,0,0,0.96104012826851
"binary_M1_cv_species5_M1_f3.rds","binary","M1","cv_species5_M1_f3",FALSE,5,3,TRUE,TRUE,TRUE,40,"PASS",1.00118868051491,3527.04858148379,5296.57457561278,0,0,0.970366569656727
"binary_M1_cv_species5_M1_f4.rds","binary","M1","cv_species5_M1_f4",FALSE,5,4,TRUE,TRUE,TRUE,40,"PASS",1.00140742275475,3741.39021775748,4565.83179609138,0,0,0.967727424265087
"binary_M1_cv_species5_M1_f5.rds","binary","M1","cv_species5_M1_f5",FALSE,5,5,TRUE,TRUE,TRUE,40,"PASS",1.00090010530488,3606.60721491555,4701.60894343937,0,0,0.944177880830581
"binary_M1_full.rds","binary","M1","full",TRUE,0,0,TRUE,TRUE,TRUE,50,"PASS",1.00175315046355,3547.4453458408,4976.45649640802,0,0,0.954851824792309
"binary_M2_cv_species10_M2_f1.rds","binary","M2","cv_species10_M2_f1",FALSE,10,1,TRUE,TRUE,TRUE,44,"PASS",1.00125465014295,3752.4109178038,4938.44011544884,0,0,0.9890737282552
"binary_M2_cv_species10_M2_f10.rds","binary","M2","cv_species10_M2_f10",FALSE,10,10,TRUE,TRUE,TRUE,47,"PASS",1.00055319395924,3681.70405815346,4937.16081278405,0,0,0.966342306769204
"binary_M2_cv_species10_M2_f2.rds","binary","M2","cv_species10_M2_f2",FALSE,10,2,TRUE,TRUE,TRUE,44,"PASS",1.00124279250391,3771.7251808343,5258.43218034377,0,0,0.973022042879743
"binary_M2_cv_species10_M2_f3.rds","binary","M2","cv_species10_M2_f3",FALSE,10,3,TRUE,TRUE,TRUE,44,"PASS",1.0008726756252,3395.31448000878,4762.94002476504,0,0,0.97587490939624
"binary_M2_cv_species10_M2_f4.rds","binary","M2","cv_species10_M2_f4",FALSE,10,4,TRUE,TRUE,TRUE,45,"PASS",1.00125392881953,3170.38575405034,4516.00094755872,0,0,0.884091935189232
"binary_M2_cv_species10_M2_f5.rds","binary","M2","cv_species10_M2_f5",FALSE,10,5,TRUE,TRUE,TRUE,45,"PASS",1.00082490700969,3303.60831892806,4732.64888327391,0,0,0.949762708098837
"binary_M2_cv_species10_M2_f6.rds","binary","M2","cv_species10_M2_f6",FALSE,10,6,TRUE,TRUE,TRUE,45,"PASS",1.00100807029313,3580.09493006184,5234.43257044793,0,0,0.961477466750303
"binary_M2_cv_species10_M2_f7.rds","binary","M2","cv_species10_M2_f7",FALSE,10,7,TRUE,TRUE,TRUE,45,"PASS",1.00146902563116,3713.7693692358,4883.29409087203,0,0,0.968229553994664
"binary_M2_cv_species10_M2_f8.rds","binary","M2","cv_species10_M2_f8",FALSE,10,8,TRUE,TRUE,TRUE,45,"PASS",1.00159406326643,3909.49798461943,5133.99902893208,0,0,0.985419527265209
"binary_M2_cv_species10_M2_f9.rds","binary","M2","cv_species10_M2_f9",FALSE,10,9,TRUE,TRUE,TRUE,46,"PASS",1.002414634044,3647.0172111645,4833.94411570254,0,0,0.940198103272017
"binary_M2_cv_species5_M2_f1.rds","binary","M2","cv_species5_M2_f1",FALSE,5,1,TRUE,TRUE,TRUE,40,"PASS",1.00158978892131,3449.87208513429,4856.3507735882,0,0,0.91689071031887
"binary_M2_cv_species5_M2_f2.rds","binary","M2","cv_species5_M2_f2",FALSE,5,2,TRUE,TRUE,TRUE,40,"PASS",1.00150453255258,3795.99123562345,4533.01362578173,0,0,0.931827917127764
"binary_M2_cv_species5_M2_f3.rds","binary","M2","cv_species5_M2_f3",FALSE,5,3,TRUE,TRUE,TRUE,40,"PASS",1.00128621563955,3851.04602756437,5271.72435550391,0,0,1.00108230266914
"binary_M2_cv_species5_M2_f4.rds","binary","M2","cv_species5_M2_f4",FALSE,5,4,TRUE,TRUE,TRUE,40,"PASS",1.0008290486674,3516.64567156256,5342.3963590842,0,0,0.969774567729635
"binary_M2_cv_species5_M2_f5.rds","binary","M2","cv_species5_M2_f5",FALSE,5,5,TRUE,TRUE,TRUE,40,"PASS",1.00130294179956,3545.23490646919,4966.24372571639,0,0,0.961625493348141
"binary_M2_full.rds","binary","M2","full",TRUE,0,0,TRUE,TRUE,TRUE,50,"PASS",1.00160203380005,3510.91114865704,5249.12320528107,0,0,0.983173948458862
"binary_M3_cv_species10_M3_f1.rds","binary","M3","cv_species10_M3_f1",FALSE,10,1,TRUE,TRUE,TRUE,44,"PASS",1.00295461962781,2882.48096522731,4512.93073250519,0,0,0.972682400889654
"binary_M3_cv_species10_M3_f10.rds","binary","M3","cv_species10_M3_f10",FALSE,10,10,TRUE,TRUE,TRUE,47,"PASS",1.00250348312393,3355.91366218004,4650.79682922172,0,0,0.947012054104168
"binary_M3_cv_species10_M3_f2.rds","binary","M3","cv_species10_M3_f2",FALSE,10,2,TRUE,TRUE,TRUE,44,"PASS",1.00269953192783,3122.90569225855,4041.95740812882,0,0,0.959906502896919
"binary_M3_cv_species10_M3_f3.rds","binary","M3","cv_species10_M3_f3",FALSE,10,3,TRUE,TRUE,TRUE,44,"PASS",1.00268382557646,3249.55152636161,4505.54393986809,0,0,1.02046569244337
"binary_M3_cv_species10_M3_f4.rds","binary","M3","cv_species10_M3_f4",FALSE,10,4,TRUE,TRUE,TRUE,45,"PASS",1.00183541261917,3160.92467296531,4251.58315067067,0,0,1.00642458579788
"binary_M3_cv_species10_M3_f5.rds","binary","M3","cv_species10_M3_f5",FALSE,10,5,TRUE,TRUE,TRUE,45,"PASS",1.00259016280719,3476.2175433599,4423.08635745171,0,0,0.966304886835652
"binary_M3_cv_species10_M3_f6.rds","binary","M3","cv_species10_M3_f6",FALSE,10,6,TRUE,TRUE,TRUE,45,"PASS",1.00230673413459,3104.19008627002,4696.11976358453,0,0,0.97047282492113
"binary_M3_cv_species10_M3_f7.rds","binary","M3","cv_species10_M3_f7",FALSE,10,7,TRUE,TRUE,TRUE,45,"PASS",1.00292735080583,2982.91896003504,4468.09277723144,0,0,0.93711515370051
"binary_M3_cv_species10_M3_f8.rds","binary","M3","cv_species10_M3_f8",FALSE,10,8,TRUE,TRUE,TRUE,45,"PASS",1.00297296762762,2817.73234543712,4443.18395899474,0,0,0.940255559603827
"binary_M3_cv_species10_M3_f9.rds","binary","M3","cv_species10_M3_f9",FALSE,10,9,TRUE,TRUE,TRUE,46,"PASS",1.00221757311325,3135.67319585747,4297.37646175262,0,0,0.967211439558401
"binary_M3_cv_species5_M3_f1.rds","binary","M3","cv_species5_M3_f1",FALSE,5,1,TRUE,TRUE,TRUE,40,"PASS",1.0025799783305,3572.78005975552,4512.50118402671,0,0,0.967990274491992
