"Model","ELPD","DeltaELPD_Null","AUC","MAE","PointRecords","Route","Design"
"M1",-81.357780644316,12.1340079442667,0.726012653127015,NA,0,"binary","species5"
"M2",-79.3707334634554,14.1210551251273,0.693809370298732,NA,0,"binary","species5"
"M3",-78.4789882117028,15.0128003768799,0.735608612722974,NA,0,"binary","species5"
"Null",-93.4917885885827,0,0.5,NA,0,"binary","species5"
"Site315",-77.1788965091202,16.3128920794625,0.719248334407909,NA,0,"binary","species5"
"M1",-68.8992285955464,16.7359252887873,0.808242243867244,NA,0,"binary","species10"
"M2",-70.7768191330379,14.8583347512958,0.750684523809524,NA,0,"binary","species10"
"M3",-67.6985646276423,17.9365892566914,0.738366702741703,NA,0,"binary","species10"
"Null",-85.6351538843337,0,0.5,NA,0,"binary","species10"
"Site315",-71.7185466756421,13.9166072086915,0.74922619047619,NA,0,"binary","species10"
