"Design","Model","Bin","MeanPredicted","ObservedFraction","Lower95","Upper95","Records"
"species5","Null",1,0.665288960087978,0.933333333333333,0.786761822789279,0.981523364672307,30
"species5","Null",2,0.684885509834985,0.966666666666667,0.833292486030411,0.994091562005142,30
"species5","Null",3,0.720829951885987,0.838709677419355,0.673652972750211,0.929074800945601,31
"species5","Null",4,0.786198010373758,0.5,0.331538512271738,0.668461487728262,30
"species5","Null",5,0.805091461685643,0.580645161290323,0.40765964352021,0.735846969264507,31
"species5","Site315",1,0.568387406508723,0.3,0.166645626439589,0.478761210116602,30
"species5","Site315",2,0.737963864319572,1,0.886482908609522,1,30
"species5","Site315",3,0.771408614415193,0.935483870967742,0.792810116812535,0.982125592224937,31
"species5","Site315",4,0.800918518558812,0.9,0.743785586847334,0.965400740040284,30
"species5","Site315",5,0.839252067414314,0.67741935483871,0.501406855599508,0.81430769252687,31
"species5","M1",1,0.488803509720373,0.566666666666667,0.391970095454087,0.726227625693849,30
"species5","M1",2,0.708039123696782,0.9,0.743785586847334,0.965400740040284,30
"species5","M1",3,0.767145749293665,1,0.889740999265246,1,31
"species5","M1",4,0.814842757789923,0.633333333333333,0.455132464336049,0.781262977959823,30
"species5","M1",5,0.868221966960521,0.709677419354839,0.534073400424593,0.839043792815671,31
"species5","M2",1,0.524400502513711,0.566666666666667,0.391970095454087,0.726227625693849,30
"species5","M2",2,0.729939664220067,1,0.886482908609522,1,30
"species5","M2",3,0.759234742061852,0.67741935483871,0.501406855599508,0.81430769252687,31
"species5","M2",4,0.800750605673828,0.866666666666667,0.703183160555831,0.946904305757819,30
"species5","M2",5,0.850328073183889,0.709677419354839,0.534073400424593,0.839043792815671,31
"species5","M3",1,0.510921631864812,0.566666666666667,0.391970095454087,0.726227625693849,30
"species5","M3",2,0.725899417007761,0.9,0.743785586847334,0.965400740040284,30
"species5","M3",3,0.774699592912537,0.612903225806452,0.43823801141132,0.762671246487284,31
"species5","M3",4,0.811415562557556,1,0.886482908609522,1,30
"species5","M3",5,0.85261721079677,0.741935483870968,0.567535275722849,0.862984562631302,31
"species10","Null",1,0.717966762347815,0.9,0.743785586847334,0.965400740040284,30
"species10","Null",2,0.743815670284509,0.9,0.743785586847334,0.965400740040284,30
"species10","Null",3,0.757761948076123,0.741935483870968,0.567535275722849,0.862984562631302,31
"species10","Null",4,0.76737583192898,0.7,0.521238789883398,0.833354373560411,30
"species10","Null",5,0.782910029894457,0.580645161290323,0.40765964352021,0.735846969264507,31
"species10","Site315",1,0.530025890165511,0.333333333333333,0.192302955268462,0.512202741861697,30
"species10","Site315",2,0.777552172452453,0.966666666666667,0.833292486030411,0.994091562005142,30
"species10","Site315",3,0.809294295774297,0.935483870967742,0.792810116812535,0.982125592224937,31
"species10","Site315",4,0.815146346588369,0.833333333333333,0.664352948143198,0.926635657596483,30
"species10","Site315",5,0.831347256971009,0.741935483870968,0.567535275722849,0.862984562631302,31
"species10","M1",1,0.486584528919934,0.266666666666667,0.141824955539106,0.444483020443117,30
"species10","M1",2,0.758087781164362,0.9,0.743785586847334,0.965400740040284,30
"species10","M1",3,0.805868863728775,0.838709677419355,0.673652972750211,0.929074800945601,31
"species10","M1",4,0.840613616585891,0.9,0.743785586847334,0.965400740040284,30
"species10","M1",5,0.860051702206526,0.903225806451613,0.75099710001823,0.966535963905356,31
"species10","M2",1,0.504219784218938,0.333333333333333,0.192302955268462,0.512202741861697,30
"species10","M2",2,0.762389108308736,0.933333333333333,0.786761822789279,0.981523364672307,30
"species10","M2",3,0.813856321653213,0.935483870967742,0.792810116812535,0.982125592224937,31
"species10","M2",4,0.823761561419873,0.9,0.743785586847334,0.965400740040284,30
"species10","M2",5,0.853259276008814,0.709677419354839,0.534073400424593,0.839043792815671,31
"species10","M3",1,0.505088370312112,0.433333333333333,0.273772374306151,0.608029904545913,30
"species10","M3",2,0.754694220981803,0.633333333333333,0.455132464336049,0.781262977959823,30
"species10","M3",3,0.817576039701179,0.903225806451613,0.75099710001823,0.966535963905356,31
"species10","M3",4,0.840968259607653,0.966666666666667,0.833292486030411,0.994091562005142,30
"species10","M3",5,0.855844143503952,0.870967741935484,0.711472430456146,0.948657988353552,31
