"Route","Design","Model","Reference","Records","Species","ELPD_difference","Paired_SE_species","CI95_lower","CI95_upper","z_normal_approx","p_value_normal_approx","p_value_BH_all","RouteLabel","DesignLabel","BH","Holm","Bonferroni","BY"
"binary","species5","M1","Null",152,50,12.1340079442666,7.46030036918178,-2.48818077932967,26.7561966678629,1.62647713145596,0.103848194332149,0.311544582996447,"High/Low","Five-fold",0.169933408907153,0.830785554657192,1,0.593935630226827
"binary","species5","M2","Null",152,50,14.1210551251273,6.85323361356387,0.68871724254207,27.5533930077125,2.06049522333209,0.0393512220316697,0.183639036147792,"High/Low","Five-fold",0.101188856652865,0.472214664380036,0.708321996570055,0.353665990310877
"binary","species5","M3","Null",152,50,15.0128003768799,7.48834684069648,0.335640569114803,29.689960184645,2.00482171783106,0.0449821099048929,0.18892486160055,"High/Low","Five-fold",0.101209747286009,0.494803208953822,0.809677978288072,0.353739005331538
"binary","species10","M1","Null",152,50,16.7359252887872,6.80087499356959,3.40621030139084,30.0656402761836,2.46084883262985,0.0138608753872035,0.141426354878301,"High/Low","Ten-fold",0.0808150599304578,0.235634881582459,0.249495756969663,0.282457368802862
"binary","species10","M2","Null",152,50,14.8583347512957,6.71533216823869,1.69628370154789,28.0203858010436,2.21259862938289,0.0269253296175489,0.141426354878301,"High/Low","Ten-fold",0.0808150599304578,0.376954614645685,0.48465593311588,0.282457368802862
"binary","species10","M3","Null",152,50,17.9365892566914,7.01098819412954,4.19505239619748,31.6781261171853,2.55835393813815,0.0105168990307908,0.141426354878301,"High/Low","Ten-fold",0.0808150599304578,0.189304182554234,0.189304182554234,0.282457368802862
"joint_bb","species5","M1","Null",153,51,6.38673365694638,6.89618570068671,-7.12979031639958,19.9032576302923,0.926125532888477,0.354380746282288,0.505667671697662,"Joint beta-binomial","Five-fold",0.375226672534187,1,1,1
"joint_bb","species5","M2","Null",153,51,9.35307945807579,6.86851667199331,-4.10921321903109,22.8153721351827,1.36173207473069,0.173282454913778,0.394548325819305,"Joint beta-binomial","Five-fold",0.229482189507147,1,1,0.802065054348608
"joint_bb","species5","M3","Null",153,51,17.42122112351,7.87431880426659,1.98755626714746,32.8548859798725,2.21240993113849,0.0269383533101526,0.141426354878301,"Joint beta-binomial","Five-fold",0.0808150599304578,0.376954614645685,0.484890359582747,0.282457368802862
"joint_bb","species10","M1","Null",153,51,8.33964832803326,7.21255953735444,-5.79696836518145,22.476265021248,1.15626751985083,0.247571749449126,0.461313417609847,"Joint beta-binomial","Ten-fold",0.297086099338951,1,1,1
"joint_bb","species10","M2","Null",153,51,13.0493569287289,6.96150215135504,-0.595187287926938,26.6939011453848,1.8745030375648,0.0608611237808775,0.227945121584462,"Joint beta-binomial","Ten-fold",0.117228919672009,0.608611237808775,1,0.409727744143864
"joint_bb","species10","M3","Null",153,51,17.7161867667294,7.89490103727898,2.24218073366259,33.1901927997962,2.24400365287357,0.0248321663153567,0.141426354878301,"Joint beta-binomial","Ten-fold",0.0808150599304578,0.37248249473035,0.446978993676421,0.282457368802862
"schemeA_tobit","species5","M1","Null",153,51,10.7619027308702,15.1661698220851,-18.9637901204165,40.487595582157,0.709599249983254,0.477952684860413,0.599460258263246,"Scheme A","Five-fold",0.477952684860413,1,1,1
"schemeA_tobit","species5","M2","Null",153,51,15.3902200484686,14.0865101363735,-12.2193398188234,42.9997799157606,1.09255024129282,0.274591320005862,0.461313417609847,"Scheme A","Five-fold",0.308915235006595,1,1,1
"schemeA_tobit","species5","M3","Null",153,51,23.2731725633232,17.2979332617353,-10.630776629678,57.1771217563245,1.3454308217737,0.178486147394448,0.394548325819305,"Scheme A","Five-fold",0.229482189507147,1,1,0.802065054348608
"schemeA_tobit","species10","M1","Null",153,51,23.5084423372716,15.2056286184339,-6.29458975485884,53.311474429402,1.5460355455987,0.122095983482057,0.320872570150414,"Scheme A","Ten-fold",0.183143975223086,0.854671884374399,1,0.640107987275192
"schemeA_tobit","species10","M2","Null",153,51,30.1423608422389,12.9409591262547,4.77808095477965,55.506640729698,2.32922154750384,0.0198473319768853,0.141426354878301,"Scheme A","Ten-fold",0.0808150599304578,0.317557311630165,0.357251975583935,0.282457368802862
"schemeA_tobit","species10","M3","Null",153,51,32.0274650225636,17.3648560493008,-2.00765283406601,66.0625828791933,1.84438413607541,0.0651271775955604,0.227945121584462,"Scheme A","Ten-fold",0.117228919672009,0.608611237808775,1,0.409727744143864
