"Route","Design","Model","Reference","Records","Species","ELPD_difference","Paired_SE_species","CI95_lower","CI95_upper","z_normal_approx","p_value_normal_approx","p_value_BH_all","RouteLabel","DesignLabel","BH_by_design","Holm_by_design","Bonferroni_by_design","BY_by_design"
"binary","species10","M1","Site315",152,50,2.81931808009575,3.09023199886173,-3.23753663767324,8.87617279786475,0.912332174779832,0.361593881901581,0.505667671697662,"High/Low","Ten-fold",0.559846350808127,1,1,1
"binary","species10","M2","Site315",152,50,0.941727542604233,2.53605725480266,-4.02894467680898,5.91239976201745,0.371335284651337,0.710387820320365,0.806386174417712,"High/Low","Ten-fold",0.798603679215344,1,1,1
"binary","species10","M3","Site315",152,50,4.01998204799989,4.1834915906831,-4.17966146973898,12.2196255657388,0.960915532124566,0.336594640473143,0.505667671697662,"High/Low","Ten-fold",0.559846350808127,1,1,1
"joint_bb","species10","M1","Site315",153,51,-0.839922267743164,3.29181681207105,-7.29188321940242,5.6120386839161,-0.255154619984678,0.798603679215344,0.838533863176111,"Joint beta-binomial","Ten-fold",0.798603679215344,1,1,1
"joint_bb","species10","M2","Site315",153,51,3.86978633295252,3.16185710169059,-2.32745358636104,10.0670262522661,1.22389665582401,0.220991215332936,0.461313417609847,"Joint beta-binomial","Ten-fold",0.559846350808127,1,1,1
"joint_bb","species10","M3","Site315",153,51,8.53661617095297,6.0057563452822,-3.23466626580014,20.3078986077061,1.42140567818055,0.155198856700191,0.38343246949459,"Joint beta-binomial","Ten-fold",0.559846350808127,1,1,1
"schemeA_tobit","species10","M1","Site315",153,51,5.27075628665849,13.5261182072211,-21.2404353994949,31.7819479728119,0.389672499227799,0.696778734594224,0.806386174417712,"Scheme A","Ten-fold",0.798603679215344,1,1,1
"schemeA_tobit","species10","M2","Site315",153,51,11.9046747916258,10.870148689156,-9.40081663911997,33.2101662223715,1.09517129268911,0.273441599874873,0.461313417609847,"Scheme A","Ten-fold",0.559846350808127,1,1,1
"schemeA_tobit","species10","M3","Site315",153,51,13.7897789719506,15.4865172410727,-16.563794820552,44.1433527644531,0.890437711545488,0.373230900538751,0.505667671697662,"Scheme A","Ten-fold",0.559846350808127,1,1,1
"binary","species5","M1","Site315",152,50,-4.17888413519584,4.68897672826707,-13.3692785225993,5.01151025220761,-0.891214518085325,0.372814097244269,0.505667671697662,"High/Low","Five-fold",0.89919038739487,1,1,1
"binary","species5","M2","Site315",152,50,-2.19183695433519,3.22646394916021,-8.51570629468921,4.13203238601883,-0.679330991721041,0.49692816379752,0.599460258263246,"High/Low","Five-fold",0.89919038739487,1,1,1
"binary","species5","M3","Site315",152,50,-1.30009170258256,4.57937582597807,-10.2756683214996,7.67548491633446,-0.283901507975682,0.776485860830203,0.838533863176111,"High/Low","Five-fold",0.916641278377374,1,1,1
"joint_bb","species5","M1","Site315",153,51,0.67956368349576,3.52341880140024,-6.22633716724872,7.58546453424024,0.19287053904171,0.847060358243701,0.867720366981352,"Joint beta-binomial","Five-fold",0.916641278377374,1,1,1
"joint_bb","species5","M2","Site315",153,51,3.64590948462518,3.22254444326738,-2.6702776241789,9.96209659342925,1.13137601321288,0.257896862996875,0.461313417609847,"Joint beta-binomial","Five-fold",0.89919038739487,1,1,1
"joint_bb","species5","M3","Site315",153,51,11.7140511500594,6.55520300801098,-1.13414674564216,24.5622490457609,1.78698525976142,0.0739398709938759,0.238882660134061,"Joint beta-binomial","Five-fold",0.665458838944883,0.665458838944883,0.665458838944883,1
"schemeA_tobit","species5","M1","Site315",153,51,-1.39296581173349,13.3087452831927,-27.4781065667913,24.6921749433243,-0.104665449829642,0.916641278377374,0.916641278377374,"Scheme A","Five-fold",0.916641278377374,1,1,1
"schemeA_tobit","species5","M2","Site315",153,51,3.23535150586486,12.3023995284812,-20.8773515699584,27.3480545816881,0.262985403650297,0.79256182944585,0.838533863176111,"Scheme A","Five-fold",0.916641278377374,1,1,1
"schemeA_tobit","species5","M3","Site315",153,51,11.1183040207195,16.4667404109675,-21.1565071847767,43.3931152262157,0.675197625227293,0.499550215219372,0.599460258263246,"Scheme A","Five-fold",0.89919038739487,1,1,1
