"Model","ELPD","DeltaELPD_Null","AUC","MAE","PointRecords","Route","Design"
"M1",-190.073482495739,6.38673365694643,NA,0.29247154488676,145,"joint_bb","species5"
"M2",-187.10713669461,9.35307945807583,NA,0.287780821371518,145,"joint_bb","species5"
"M3",-179.038995029176,17.42122112351,NA,0.261639848569144,145,"joint_bb","species5"
"Null",-196.460216152686,0,NA,0.318266814736696,145,"joint_bb","species5"
"Site315",-190.753046179235,5.70716997345062,NA,0.296482832015191,145,"joint_bb","species5"
"M1",-151.82428452621,10.471767824498,NA,0.267448505638987,145,"schemeA_tobit","species5"
"M2",-147.107164549075,15.1888878016324,NA,0.256943130223546,145,"schemeA_tobit","species5"
"M3",-139.117487962636,23.1785643880722,NA,0.235488207362464,145,"schemeA_tobit","species5"
"Null",-162.296052350708,0,NA,0.330311174642878,145,"schemeA_tobit","species5"
"Site315",-150.089368682386,12.2066836683214,NA,0.281817326301427,145,"schemeA_tobit","species5"
"M1",-189.375205493051,8.33964832803326,NA,0.290498678155744,145,"joint_bb","species10"
"M2",-184.665496892355,13.0493569287289,NA,0.282844820963156,145,"joint_bb","species10"
"M3",-179.998667054354,17.7161867667294,NA,0.264688414205805,145,"joint_bb","species10"
"Null",-197.714853821084,0,NA,0.319986189631935,145,"joint_bb","species10"
"Site315",-188.535283225307,9.17957059577643,NA,0.29294043970966,145,"joint_bb","species10"
"M1",-139.344332525015,23.4129315045252,NA,0.241183569756014,145,"schemeA_tobit","species10"
"M2",-132.685791664054,30.0714723654852,NA,0.233959892793834,145,"schemeA_tobit","species10"
"M3",-130.864334722852,31.892929306688,NA,0.222265209022216,145,"schemeA_tobit","species10"
"Null",-162.75726402954,0,NA,0.331212128650654,145,"schemeA_tobit","species10"
"Site315",-144.432779183182,18.3244848463579,NA,0.272823226766859,145,"schemeA_tobit","species10"
