"Route","Design","Model","Records","MAE"
"joint_bb","species10","M1",145,0.290498678155744
"schemeA_tobit","species10","M1",145,0.241183569756014
"joint_bb","species5","M1",145,0.29247154488676
"schemeA_tobit","species5","M1",145,0.267448505638987
"joint_bb","species10","M2",145,0.282844820963156
"schemeA_tobit","species10","M2",145,0.233959892793834
"joint_bb","species5","M2",145,0.287780821371518
"schemeA_tobit","species5","M2",145,0.256943130223546
"joint_bb","species10","M3",145,0.264688414205805
"schemeA_tobit","species10","M3",145,0.222265209022216
"joint_bb","species5","M3",145,0.261639848569144
"schemeA_tobit","species5","M3",145,0.235488207362464
"joint_bb","species10","Null",145,0.319986189631935
"schemeA_tobit","species10","Null",145,0.331212128650654
"joint_bb","species5","Null",145,0.318266814736696
"schemeA_tobit","species5","Null",145,0.330311174642878
"joint_bb","species10","Site315",145,0.292940439709659
"schemeA_tobit","species10","Site315",145,0.272823226766859
"joint_bb","species5","Site315",145,0.296482832015191
"schemeA_tobit","species5","Site315",145,0.281817326301427
