"Design","Model","PooledOOFAUC","FoldMeanAUC"
"species5","Null",0.176245210727969,0.5
"species5","Site315",0.622844827586207,0.719248334407909
"species5","M1",0.530890804597701,0.726012653127015
"species5","M2",0.551724137931034,0.693809370298732
"species5","M3",0.602729885057471,0.735608612722974
"species10","Null",0.273706896551724,0.5
"species10","Site315",0.623084291187739,0.74922619047619
"species10","M1",0.765804597701149,0.808242243867244
"species10","M2",0.66139846743295,0.750684523809524
"species10","M3",0.774904214559387,0.738366702741703
