"Species","Fold"
"Carassius_auratus",1
"Carassius_carassius",3
"Cirrhinus_molitorella",10
"Ctenopharyngodon_idella",3
"Danio_rerio",9
"Pygocentrus_nattereri",7
"Thunnus_orientalis",7
"Pampus_argenteus",7
"Pterapogon_kauderni",3
"Oxyeleotris_marmorata",6
"Channa_argus",8
"Trichopodus_trichopterus",5
"Lates_calcarifer",1
"Eleutheronema_tetradactylum",4
"Seriola_dumerili",7
"Paralichthys_olivaceus",10
"Platichthys_stellatus",1
"Scophthalmus_maximus",2
"Astronotus_ocellatus",1
"Oreochromis_niloticus",4
"Pterophyllum_scalare",9
"Poecilia_latipinna",5
"Poecilia_reticulata",2
"Poropanchax_normani",3
"Xiphophorus_hellerii",6
"Xiphophorus_maculatus",1
"Mugil_cephalus",5
"Larimichthys_crocea",8
"Sciaenops_ocellatus",8
"Platax_orbicularis",2
"Lutjanus_erythropterus",2
"Lethrinus_nebulosus",4
"Acanthopagrus_schlegelii",2
"Pagrus_major",2
"Rhabdosargus_sarba",7
"Lateolabrax_japonicus",6
"Lateolabrax_maculatus",4
"Micropterus_salmoides",3
"Oplegnathus_fasciatus",9
"Oplegnathus_punctatus",1
"Maccullochella_peelii",3
"Siniperca_chuatsi",5
"Siniperca_scherzeri",8
"Cromileptes_altivelis",9
"Epinephelus_bruneus",6
"Epinephelus_coioides",4
"Epinephelus_fuscoguttatus",5
"Epinephelus_lanceolatus",8
"Epinephelus_malabaricus",6
"Plectropomus_leopardus",10
