"Species","Fold"
"Carassius_auratus",3
"Carassius_carassius",4
"Cirrhinus_molitorella",2
"Ctenopharyngodon_idella",3
"Danio_rerio",2
"Pygocentrus_nattereri",2
"Thunnus_orientalis",1
"Pampus_argenteus",1
"Pterapogon_kauderni",4
"Oxyeleotris_marmorata",1
"Channa_argus",3
"Trichopodus_trichopterus",3
"Lates_calcarifer",4
"Eleutheronema_tetradactylum",3
"Seriola_dumerili",3
"Paralichthys_olivaceus",5
"Platichthys_stellatus",1
"Scophthalmus_maximus",2
"Astronotus_ocellatus",4
"Oreochromis_niloticus",5
"Pterophyllum_scalare",2
"Poecilia_latipinna",3
"Poecilia_reticulata",5
"Poropanchax_normani",1
"Xiphophorus_hellerii",5
"Xiphophorus_maculatus",5
"Mugil_cephalus",5
"Larimichthys_crocea",3
"Sciaenops_ocellatus",4
"Platax_orbicularis",4
"Lutjanus_erythropterus",4
"Lethrinus_nebulosus",5
"Acanthopagrus_schlegelii",2
"Pagrus_major",1
"Rhabdosargus_sarba",2
"Lateolabrax_japonicus",1
"Lateolabrax_maculatus",1
"Micropterus_salmoides",3
"Oplegnathus_fasciatus",4
"Oplegnathus_punctatus",5
"Maccullochella_peelii",1
"Siniperca_chuatsi",4
"Siniperca_scherzeri",3
"Cromileptes_altivelis",1
"Epinephelus_bruneus",2
"Epinephelus_coioides",4
"Epinephelus_fuscoguttatus",2
"Epinephelus_lanceolatus",5
"Epinephelus_malabaricus",2
"Plectropomus_leopardus",5
