"Species","Fold"
"Carassius_auratus",5
"Carassius_carassius",2
"Ctenopharyngodon_idella",2
"Cirrhinus_molitorella",4
"Danio_rerio",5
"Pygocentrus_nattereri",6
"Thunnus_orientalis",7
"Pampus_argenteus",5
"Pterapogon_kauderni",3
"Oxyeleotris_marmorata",3
"Anabas_testudineus",8
"Channa_argus",2
"Trichopodus_trichopterus",4
"Eleutheronema_tetradactylum",2
"Lates_calcarifer",1
"Seriola_dumerili",6
"Paralichthys_olivaceus",3
"Platichthys_stellatus",1
"Scophthalmus_maximus",4
"Astronotus_ocellatus",10
"Oreochromis_niloticus",6
"Pterophyllum_scalare",3
"Poecilia_latipinna",2
"Poecilia_reticulata",7
"Poropanchax_normani",7
"Xiphophorus_hellerii",7
"Xiphophorus_maculatus",8
"Mugil_cephalus",9
"Larimichthys_crocea",10
"Sciaenops_ocellatus",8
"Platax_orbicularis",6
"Lutjanus_erythropterus",7
"Acanthopagrus_schlegelii",6
"Lethrinus_nebulosus",9
"Pagrus_major",9
"Rhabdosargus_sarba",10
"Lateolabrax_japonicus",4
"Lateolabrax_maculatus",10
"Maccullochella_peelii",5
"Micropterus_salmoides",1
"Oplegnathus_fasciatus",4
"Oplegnathus_punctatus",1
"Siniperca_chuatsi",8
"Siniperca_scherzeri",9
"Cromileptes_altivelis",9
"Epinephelus_bruneus",5
"Epinephelus_coioides",3
"Epinephelus_fuscoguttatus",8
"Epinephelus_lanceolatus",1
"Epinephelus_malabaricus",10
"Plectropomus_leopardus",1
