"File","Change","BaselineBytes","CurrentBytes","BaselineSHA256","CurrentSHA256","Explanation"
"config/analysis.json","content_changed","890","1314","0912a1cd4c84b682e46c700a0a653fb1c569af4e65f2482eca537e3e6cc6fe40","5eebf80af51b4e2f16f787436cc8195c29ed6a66bbb1826dcef11defc4c7da66","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"Dockerfile","content_changed","532","912","8606d5f134a9f3342f1e201b9cfbbe1ced53750253f65c8c4837e2622fcafdda","824c706cf5dab91c004a8b20521f19db87d21b950c3b246f49f8cc7e6e04059c","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"docs/CHANGE_DETAILS_zh.md","added","","37692","","8afee6e07e9874c6e40fae418efe2ba8c6d5c63804a19d0d95b1ccf5d8491052","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"docs/COMPLETE_ARCHIVE_zh.md","added","","3766","","ab75609cbd7f696508e8ac3779118f39ef183d1d26731ce7c60c3bd592d946ec","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"docs/FIGURE_TEST_EXPLANATION_zh.md","added","","2473","","bd109e4b3b06f93626ebe54d9d461072bce19dfeeec9d72876e94d8f11c174d0","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"docs/reproduction_ubuntu.md","content_changed","1216","2543","bbed5f8b36f9fbad5c7ad3535cc7313bc88e621ad4816e86651e2ecbf4f8b3e0","802e85063e510427670d62e28563c872e84916b8f91167e884752384a5004a60","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"docs/REVIEW_MATRIX_zh.md","added","","10963","","4cf7dde0bc0f5c32b7ff63522475fa8768836d38906548ecb5dac23e6768aea8","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"docs/V3_1_WORKFLOW_zh.md","added","","14425","","4354b5904f2b38c50693c7fb64cb68a29c1ef7bccab0f4d99e9f590570715575","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"input/contract.json","content_changed","733","735","570d2e8973e783a4de0d480574f56655bd8cadd06d25664a663e7d029aff13c7","54ce0c064f04a82ae1ac7bf760e6eeaa9fcdc584c6eb74e6d69ea32655cb7363","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"input/observations.csv","line_endings_only","15576","15730","5d05803955852e02095f50816033f2a768f8e3ee3da3e71f477a8ba78a948c59","3c886f7f2c11012463296b350a931543542b4e1c0d128ad3c408fda9ae824d79","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"input/sites.csv","unchanged_bytes","16905","16905","0a99692b060f13d1faaa870d06ea7dca9a4f16bc289636bcc88f5d105ebdacb5","0a99692b060f13d1faaa870d06ea7dca9a4f16bc289636bcc88f5d105ebdacb5","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/applicability.R","content_changed","3670","3597","d7216bca0210c2b097cec6a5437dac7d008110a51621637858a00118711a8981","20e678c3184a470cc010d5e8e38e163d27ade40352cac2b0434c49f77442d588","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/audit_run.R","added","","4497","","23a1e24e3e0c238b35baee1675f3bfa0d2e6e1134f097a07c2aaabf21ef88ddf","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/bootstrap.R","added","","1073","","67fb488f4cfd3d6b17fdc2f34b87d4c495547ecfb659033dd4acb5f4c61cc453","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/cache_io.R","content_changed","1408","6792","7aaf4316f819794f164e2c6997da08e3a26696d41d63d2d47d72eab320282b1e","e5bff6618d266164800cbbcdd43556e92acebd1589b16338045be80baa32dc98","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/comparison.R","content_changed","5035","7114","d080b2c9a63d4c62463b5152db1b589ec078972cefdf7c37b52e506f403b33cc","2ce68d341f9992ac418f55c27a1731b996d7a2fcf53ea3193e5b196912a98c2f","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/config.R","content_changed","2666","5808","b555849062710aa2aaddf32e8caf9179e5638c205223863feedc87ee9ec7b4ed","da9dd91367599171c70554d6fca2085136f36dd33590da5cef2e5f3b94e8b170","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/cross_validation.R","content_changed","8732","12493","009ff40b37352482676a19953a0a9a8215c52e57f2f6a8a788fb11dbb11a2838","dc838ce2ba9f43e7b9ee2ac15bc0295555b9e009173a53387f3a42157fb0bbc9","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/data_encoding.R","content_changed","12900","14243","1bbd854bfd22c07d82027cb5f74c90ceff30c149e04d51fa35325667c0606d0f","205c15f8211918bb42705e1532162441d3fec32fc8bd1053d1abdb77dab9be88","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/fitting.R","content_changed","10057","9646","f2a210a38fb3b438ff7789e30d186608d73bd55e0b110897556df931481f5796","2538cbba7584e4c0a59cf475bb3f242950c0ebf128ef83bc0b73ca000c36f8b2","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/metrics.R","content_changed","7224","10016","a8e137a1dd9cf1da9aeb71ca6dd2680ae12b454898e23c3662d4e4cf55648a39","40c8642ebb6b48620ca438332cba18c80fd6239506c31d9e21551c5820cf929a","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/plotting.R","content_changed","4290","5861","a9890e4c540f536ac1a5f132c984c8c2ad09044179c1aada1fd1fbe11dd104ba","6880ffc04a2cd9ad79999f1d6af6e072d7b183b21a5b846b559dee9e16f26430","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/ppc.R","added","","2797","","48fbac66931959c6f7ead27419d6b84c5843185f61a80e93d11083d034afabd2","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/prediction.R","content_changed","9501","7675","e161189089928977734eca4988cb7f83094aca28865562c671063ed38ff959c4","5772e289e9b21f976272f305334bde5bd6227fd226680b5666e224e591424927","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/provenance.R","added","","2388","","0a34fb3b5ca427286bce7cd2fbd8d60442d22ad213633ec89f857ba12296bc9f","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/reporting.R","added","","5298","","fa79f8b25ed9d7f9d17b6257c75d6625806dcf870dc62a0747d6a528d9d25caf","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/weights.R","content_changed","1492","1590","93c8993b944b556717875a115e491943896379d4a78817a2900dc4c1db55ce1e","c01b664016b7314da22d60449480133e62a117ac00a8add5609e7b83379ead0b","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"R/workflow.R","added","","9982","","4001f7527e79e460a00e470359fccd4796a994fdd29830fb1f46551835e800c8","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"README.md","content_changed","2501","2715","86383432d983b725788198edba247dd52703e0c4921711c3a209b5defba76e5a","8f67a8db48b5dc1c4c740c9aa25c2ff3e194be3a94e08fafe67d5725ab17f577","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
"renv.lock","content_changed","550","178662","a79ea9520281fda02b86414bca5a6bba2739027fb3dbc110da14e369eb3caf95","77ce8ad056d4c0cc816e33e9815afdc44fd7a2728257fb64b6c61c90b19b4de2","CHANGE_DETAILS_zh.md C01-C47; complete Git patch"
