"Species","Fold"
"Carassius_auratus",10
"Carassius_carassius",3
"Cirrhinus_molitorella",3
"Ctenopharyngodon_idella",7
"Danio_rerio",8
"Pygocentrus_nattereri",2
"Thunnus_orientalis",2
"Pampus_argenteus",7
"Pterapogon_kauderni",1
"Oxyeleotris_marmorata",7
"Channa_argus",10
"Trichopodus_trichopterus",5
"Lates_calcarifer",8
"Eleutheronema_tetradactylum",6
"Seriola_dumerili",1
"Paralichthys_olivaceus",1
"Platichthys_stellatus",9
"Scophthalmus_maximus",2
"Astronotus_ocellatus",3
"Oreochromis_niloticus",4
"Pterophyllum_scalare",2
"Poecilia_latipinna",6
"Poecilia_reticulata",9
"Poropanchax_normani",10
"Xiphophorus_hellerii",2
"Xiphophorus_maculatus",1
"Mugil_cephalus",9
"Larimichthys_crocea",4
"Sciaenops_ocellatus",9
"Platax_orbicularis",3
"Lutjanus_erythropterus",7
"Lethrinus_nebulosus",6
"Acanthopagrus_schlegelii",6
"Pagrus_major",5
"Rhabdosargus_sarba",10
"Lateolabrax_japonicus",3
"Lateolabrax_maculatus",5
"Micropterus_salmoides",4
"Oplegnathus_fasciatus",6
"Oplegnathus_punctatus",10
"Maccullochella_peelii",9
"Siniperca_chuatsi",4
"Siniperca_scherzeri",8
"Cromileptes_altivelis",8
"Epinephelus_bruneus",7
"Epinephelus_coioides",4
"Epinephelus_fuscoguttatus",5
"Epinephelus_lanceolatus",1
"Epinephelus_malabaricus",5
"Plectropomus_leopardus",8
