"Species","Fold"
"Carassius_auratus",2
"Carassius_carassius",1
"Ctenopharyngodon_idella",5
"Cirrhinus_molitorella",1
"Danio_rerio",5
"Pygocentrus_nattereri",2
"Thunnus_orientalis",3
"Pampus_argenteus",3
"Pterapogon_kauderni",3
"Oxyeleotris_marmorata",3
"Anabas_testudineus",4
"Channa_argus",3
"Trichopodus_trichopterus",3
"Eleutheronema_tetradactylum",4
"Lates_calcarifer",1
"Seriola_dumerili",1
"Paralichthys_olivaceus",3
"Platichthys_stellatus",1
"Scophthalmus_maximus",1
"Astronotus_ocellatus",5
"Oreochromis_niloticus",4
"Pterophyllum_scalare",2
"Poecilia_latipinna",3
"Poecilia_reticulata",3
"Poropanchax_normani",1
"Xiphophorus_hellerii",4
"Xiphophorus_maculatus",5
"Mugil_cephalus",2
"Larimichthys_crocea",5
"Sciaenops_ocellatus",5
"Platax_orbicularis",1
"Lutjanus_erythropterus",1
"Acanthopagrus_schlegelii",2
"Lethrinus_nebulosus",3
"Pagrus_major",4
"Rhabdosargus_sarba",4
"Lateolabrax_japonicus",5
"Lateolabrax_maculatus",1
"Maccullochella_peelii",4
"Micropterus_salmoides",2
"Oplegnathus_fasciatus",2
"Oplegnathus_punctatus",5
"Siniperca_chuatsi",5
"Siniperca_scherzeri",4
"Cromileptes_altivelis",4
"Epinephelus_bruneus",4
"Epinephelus_coioides",5
"Epinephelus_fuscoguttatus",2
"Epinephelus_lanceolatus",2
"Epinephelus_malabaricus",2
"Plectropomus_leopardus",1
