"Path","Bytes","SHA256","FitKey","FitPayloadHash","Included"
"review/integration/runs/fits/binary__M1__record_equal__integration_f1/fit.rds",22784454,"fd371dab37c946c866c258c4f26250e2bdc522b0be39a26a1072fe10054f40f1","ad60c885908c46937da01873a6d6e069ff6da7e7a02a0e395615f309eaa76f88","9d39bb111decb905250a2209d93f6047589513427ef9505075b0956d1e2c6558","posterior/data/diagnostics retained in validation_snapshots.rds; compiled native fit cache stays local"
"review/integration/runs/fits/binary__M1__record_equal__integration_f2/fit.rds",11765279,"0c6b31fbe5502af68dfe9c4d33bc7e9cb2a73a0fc304d7d6c1827b5dd62ba3b2","2091233405f8b43f0fb62927b4fa6f003e63f115c7cf4ca35bbd81ddd05b2ed4","222b4d72bfa99f10b8a4f30092ebc5bdcda8423382a791e8e91f0c9ce151dc61","posterior/data/diagnostics retained in validation_snapshots.rds; compiled native fit cache stays local"
"review/integration/runs/fits/binary__M1__species_equal__integration_f1/fit.rds",11766538,"ac7d22a3867efb08ecc77257eea39806fae23d8476c664fbd3ac196682ba67d8","2b62dd2424b866bd0e84ac12606a7e62ae1c55093095fccc6552dc717f445fe7","9d39bb111decb905250a2209d93f6047589513427ef9505075b0956d1e2c6558","posterior/data/diagnostics retained in validation_snapshots.rds; compiled native fit cache stays local"
"review/integration/runs/fits/binary__M1__species_equal__integration_f2/fit.rds",11766800,"9c060d7e58e04d8987b182e39f0db98afc10ef120427088187e39a4cb0c34801","ae629f43295293d13c9d51b8f09f6907562335ab2c83e1fd109216196f5e1988","222b4d72bfa99f10b8a4f30092ebc5bdcda8423382a791e8e91f0c9ce151dc61","posterior/data/diagnostics retained in validation_snapshots.rds; compiled native fit cache stays local"
"review/integration/runs/fits/binary__Null__record_equal__integration_f1/fit.rds",22520567,"4463ed80bfcf0f07a2c8404745bd15b0b8a2f79bf5269ca7239197f29c3a1c3f","609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","b004400ab7038562bd4d756bc46a8d858fb04a2343ae07bfde3ecd569fd2b64f","posterior/data/diagnostics retained in validation_snapshots.rds; compiled native fit cache stays local"
"review/integration/runs/fits/binary__Null__record_equal__integration_f2/fit.rds",11557667,"ff2fc4d36fbd8b149ec2eb68f3cd65a0005da2585d5adcf1219fa3d0f177b102","1b062030bb94b5dc1e5b3edb8175e1baaffb7b663b29bd5e1b5939b29470d017","1794dcb6d86fbcd3194479d1aba03e3176c4f635f42161b3b4e2efc1f0b843f4","posterior/data/diagnostics retained in validation_snapshots.rds; compiled native fit cache stays local"
"review/integration/runs/fits/binary__Null__species_equal__integration_f1/fit.rds",11559087,"d4e92db70e2b393a43d0a0cd35051bf68c2321405f5610b7504b9836062b693b","fceaca98b314d1f104a9c69330772f570fa60e5b85c85433e004bddb31eedfe6","b004400ab7038562bd4d756bc46a8d858fb04a2343ae07bfde3ecd569fd2b64f","posterior/data/diagnostics retained in validation_snapshots.rds; compiled native fit cache stays local"
"review/integration/runs/fits/binary__Null__species_equal__integration_f2/fit.rds",11559069,"29fa7cded324480f051468f57ea3f04461c1487df641e90979f51296f1d03b88","19d1b5ecb8cf4b718e178df3392144fd87b1223e55500860c4478f94fb41dffa","1794dcb6d86fbcd3194479d1aba03e3176c4f635f42161b3b4e2efc1f0b843f4","posterior/data/diagnostics retained in validation_snapshots.rds; compiled native fit cache stays local"
"review/integration/runs/fits/joint_bb__M1__record_equal__integration_f1/fit.rds",24784482,"dc3666adee2c25cfb70c12f42eecc70cba33df342e6f63172884d207d4a59bb8","908908559357cdac51b051da2b59e8e7371e106354def228d8de460e84660e00","a2ee134e2e921466a3381c709fb97f5073b6c9e3adebddf35c62c1b430c75e8e","posterior/data/diagnostics retained in validation_snapshots.rds; compiled native fit cache stays local"
"review/integration/runs/fits/joint_bb__M1__record_equal__integration_f2/fit.rds",24784891,"8e40bca7397c450171b11e3d97b5a41857972660ab4ff157566500f023ecc061","7d1ddf2cde6dea3f2ca5f03545d42544b5a7b1dacec329f0dfa1f27b458aa739","09f4ecece83b6e389b1b3e5e7a194749ca88ad9f5bdff62a92e8763e8be39251","posterior/data/diagnostics retained in validation_snapshots.rds; compiled native fit cache stays local"
