"RecordID","ExperimentID","SourceID","Species","Type","Events","Total","Exact","Lower","Upper"
"test1_1","experiment1_1","synthetic_fixture","test_1","count",0,2,,,
"test1_2","experiment1_2","synthetic_fixture","test_1","count",2,2,,,
"test1_3","experiment1_3","synthetic_fixture","test_1","exact",,,0.2,,
"test1_4","experiment1_4","synthetic_fixture","test_1","exact",,,0.8,,
"test1_5","experiment1_5","synthetic_fixture","test_1","interval",,,,0.35,0.65
"test2_1","experiment2_1","synthetic_fixture","test_2","count",0,2,,,
"test2_2","experiment2_2","synthetic_fixture","test_2","count",2,2,,,
"test2_3","experiment2_3","synthetic_fixture","test_2","exact",,,0.2,,
"test2_4","experiment2_4","synthetic_fixture","test_2","exact",,,0.8,,
"test2_5","experiment2_5","synthetic_fixture","test_2","interval",,,,0.35,0.65
"test3_1","experiment3_1","synthetic_fixture","test_3","count",0,2,,,
"test3_2","experiment3_2","synthetic_fixture","test_3","count",2,2,,,
"test3_3","experiment3_3","synthetic_fixture","test_3","exact",,,0.2,,
"test3_4","experiment3_4","synthetic_fixture","test_3","exact",,,0.8,,
"test3_5","experiment3_5","synthetic_fixture","test_3","interval",,,,0.35,0.65
"test4_1","experiment4_1","synthetic_fixture","test_4","count",0,2,,,
"test4_2","experiment4_2","synthetic_fixture","test_4","count",2,2,,,
"test4_3","experiment4_3","synthetic_fixture","test_4","exact",,,0.2,,
"test4_4","experiment4_4","synthetic_fixture","test_4","exact",,,0.8,,
"test4_5","experiment4_5","synthetic_fixture","test_4","interval",,,,0.35,0.65
"test5_1","experiment5_1","synthetic_fixture","test_5","count",0,2,,,
"test5_2","experiment5_2","synthetic_fixture","test_5","count",2,2,,,
"test5_3","experiment5_3","synthetic_fixture","test_5","exact",,,0.2,,
"test5_4","experiment5_4","synthetic_fixture","test_5","exact",,,0.8,,
"test5_5","experiment5_5","synthetic_fixture","test_5","interval",,,,0.35,0.65
"test6_1","experiment6_1","synthetic_fixture","test_6","count",0,2,,,
"test6_2","experiment6_2","synthetic_fixture","test_6","count",2,2,,,
"test6_3","experiment6_3","synthetic_fixture","test_6","exact",,,0.2,,
"test6_4","experiment6_4","synthetic_fixture","test_6","exact",,,0.8,,
"test6_5","experiment6_5","synthetic_fixture","test_6","interval",,,,0.35,0.65
