"Design","Route","Model","TrainWeighting","EvalWeighting","FoldCount","RecordsUsed","SpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","PooledAUC","FoldMeanAUC","Brier","MAE","RMSE","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"integration","binary","Null","record_equal","record_equal",2,24,6,24,-16.6474268294191,-0.693642784559131,0.5,0.5,0.5,0.250247583265463,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","Null","record_equal","species_equal",2,24,6,24,-16.6474268294191,-0.693642784559131,0.5,0.5,0.5,0.250247583265463,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","Null","species_equal","record_equal",2,24,6,24,-16.6474268294191,-0.693642784559131,0.5,0.5,0.5,0.250247583265463,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","Null","species_equal","species_equal",2,24,6,24,-16.6474268294191,-0.693642784559131,0.5,0.5,0.5,0.250247583265463,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M1","record_equal","record_equal",2,24,6,24,-16.6358191850164,-0.693159132709017,0.5,0.5,0.5,0.250005975999763,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M1","record_equal","species_equal",2,24,6,24,-16.6358191850164,-0.693159132709017,0.5,0.5,0.5,0.250005975999763,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M1","species_equal","record_equal",2,24,6,24,-16.6358191850164,-0.693159132709017,0.5,0.5,0.5,0.250005975999763,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M1","species_equal","species_equal",2,24,6,24,-16.6358191850164,-0.693159132709017,0.5,0.5,0.5,0.250005975999763,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","joint_bb","Null","record_equal","record_equal",2,30,6,30,-21.7447819609838,-0.724826065366125,,,,,0.4,0.413014239799644,24,1,0.969019013136181,24,"full_design_records"
"integration","joint_bb","Null","record_equal","species_equal",2,30,6,30,-21.7447819609838,-0.724826065366125,,,,,0.4,0.413014239799644,24,1,0.969019013136181,24,"full_design_records"
"integration","joint_bb","Null","species_equal","record_equal",2,30,6,30,-21.7447819609838,-0.724826065366125,,,,,0.4,0.413014239799644,24,1,0.969910972661071,24,"full_design_records"
"integration","joint_bb","Null","species_equal","species_equal",2,30,6,30,-21.7447819609838,-0.724826065366125,,,,,0.4,0.413014239799644,24,1,0.969910972661071,24,"full_design_records"
"integration","joint_bb","M1","record_equal","record_equal",2,30,6,30,-21.5895252053603,-0.719650840178676,,,,,0.4,0.412649028606587,24,1,0.982785666373673,24,"full_design_records"
"integration","joint_bb","M1","record_equal","species_equal",2,30,6,30,-21.5895252053603,-0.719650840178676,,,,,0.4,0.412649028606587,24,1,0.982785666373673,24,"full_design_records"
"integration","joint_bb","M1","species_equal","record_equal",2,30,6,30,-21.5895252053603,-0.719650840178676,,,,,0.4,0.412649028606587,24,1,0.982662846424871,24,"full_design_records"
"integration","joint_bb","M1","species_equal","species_equal",2,30,6,30,-21.5895252053603,-0.719650840178676,,,,,0.4,0.412649028606587,24,1,0.982662846424871,24,"full_design_records"
