"row_id","Species","weight","Weighting","WeightAlgorithm","Normalization","Design","Route","Model","TrainWeighting","Fold","FitKey","Stage"
1,"test_2",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","cv"
2,"test_2",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","cv"
3,"test_2",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","cv"
4,"test_2",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","cv"
5,"test_4",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","cv"
6,"test_4",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","cv"
7,"test_4",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","cv"
8,"test_4",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","cv"
9,"test_6",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","cv"
10,"test_6",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","cv"
11,"test_6",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"609f79d1c365e62abf6a3146d44af9854623f019941332cd2953efbd133cb57f","cv"
