"RecordID","ExperimentID","Species","Type","Events","Total","Exact","Lower","Upper","SourceID"
"weighted1","experiment1","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted2","experiment2","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted3","experiment3","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted4","experiment4","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted5","experiment5","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted6","experiment6","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted7","experiment7","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted8","experiment8","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted9","experiment9","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted10","experiment10","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted11","experiment11","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted12","experiment12","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted13","experiment13","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted14","experiment14","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted15","experiment15","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted16","experiment16","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted17","experiment17","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted18","experiment18","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted19","experiment19","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted20","experiment20","many_low","count",0,1,,,,"synthetic_weighting_test"
"weighted21","experiment21","few_high","count",1,1,,,,"synthetic_weighting_test"
"weighted22","experiment22","few_high","count",1,1,,,,"synthetic_weighting_test"
