"Path","Change","OldSHA256","NewSHA256","Reason"
"Dockerfile","MODIFIED","824c706cf5dab91c004a8b20521f19db87d21b950c3b246f49f8cc7e6e04059c","aa7223734e4b83b7baeff97f1627c247e53cf7ec6e3e5249b5b8eac576f4816d","New v3.2 runtime path; locked base and R packages retained"
"R/applicability.R","COPIED_UNCHANGED","20e678c3184a470cc010d5e8e38e163d27ade40352cac2b0434c49f77442d588","20e678c3184a470cc010d5e8e38e163d27ade40352cac2b0434c49f77442d588","Retained v3.1 implementation/fixture; see executed test inventory"
"R/audit_run.R","MODIFIED","23a1e24e3e0c238b35baee1675f3bfa0d2e6e1134f097a07c2aaabf21ef88ddf","ec37cd85fb777a1e9bb9db3eebef63c0ab949c173f37ce931f4b36bf65091bbf","3.4: execute and record full prediction/metric/comparison/quantitative recomputation"
"R/bootstrap.R","MODIFIED","67fb488f4cfd3d6b17fdc2f34b87d4c495547ecfb659033dd4acb5f4c61cc453","02cfcdcd5c64b87b38b3152c2574584665fcd8a732f5f84ddcc8b5ccdc833d1d","Load new audit and quantitative modules"
"R/cache_io.R","COPIED_UNCHANGED","e5bff6618d266164800cbbcdd43556e92acebd1589b16338045be80baa32dc98","e5bff6618d266164800cbbcdd43556e92acebd1589b16338045be80baa32dc98","Retained v3.1 implementation/fixture; see executed test inventory"
"R/comparison.R","COPIED_UNCHANGED","2ce68d341f9992ac418f55c27a1731b996d7a2fcf53ea3193e5b196912a98c2f","2ce68d341f9992ac418f55c27a1731b996d7a2fcf53ea3193e5b196912a98c2f","Retained v3.1 implementation/fixture; see executed test inventory"
"R/config.R","MODIFIED","da9dd91367599171c70554d6fca2085136f36dd33590da5cef2e5f3b94e8b170","8488593f5cb0c6adc232ecb7013419062d542aea9b946176b824f1b50179cf01","Independent v3.2 identity; fixed designs retained"
"R/cross_validation.R","MODIFIED","dc838ce2ba9f43e7b9ee2ac15bc0295555b9e009173a53387f3a42157fb0bbc9","b77c16ee39db63e057b60ff9eea8cb503fda0947c4ec43a8eb65103340f18805","3.3/7.3: propagate metric support and Bias with complete identities"
"R/data_encoding.R","COPIED_UNCHANGED","205c15f8211918bb42705e1532162441d3fec32fc8bd1053d1abdb77dab9be88","205c15f8211918bb42705e1532162441d3fec32fc8bd1053d1abdb77dab9be88","Retained v3.1 implementation/fixture; see executed test inventory"
"R/fitting.R","MODIFIED","2538cbba7584e4c0a59cf475bb3f242950c0ebf128ef83bc0b73ca000c36f8b2","98dae597f05612cdfad2af2647c167a8c873dc524331a1d59c4bc13307f412f7","3.5 discovered bug: include model/formula columns in brms template cache key"
"R/metrics.R","MODIFIED","40c8642ebb6b48620ca438332cba18c80fd6239506c31d9e21551c5820cf929a","794c9e2a4e2339db29ef17643689d574e5bb5192366a49fa1f63a63f81e79e48","3.3/7.3: valid-set species counts and signed weighted Bias"
"R/plotting.R","COPIED_UNCHANGED","6880ffc04a2cd9ad79999f1d6af6e072d7b183b21a5b846b559dee9e16f26430","6880ffc04a2cd9ad79999f1d6af6e072d7b183b21a5b846b559dee9e16f26430","Retained v3.1 implementation/fixture; see executed test inventory"
"R/ppc.R","COPIED_UNCHANGED","48fbac66931959c6f7ead27419d6b84c5843185f61a80e93d11083d034afabd2","48fbac66931959c6f7ead27419d6b84c5843185f61a80e93d11083d034afabd2","Retained v3.1 implementation/fixture; see executed test inventory"
"R/prediction.R","COPIED_UNCHANGED","5772e289e9b21f976272f305334bde5bd6227fd226680b5666e224e591424927","5772e289e9b21f976272f305334bde5bd6227fd226680b5666e224e591424927","Retained v3.1 implementation/fixture; see executed test inventory"
"R/prediction_audit.R","ADDED","","8af9e53177e600848eed8c739118597a0d854bf3e8a4c93a7cbb1ef9fda36e87","3.4: actual posterior/raw-input recomputation; comparison and quantitative output verification"
"R/provenance.R","COPIED_UNCHANGED","0a34fb3b5ca427286bce7cd2fbd8d60442d22ad213633ec89f857ba12296bc9f","0a34fb3b5ca427286bce7cd2fbd8d60442d22ad213633ec89f857ba12296bc9f","Retained v3.1 implementation/fixture; see executed test inventory"
"R/quantitative_diagnostics.R","ADDED","","f28522b05dc4fb854b36ab51781aeb6394b8d0dab1b52fda014bd5eedf6d410b","7.3: count/exact OOF source/Bias/scatter; no interval imputation"
"R/reporting.R","MODIFIED","fa79f8b25ed9d7f9d17b6257c75d6625806dcf870dc62a0747d6a528d9d25caf","da3f1b697bb0d56b28a9d23178f1c6c8580e012028b9a98846b0a797f9e45c28","7.3/3.3: computed Bias/support explanation and v3.2 report path"
"R/weights.R","MODIFIED","c01b664016b7314da22d60449480133e62a117ac00a8add5609e7b83379ead0b","7951bdb1dcf79015bd889f60ebbd97cb8c2091631f62049cadca32cbce3c6019","3.2: split record/species contract validation; unchanged weighting formula"
